ADM3_PCODE,20141203-S000000,20141203-S003000,20141203-S010000,20141203-S013000,20141203-S020000,20141203-S023000,20141203-S030000,20141203-S033000,20141203-S040000,20141203-S043000,20141203-S050000,20141203-S053000,20141203-S060000,20141203-S063000,20141203-S070000,20141203-S073000,20141203-S080000,20141203-S083000,20141203-S090000,20141203-S093000,20141203-S100000,20141203-S103000,20141203-S110000,20141203-S113000,20141203-S120000,20141203-S123000,20141203-S130000,20141203-S133000,20141203-S140000,20141203-S143000,20141203-S150000,20141203-S153000,20141203-S160000,20141203-S163000,20141203-S170000,20141203-S173000,20141203-S180000,20141203-S183000,20141203-S190000,20141203-S193000,20141203-S200000,20141203-S203000,20141203-S210000,20141203-S213000,20141203-S220000,20141203-S223000,20141203-S230000,20141203-S233000,20141204-S000000,20141204-S003000,20141204-S010000,20141204-S013000,20141204-S020000,20141204-S023000,20141204-S030000,20141204-S033000,20141204-S040000,20141204-S043000,20141204-S050000,20141204-S053000,20141204-S060000,20141204-S063000,20141204-S070000,20141204-S073000,20141204-S080000,20141204-S083000,20141204-S090000,20141204-S093000,20141204-S100000,20141204-S103000,20141204-S110000,20141204-S113000,20141204-S120000,20141204-S123000,20141204-S130000,20141204-S133000,20141204-S140000,20141204-S143000,20141204-S150000,20141204-S153000,20141204-S160000,20141204-S163000,20141204-S170000,20141204-S173000,20141204-S180000,20141204-S183000,20141204-S190000,20141204-S193000,20141204-S200000,20141204-S203000,20141204-S210000,20141204-S213000,20141204-S220000,20141204-S223000,20141204-S230000,20141204-S233000,20141205-S000000,20141205-S003000,20141205-S010000,20141205-S013000,20141205-S020000,20141205-S023000,20141205-S030000,20141205-S033000,20141205-S040000,20141205-S043000,20141205-S050000,20141205-S053000,20141205-S060000,20141205-S063000,20141205-S070000,20141205-S073000,20141205-S080000,20141205-S083000,20141205-S090000,20141205-S093000,20141205-S100000,20141205-S103000,20141205-S110000,20141205-S113000,20141205-S120000,20141205-S123000,20141205-S130000,20141205-S133000,20141205-S140000,20141205-S143000,20141205-S150000,20141205-S153000,20141205-S160000,20141205-S163000,20141205-S170000,20141205-S173000,20141205-S180000,20141205-S183000,20141205-S190000,20141205-S193000,20141205-S200000,20141205-S203000,20141205-S210000,20141205-S213000,20141205-S220000,20141205-S223000,20141205-S230000,20141205-S233000,20141206-S000000,20141206-S003000,20141206-S010000,20141206-S013000,20141206-S020000,20141206-S023000,20141206-S030000,20141206-S033000,20141206-S040000,20141206-S043000,20141206-S050000,20141206-S053000,20141206-S060000,20141206-S063000,20141206-S070000,20141206-S073000,20141206-S080000,20141206-S083000,20141206-S090000,20141206-S093000,20141206-S100000,20141206-S103000,20141206-S110000,20141206-S113000,20141206-S120000,20141206-S123000,20141206-S130000,20141206-S133000,20141206-S140000,20141206-S143000,20141206-S150000,20141206-S153000,20141206-S160000,20141206-S163000,20141206-S170000,20141206-S173000,20141206-S180000,20141206-S183000,20141206-S190000,20141206-S193000,20141206-S200000,20141206-S203000,20141206-S210000,20141206-S213000,20141206-S220000,20141206-S223000,20141206-S230000,20141206-S233000
PH175301000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026666666666666665,0.04666666666666667,0.05333333333333333,0.02,0.03333333333333333,0.04666666666666667,0.05333333333333333,0.03333333333333333,0.0,0.006666666666666666,0.02,0.026666666666666665,0.006666666666666666,0.0,0.02,0.013333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333332,0.013333333333333332,0.013333333333333332,0.0,0.0,0.0,0.013333333333333332,0.04,0.07333333333333333,0.09333333333333334,0.04666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04666666666666667,0.06,0.07333333333333333,0.013333333333333332,0.0,0.04666666666666667,0.03333333333333333,0.013333333333333332,0.0,0.0,0.0,0.0,0.0,0.006666666666666666,0.0,0.02,0.013333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333332,0.013333333333333332,0.0,0.0,0.0,0.006666666666666666,0.026666666666666665,0.02,0.013333333333333332,0.0,0.0,0.0,0.006666666666666666,0.05333333333333333,0.0,0.0,0.0,0.006666666666666666,0.04,0.03333333333333333,0.2066666666666667,0.6133333333333334,1.5933333333333333,1.5333333333333334,0.5066666666666666,0.03333333333333333,0.05333333333333333,0.04,0.026666666666666665,0.0,0.06666666666666667,0.006666666666666666,0.006666666666666666,0.0,0.0,0.0,0.12,0.0,0.006666666666666666,0.006666666666666666,0.0,0.03333333333333333,0.05333333333333333,0.0,0.0,0.08666666666666667,0.08666666666666667,0.05333333333333333,0.16,0.006666666666666666,0.06666666666666667,0.12666666666666665,0.23333333333333334,0.13999999999999999,0.006666666666666666,0.08666666666666667,0.10666666666666666,0.13333333333333333,0.08666666666666667,1.54,1.78,1.3133333333333332,0.48666666666666664,0.22000000000000003,0.09333333333333334,0.026666666666666665,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333332,0.013333333333333332,0.03333333333333333,0.05333333333333333,0.02,0.04,0.54,0.006666666666666666,0.0,0.0,0.0,0.7666666666666667,0.5333333333333333,0.36666666666666664,0.006666666666666666,0.0,0.006666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666666,0.013333333333333332,0.0,0.05333333333333333,0.0
PH175101000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.02142857142857143,0.007142857142857143,0.0,0.03571428571428571,0.007142857142857143,0.0,0.0,0.15,0.20714285714285716,0.19285714285714287,0.0,0.0,0.007142857142857143,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.014285714285714285,0.014285714285714285,0.05714285714285714,0.04285714285714286,0.02142857142857143,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.007142857142857143,0.014285714285714285,0.02142857142857143,0.007142857142857143,0.0,0.0,0.014285714285714285,0.02857142857142857,0.04285714285714286,0.05714285714285714,0.07142857142857142,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.11428571428571428,0.007142857142857143,0.014285714285714285,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02142857142857143,2.392857142857143,0.2642857142857143,0.007142857142857143,0.10714285714285714,0.6428571428571429,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20714285714285716,0.2357142857142857,0.27142857142857146,0.0,0.0,0.0,0.0,0.05,0.02857142857142857,0.007142857142857143,0.02142857142857143,0.02142857142857143,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.02142857142857143,0.2,0.0,0.0,0.0,0.0,0.0,0.1285714285714286,1.0857142857142859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09285714285714286,0.04285714285714286,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.43571428571428567,0.014285714285714285,0.03571428571428571,0.0642857142857143,0.0,0.007142857142857143,0.007142857142857143,0.0,0.0,0.0,0.014285714285714285
PH030801000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.075,0.25,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PH021501000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.5,9.5,6.25,2.325,1.2,0.0,0.7,0.325,0.35,0.0,0.325,0.15,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.2,0.325,0.5,0.475,0.825,1.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,3.25,6.05,0.0,1.65,0.0,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.475,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PH083701000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4625,0.1375,0.1625,0.0,0.0,0.0,0.0125,0.0625,0.0125,0.0,0.0,0.0125,0.0,0.0,0.0,0.925,0.85,0.4875,0.0375,0.0,0.0,0.0,0.0,0.125,0.05,0.0,0.0,0.3375,0.0,0.0,0.0,0.0,0.125,0.225,1.8,0.6375,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.675,1.1,3.3875,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0375,0.0625,0.1875,1.875,0.3375,0.3875,1.2,1.9125,1.65,1.075,0.75,0.4875,0.2375,0.3375,2.675,4.9125,2.2,1.5125,1.0,1.175,1.475,1.975,2.3375,3.0125,3.175,3.2625,3.6875,4.2625,4.9625,4.9875,4.9375,4.9,4.225,3.8875,2.9625,4.125,4.0375,3.8875,3.6875,3.9625,6.95,10.2375,4.7875,5.275,5.3875,6.075,6.7875,6.825,6.1,6.7,6.425,7.1875,8.6125,8.75,11.3875,11.05,8.175,7.7375,7.05,7.65,7.2375,7.1,6.3625,6.0625,6.8125,6.7375,6.0,4.475
PH012801000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.4833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333333,0.9666666666666666,0.0,0.0,0.0,0.0,0.0,1.2833333333333334,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.4333333333333333,0.0,0.0,0.0,0.016666666666666666,0.21666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PH045601000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.7,0.36666666666666664,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,2.1333333333333333,2.7333333333333334,0.23333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.5333333333333334,2.566666666666667,4.133333333333334,4.733333333333333,2.4,0.0,0.0,0.26666666666666666,0.2,2.066666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.4,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4333333333333333,0.06666666666666667,0.4333333333333333,2.033333333333333,2.7666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23333333333333334,0.0,1.1333333333333333,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.4333333333333333,0.5666666666666667,1.1666666666666665,1.0333333333333334,0.5,0.8,0.26666666666666666,0.4666666666666667,0.2,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.1,0.3,0.23333333333333334,0.4666666666666667
PH025701000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PH015501000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.26666666666666666,0.0,0.016666666666666666,0.0,0.0,0.05,0.03333333333333333,0.06666666666666667,0.05,0.03333333333333333,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.38333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PH041001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.05,0.15,0.0
