ADM3_PCODE,20100830-S000000,20100830-S003000,20100830-S010000,20100830-S013000,20100830-S020000,20100830-S023000,20100830-S030000,20100830-S033000,20100830-S040000,20100830-S043000,20100830-S050000,20100830-S053000,20100830-S060000,20100830-S063000,20100830-S070000,20100830-S073000,20100830-S080000,20100830-S083000,20100830-S090000,20100830-S093000,20100830-S100000,20100830-S103000,20100830-S110000,20100830-S113000,20100830-S120000,20100830-S123000,20100830-S130000,20100830-S133000,20100830-S140000,20100830-S143000,20100830-S150000,20100830-S153000,20100830-S160000,20100830-S163000,20100830-S170000,20100830-S173000,20100830-S180000,20100830-S183000,20100830-S190000,20100830-S193000,20100830-S200000,20100830-S203000,20100830-S210000,20100830-S213000,20100830-S220000,20100830-S223000,20100830-S230000,20100830-S233000,20100831-S000000,20100831-S003000,20100831-S010000,20100831-S013000,20100831-S020000,20100831-S023000,20100831-S030000,20100831-S033000,20100831-S040000,20100831-S043000,20100831-S050000,20100831-S053000,20100831-S060000,20100831-S063000,20100831-S070000,20100831-S073000,20100831-S080000,20100831-S083000,20100831-S090000,20100831-S093000,20100831-S100000,20100831-S103000,20100831-S110000,20100831-S113000,20100831-S120000,20100831-S123000,20100831-S130000,20100831-S133000,20100831-S140000,20100831-S143000,20100831-S150000,20100831-S153000,20100831-S160000,20100831-S163000,20100831-S170000,20100831-S173000,20100831-S180000,20100831-S183000,20100831-S190000,20100831-S193000,20100831-S200000,20100831-S203000,20100831-S210000,20100831-S213000,20100831-S220000,20100831-S223000,20100831-S230000,20100831-S233000,20100901-S000000,20100901-S003000,20100901-S010000,20100901-S013000,20100901-S020000,20100901-S023000,20100901-S030000,20100901-S033000,20100901-S040000,20100901-S043000,20100901-S050000,20100901-S053000,20100901-S060000,20100901-S063000,20100901-S070000,20100901-S073000,20100901-S080000,20100901-S083000,20100901-S090000,20100901-S093000,20100901-S100000,20100901-S103000,20100901-S110000,20100901-S113000,20100901-S120000,20100901-S123000,20100901-S130000,20100901-S133000,20100901-S140000,20100901-S143000,20100901-S150000,20100901-S153000,20100901-S160000,20100901-S163000,20100901-S170000,20100901-S173000,20100901-S180000,20100901-S183000,20100901-S190000,20100901-S193000,20100901-S200000,20100901-S203000,20100901-S210000,20100901-S213000,20100901-S220000,20100901-S223000,20100901-S230000,20100901-S233000,20100902-S000000,20100902-S003000,20100902-S010000,20100902-S013000,20100902-S020000,20100902-S023000,20100902-S030000,20100902-S033000,20100902-S040000,20100902-S043000,20100902-S050000,20100902-S053000,20100902-S060000,20100902-S063000,20100902-S070000,20100902-S073000,20100902-S080000,20100902-S083000,20100902-S090000,20100902-S093000,20100902-S100000,20100902-S103000,20100902-S110000,20100902-S113000,20100902-S120000,20100902-S123000,20100902-S130000,20100902-S133000,20100902-S140000,20100902-S143000,20100902-S150000,20100902-S153000,20100902-S160000,20100902-S163000,20100902-S170000,20100902-S173000,20100902-S180000,20100902-S183000,20100902-S190000,20100902-S193000,20100902-S200000,20100902-S203000,20100902-S210000,20100902-S213000,20100902-S220000,20100902-S223000,20100902-S230000,20100902-S233000
PH175301000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05333333333333333,0.14666666666666667,0.0,0.0,0.0,0.03333333333333333,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333332,0.013333333333333332,0.0,0.006666666666666666,0.013333333333333332,0.04666666666666667,0.07333333333333333,0.13999999999999999,0.14666666666666667,0.14666666666666667,0.08,0.07333333333333333,0.026666666666666665,0.013333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333332,0.04,0.06,0.36,0.5133333333333334,2.32,2.1133333333333333,1.58,0.9800000000000001,0.5,1.06,0.08,0.02,0.03333333333333333,0.04666666666666667,0.09333333333333334,0.09333333333333334,0.08666666666666667,0.04666666666666667,0.026666666666666665,0.013333333333333332,0.013333333333333332,0.006666666666666666,0.006666666666666666,0.0,0.0,0.0,0.0,0.026666666666666665,0.0,0.0,0.0,0.4533333333333333,0.05333333333333333,0.013333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.04,0.03333333333333333,0.18666666666666668,0.42000000000000004,0.5866666666666667,0.9466666666666667,1.1800000000000002,1.1933333333333334,1.1866666666666668,0.7733333333333333,0.5533333333333333,0.8933333333333333,0.9333333333333333,0.03333333333333333,0.16,0.5066666666666666,0.03333333333333333,0.08,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.7066666666666667,0.21333333333333332,0.0,0.0,0.013333333333333332,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666666,0.006666666666666666,0.02,0.03333333333333333,0.0
PH175101000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02142857142857143,0.02142857142857143,0.03571428571428571,0.0642857142857143,0.07857142857142857,0.05,0.04285714285714286,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.007142857142857143,0.02857142857142857,0.04285714285714286,0.08571428571428572,0.10714285714285714,0.19285714285714287,0.19285714285714287,0.20714285714285716,0.14285714285714285,0.14285714285714285,0.17142857142857143,0.2785714285714286,0.2785714285714286,0.2785714285714286,0.17142857142857143,0.16428571428571428,0.17142857142857143,0.27142857142857146,0.2642857142857143,0.35714285714285715,0.3,0.6928571428571428,1.0642857142857143,1.7357142857142858,3.1285714285714286,3.4785714285714286,2.8785714285714286,1.6,0.8857142857142858,0.5785714285714285,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.02142857142857143,0.05714285714285714,0.1285714285714286,0.17857142857142858,0.30714285714285716,0.30714285714285716,0.2857142857142857,0.2857142857142857,0.45,0.6571428571428571,0.12142857142857141,0.6785714285714286,1.042857142857143,0.45714285714285713,0.21428571428571427,0.04285714285714286,0.07142857142857142,0.07142857142857142,0.0642857142857143,0.05,0.0642857142857143,0.09285714285714286,0.13571428571428573,0.13571428571428573,0.14285714285714285,0.12142857142857141,0.16428571428571428,0.42857142857142855,0.6285714285714286,0.8785714285714287,1.3357142857142859,1.3642857142857143,1.2642857142857142,0.8928571428571429,0.8857142857142858,0.6,0.36428571428571427,0.24285714285714283,0.2357142857142857,0.2785714285714286,0.15,0.19285714285714287,0.2,0.2,0.8428571428571429,0.07857142857142857,0.16428571428571428,0.04285714285714286,0.15714285714285714,0.7,0.15714285714285714,0.10714285714285714,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.007142857142857143,0.007142857142857143,0.02857142857142857,0.02857142857142857,0.43571428571428567,0.6071428571428571,2.5214285714285714,0.39285714285714285,0.38571428571428573,0.35714285714285715,0.35714285714285715,0.34285714285714286,0.2357142857142857,0.22857142857142856,0.2357142857142857,0.22142857142857145,0.24285714285714283,0.14285714285714285,0.15,0.22142857142857145,0.40714285714285714,0.5642857142857143,0.37142857142857144,0.37142857142857144,1.0857142857142859,1.0785714285714287,0.8571428571428571,1.6928571428571426,0.8071428571428572,0.42857142857142855,0.5857142857142856,0.42857142857142855,0.47857142857142854,0.7857142857142857,0.7785714285714286,0.36428571428571427
PH030801000,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.075,0.025,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.2,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.075,0.125,0.125,0.275,0.125,0.2,0.325,0.55,0.875,0.875,0.8,0.6,0.325,0.1,0.075,0.025,0.275,0.475,0.775,1.4,2.575,2.775,2.375,2.025,2.2,1.65,1.875,3.0,3.25,2.7,1.475,0.8,0.525,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.25,0.425,0.175,0.0,0.0,0.0,0.0,0.0,0.1,0.175,0.225,0.4,0.4,0.4,0.225,0.2,0.15,0.2,0.425,1.0,1.05,1.925,2.15,2.15,2.05,1.15,2.05,0.675,0.75,0.625,0.625,0.35,0.325,0.125,0.05,0.0,0.0,0.0,0.275,0.5,1.125,2.0,3.65,4.15,4.1,2.825,3.1,4.05,4.0,4.0,2.375,1.95,1.125,0.925,0.475,0.325,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.075,0.15,0.325,0.7,1.3,2.0,2.75,4.8,4.825,5.575,4.35,5.375,8.325,8.825,8.725,5.65,3.9,2.2,1.075,0.325,0.225,0.175,0.05,0.05,0.1,0.075,0.025,0.025,0.1,0.125,0.125,0.25,0.25,0.1
PH021501000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.15,4.725,1.05,1.5,2.05,2.125,3.4,4.75,3.925,3.6,2.725,1.95,1.7,1.0,0.925,0.725,1.1,0.85,0.1,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.05,0.075,0.125,0.225,0.225,0.275,0.9,0.35,0.425,0.6,0.625,0.6,0.4,0.325,0.25,0.375,0.4,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.15,0.225,0.0,0.05,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.3,0.025,0.025,0.025,0.025,0.0,0.075,0.15,0.15,0.325,0.475,4.125,0.2,0.075,0.425,0.025,0.025,0.025,0.025,0.025,0.025,0.525,0.05,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.2,0.05,0.05,0.1,0.125,0.3,0.025,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.125,0.175,0.225,0.425,0.425
PH083701000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0625,0.225,0.075,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.075,0.9375,0.5375,0.2375,0.2375,0.2,0.1875,0.125,0.075,0.05,0.0,0.0,0.0,0.0,0.0,0.025,0.05,0.1,0.175,0.25,0.25,0.2875,0.3,0.225,0.275,0.2375,0.3375,0.3375,0.2625,0.1625,0.0875,0.075,0.0,0.0,0.0,0.0,0.0,0.0125,0.0125,0.0125,0.025,0.025,0.025,0.025,0.025,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.275,0.95,0.6625,1.5875,0.675,0.0,0.0,0.0,0.35,0.3375,0.2125,0.2125,0.1625,0.3125,0.1625,0.375,0.3375,0.425,0.425,0.35,0.225,0.3625,0.1625,0.0875,0.0875,1.3125,0.625,0.375,0.15,0.175,0.05,0.05,0.05,0.2875,0.1625,0.05,0.0625,0.0875,0.0875,0.05,0.0,0.0,0.0375,0.0
PH012801000,0.0,0.0,0.0,0.0,0.016666666666666666,0.03333333333333333,0.06666666666666667,0.11666666666666667,0.23333333333333334,0.25,0.11666666666666667,0.0,0.1,0.1,0.26666666666666666,0.5333333333333333,0.9166666666666666,1.6,1.6333333333333333,1.4,1.15,1.0166666666666666,0.9666666666666666,0.8,0.4333333333333333,0.3,0.0,0.05,0.06666666666666667,0.15,0.26666666666666666,0.4833333333333333,0.55,0.4,0.2,0.15,0.0,0.0,0.06666666666666667,0.06666666666666667,0.15,0.0,0.0,0.0,0.016666666666666666,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.03333333333333333,0.05,0.05,0.06666666666666667,0.06666666666666667,0.08333333333333334,0.11666666666666667,0.2,0.21666666666666665,0.2,0.1,0.05,0.05,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18333333333333332,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9833333333333334,1.15,0.6833333333333333,0.7833333333333333,2.7333333333333334,0.7,0.38333333333333336,0.03333333333333333,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.4666666666666667,0.13333333333333333,0.6,1.8,1.15,0.2,0.11666666666666667,0.35,0.75,0.2,0.35,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.6,0.9333333333333333,0.7,0.25,0.15,0.0,0.0,0.0,0.0,0.08333333333333334,0.35,0.05,0.1,0.2833333333333333,0.5833333333333333,0.6833333333333333,1.05,1.4333333333333333,1.4333333333333333
PH045601000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.26666666666666666,0.5,2.033333333333333,1.6666666666666667,1.8333333333333333,1.8333333333333333,1.6666666666666667,0.9,1.1,0.7333333333333333,0.23333333333333334,0.1,0.1,0.3,0.4333333333333333,0.1,0.03333333333333333,0.0,0.0,0.0,0.0,0.06666666666666667,0.1,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.1,1.6,2.166666666666667,0.8666666666666666,0.7666666666666667,2.2666666666666666,1.4333333333333333,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,1.5666666666666667,1.5,1.1333333333333333,3.1333333333333333,0.9666666666666666,1.5,0.8333333333333334,0.16666666666666669,1.0666666666666667,5.266666666666667,12.1,10.133333333333333,3.3666666666666663,3.6,3.9333333333333336,3.9333333333333336,3.9333333333333336,2.166666666666667,1.5333333333333334,1.0,0.7333333333333333,0.7,1.0666666666666667,1.0333333333333334,1.2333333333333334,1.2333333333333334,1.7,1.6,0.9666666666666666,0.7,0.6666666666666667,0.5,0.26666666666666666,0.2,0.03333333333333333,0.0
PH025701000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.06999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.03,0.03,0.03,0.01,0.01,0.0,0.0,0.0,0.01,0.03,0.05,0.09,0.16,0.16999999999999998,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13999999999999999,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.62,0.36,0.51,0.06999999999999999,0.09,0.09,0.08,1.24,1.75,0.5,0.0,0.0,0.0,0.97,0.8400000000000001,1.22,0.73,0.19,0.0,0.0,0.0,0.18,0.41,0.32,0.0,0.0,0.0,0.4,0.24,0.0,0.0,0.0,0.04,0.25,1.16,4.36,1.8800000000000001,0.79,0.99,1.21,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59,0.53,0.35,0.04,0.16999999999999998,0.5900000000000001,0.11000000000000001,0.1,0.6,1.6800000000000002,2.79,1.4300000000000002,1.2,0.09,0.1,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.04,0.04
PH015501000,2.966666666666667,4.066666666666666,3.05,3.25,3.3166666666666664,2.283333333333333,2.416666666666667,4.383333333333334,4.733333333333333,6.35,10.016666666666667,10.066666666666666,9.4,6.333333333333334,4.966666666666667,2.416666666666667,1.0666666666666667,0.6833333333333333,0.38333333333333336,0.6333333333333333,0.7833333333333333,1.5666666666666667,1.4333333333333333,1.6333333333333333,1.2666666666666666,1.1833333333333333,0.9333333333333333,1.0833333333333335,0.95,1.2166666666666666,1.6833333333333331,2.85,3.1,2.2666666666666666,1.2,0.9833333333333334,0.15,0.11666666666666667,0.08333333333333334,0.03333333333333333,0.03333333333333333,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.7333333333333333,0.2833333333333333,0.31666666666666665,0.25,0.2833333333333333,0.4333333333333333,0.5833333333333333,1.3833333333333333,1.2166666666666666,1.2666666666666666,1.2,0.75,0.6,0.5,0.75,0.6833333333333333,0.6333333333333333,0.5166666666666667,4.7,0.5333333333333333,0.13333333333333333,0.1,0.11666666666666667,0.11666666666666667,0.15,0.23333333333333334,0.23333333333333334,0.38333333333333336,0.4,0.31666666666666665,0.21666666666666665,0.15,0.16666666666666669,0.08333333333333334,0.21666666666666665,1.1833333333333333,1.75,3.45,6.1,11.283333333333333,12.65,7.883333333333333,6.05,0.95,0.5,0.0,0.0,0.08333333333333334,0.15,0.18333333333333332,0.15,0.23333333333333334,0.75,1.0333333333333334,1.7666666666666668,2.533333333333333,3.8166666666666664,3.8333333333333335,3.8333333333333335,3.166666666666667,1.9666666666666668,1.6,2.933333333333333,1.2,0.65,18.25,1.6333333333333333,1.3333333333333335,1.1166666666666667,0.9166666666666666,1.1666666666666665,0.4833333333333333,0.5166666666666667,0.7166666666666667,0.6666666666666667,0.65,0.36666666666666664,0.26666666666666666,0.13333333333333333,0.05,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.2833333333333333,0.4,0.6833333333333333,1.25,1.5333333333333334,1.5333333333333334,0.8833333333333334,0.7,0.4666666666666667,0.36666666666666664,0.25,0.4666666666666667,0.3,0.35,0.0,0.0,0.0,0.0,0.06666666666666667,0.21666666666666665,0.4333333333333333,0.95,2.066666666666667,3.2833333333333337,4.65,6.016666666666667,9.85,9.916666666666668,8.333333333333332,4.683333333333334,2.85,2.5166666666666666,0.9333333333333333,0.9,0.5833333333333333,0.4,0.25,0.1,0.03333333333333333,0.0,0.0,0.0,0.016666666666666666,0.03333333333333333,0.06666666666666667,0.16666666666666669,0.4333333333333333,0.8166666666666667,1.2,1.7833333333333332,2.3666666666666667,2.3833333333333333,3.4666666666666663
PH041001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.3,0.45,0.35,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.05,0.2,0.1,0.1,0.1,0.1,0.1,0.0,0.2,0.8,0.5,0.35,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.15,0.15,0.15,0.1,0.05,0.05,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.25,0.1,0.15,0.5,0.5,0.6,1.05,1.05,0.25
