ADM3_PCODE,20150702-S000000,20150702-S003000,20150702-S010000,20150702-S013000,20150702-S020000,20150702-S023000,20150702-S030000,20150702-S033000,20150702-S040000,20150702-S043000,20150702-S050000,20150702-S053000,20150702-S060000,20150702-S063000,20150702-S070000,20150702-S073000,20150702-S080000,20150702-S083000,20150702-S090000,20150702-S093000,20150702-S100000,20150702-S103000,20150702-S110000,20150702-S113000,20150702-S120000,20150702-S123000,20150702-S130000,20150702-S133000,20150702-S140000,20150702-S143000,20150702-S150000,20150702-S153000,20150702-S160000,20150702-S163000,20150702-S170000,20150702-S173000,20150702-S180000,20150702-S183000,20150702-S190000,20150702-S193000,20150702-S200000,20150702-S203000,20150702-S210000,20150702-S213000,20150702-S220000,20150702-S223000,20150702-S230000,20150702-S233000,20150703-S000000,20150703-S003000,20150703-S010000,20150703-S013000,20150703-S020000,20150703-S023000,20150703-S030000,20150703-S033000,20150703-S040000,20150703-S043000,20150703-S050000,20150703-S053000,20150703-S060000,20150703-S063000,20150703-S070000,20150703-S073000,20150703-S080000,20150703-S083000,20150703-S090000,20150703-S093000,20150703-S100000,20150703-S103000,20150703-S110000,20150703-S113000,20150703-S120000,20150703-S123000,20150703-S130000,20150703-S133000,20150703-S140000,20150703-S143000,20150703-S150000,20150703-S153000,20150703-S160000,20150703-S163000,20150703-S170000,20150703-S173000,20150703-S180000,20150703-S183000,20150703-S190000,20150703-S193000,20150703-S200000,20150703-S203000,20150703-S210000,20150703-S213000,20150703-S220000,20150703-S223000,20150703-S230000,20150703-S233000,20150704-S000000,20150704-S003000,20150704-S010000,20150704-S013000,20150704-S020000,20150704-S023000,20150704-S030000,20150704-S033000,20150704-S040000,20150704-S043000,20150704-S050000,20150704-S053000,20150704-S060000,20150704-S063000,20150704-S070000,20150704-S073000,20150704-S080000,20150704-S083000,20150704-S090000,20150704-S093000,20150704-S100000,20150704-S103000,20150704-S110000,20150704-S113000,20150704-S120000,20150704-S123000,20150704-S130000,20150704-S133000,20150704-S140000,20150704-S143000,20150704-S150000,20150704-S153000,20150704-S160000,20150704-S163000,20150704-S170000,20150704-S173000,20150704-S180000,20150704-S183000,20150704-S190000,20150704-S193000,20150704-S200000,20150704-S203000,20150704-S210000,20150704-S213000,20150704-S220000,20150704-S223000,20150704-S230000,20150704-S233000,20150705-S000000,20150705-S003000,20150705-S010000,20150705-S013000,20150705-S020000,20150705-S023000,20150705-S030000,20150705-S033000,20150705-S040000,20150705-S043000,20150705-S050000,20150705-S053000,20150705-S060000,20150705-S063000,20150705-S070000,20150705-S073000,20150705-S080000,20150705-S083000,20150705-S090000,20150705-S093000,20150705-S100000,20150705-S103000,20150705-S110000,20150705-S113000,20150705-S120000,20150705-S123000,20150705-S130000,20150705-S133000,20150705-S140000,20150705-S143000,20150705-S150000,20150705-S153000,20150705-S160000,20150705-S163000,20150705-S170000,20150705-S173000,20150705-S180000,20150705-S183000,20150705-S190000,20150705-S193000,20150705-S200000,20150705-S203000,20150705-S210000,20150705-S213000,20150705-S220000,20150705-S223000,20150705-S230000,20150705-S233000
PH175301000,0.4533333333333333,0.31333333333333335,0.3933333333333333,0.02,0.04,0.08,0.2,0.11333333333333333,0.2,0.23333333333333334,0.4133333333333334,0.42000000000000004,0.21333333333333332,0.22666666666666666,0.13333333333333333,0.3,0.26,0.22666666666666666,0.38666666666666666,0.31333333333333335,0.47333333333333333,0.48,0.27999999999999997,0.2533333333333333,0.24,0.42666666666666664,0.48666666666666664,0.24,0.2733333333333333,0.19333333333333333,0.31333333333333335,0.38,0.27999999999999997,0.24666666666666667,0.6133333333333334,0.9266666666666667,1.4133333333333333,0.8133333333333332,0.5666666666666667,0.5,0.3933333333333333,0.2,0.013333333333333332,0.12666666666666665,0.23333333333333334,0.17333333333333334,0.13999999999999999,0.19333333333333333,0.29333333333333333,0.8533333333333333,1.9466666666666665,3.486666666666667,4.093333333333333,2.7199999999999998,1.8399999999999999,0.8933333333333333,0.5666666666666667,0.7333333333333333,0.9466666666666667,1.3666666666666667,0.72,0.6,0.3933333333333333,0.5133333333333334,0.44666666666666666,0.6933333333333334,0.8266666666666668,0.48,0.2533333333333333,0.08666666666666667,0.0,0.0,0.23333333333333334,0.0,0.35333333333333333,0.8466666666666667,2.013333333333333,2.9266666666666667,3.9466666666666668,2.0733333333333333,1.8199999999999998,1.5333333333333334,0.86,8.433333333333334,2.8866666666666667,0.72,0.9866666666666667,2.5266666666666664,5.226666666666667,3.1399999999999997,2.166666666666667,3.6866666666666665,4.34,3.9666666666666663,2.0,2.6066666666666665,5.2,7.873333333333333,8.033333333333333,6.220000000000001,5.8133333333333335,5.226666666666667,3.753333333333333,6.866666666666667,4.906666666666667,6.926666666666667,5.5200000000000005,2.92,5.3533333333333335,7.359999999999999,13.913333333333332,17.04,8.64,5.6866666666666665,5.0,5.873333333333333,4.279999999999999,3.6533333333333333,1.7,1.7533333333333334,1.3733333333333333,1.1,0.7933333333333333,0.6933333333333334,0.6,0.45999999999999996,0.32,0.08,0.04666666666666667,0.31333333333333335,0.9866666666666667,1.64,2.7466666666666666,4.279999999999999,4.913333333333333,2.933333333333333,1.8466666666666665,1.7866666666666666,2.18,2.6333333333333333,2.933333333333333,2.2333333333333334,1.6,1.6600000000000001,1.98,1.24,1.98,2.5533333333333337,2.8466666666666667,1.6866666666666668,1.1133333333333333,0.6533333333333333,0.38,0.32666666666666666,0.22666666666666666,0.26666666666666666,0.49333333333333335,0.42000000000000004,0.48666666666666664,0.4533333333333333,0.42666666666666664,0.6666666666666667,0.6533333333333333,0.4533333333333333,0.42000000000000004,0.2,0.14666666666666667,0.14666666666666667,0.10666666666666666,0.21333333333333332,0.11333333333333333,0.5,1.92,2.7600000000000002,3.086666666666667,1.9,0.3066666666666667,0.2,0.12,0.2533333333333333,0.16,0.17333333333333334,0.18,0.47333333333333333,1.24,2.3666666666666667,3.5666666666666664,2.6,2.1399999999999997,1.3733333333333333,0.9133333333333333,0.4066666666666666
PH175101000,0.02142857142857143,0.007142857142857143,0.04285714285714286,0.04285714285714286,0.02857142857142857,0.014285714285714285,0.0642857142857143,0.09285714285714286,0.17857142857142858,0.18571428571428572,0.2,0.2785714285714286,0.95,1.5071428571428571,1.6285714285714286,1.9785714285714284,1.6214285714285714,0.6285714285714286,0.5428571428571429,0.5,0.2785714285714286,0.21428571428571427,0.17857142857142858,0.11428571428571428,0.05714285714285714,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.014285714285714285,0.02142857142857143,0.02142857142857143,0.11428571428571428,0.03571428571428571,0.0642857142857143,0.007142857142857143,0.014285714285714285,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.09285714285714286,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.17857142857142858,0.0,0.07142857142857142,0.20714285714285716,0.0,0.0,0.14285714285714285,0.11428571428571428,0.10714285714285714,0.07857142857142857,0.2357142857142857,1.592857142857143,1.3785714285714286,0.7,0.7785714285714286,0.4428571428571429,0.0,0.07857142857142857,0.08571428571428572,0.13571428571428573,0.07857142857142857,0.0,0.16428571428571428,0.13571428571428573,0.17857142857142858,0.21428571428571427,0.17142857142857143,0.1,0.1,0.02142857142857143,0.1285714285714286,0.24285714285714283,0.20714285714285716,0.10714285714285714,0.07857142857142857,0.38571428571428573,0.0642857142857143,0.05,0.02857142857142857,0.05,0.2357142857142857,0.1,0.12142857142857141,0.14285714285714285,0.35,0.4,0.5428571428571429,0.5928571428571429,0.42857142857142855,0.45,0.47857142857142854,0.8214285714285714,1.0285714285714287,1.1071428571428572,2.6214285714285714,3.342857142857143,6.407142857142857,9.221428571428572,7.607142857142857,4.8,3.9357142857142855,4.428571428571429,3.407142857142857,3.207142857142857,3.0285714285714285,4.2,4.964285714285714,4.657142857142857,5.078571428571428,5.2785714285714285,4.157142857142857,3.8571428571428568,2.435714285714286,1.9357142857142857,1.5857142857142859,1.55,1.4357142857142857,1.9571428571428573,1.8857142857142857,2.4,1.4642857142857142,1.0714285714285714,0.9285714285714286,0.8785714285714287,1.3285714285714287,0.9428571428571428,0.8,0.33571428571428574,0.1,0.13571428571428573,0.1285714285714286,0.2642857142857143,0.5571428571428572,0.6285714285714286,0.8928571428571429,1.4214285714285713,1.6642857142857141,0.4142857142857143,1.4,1.2214285714285713,1.7642857142857142,2.914285714285714,0.48571428571428565,0.30714285714285716,0.37857142857142856,0.24285714285714283,0.33571428571428574,0.7214285714285714,0.4642857142857143,0.5571428571428572,2.7071428571428573,0.32857142857142857,0.37142857142857144,0.6428571428571429,0.6285714285714286,0.4928571428571429,0.5071428571428571,0.47857142857142854,0.9071428571428571,1.5071428571428571,0.5857142857142856,0.37142857142857144,1.2285714285714286
PH030801000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.35,0.75,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.025,0.075,0.05,0.0,0.1,0.0,0.15,0.15,0.25,0.15,0.0,0.3,0.3,0.25,0.25,0.15,0.1,0.1,0.0,0.0,0.0,0.025,0.475,1.175,0.15,0.075,0.1,0.0,0.5,0.575,1.075,1.5,0.025,0.075,0.125,0.175,0.375,0.5,0.75,1.4,2.5,2.425,2.775,2.8,2.7,2.825,2.875,2.55,1.85,1.975,1.575,1.325,0.85,0.375,1.575,2.4,1.7,1.475,0.475,0.475,0.75,1.5,0.325,0.175,0.0,0.0,0.0,0.0,0.15,0.45,1.2,2.45,3.65,4.125,5.2,5.275,4.5,3.675,3.325,2.35,2.275,2.325,1.65,1.625,1.725,1.725,4.95,2.3,4.275,6.95,1.45,2.525,2.45,2.425,2.375,2.375,1.875,2.425,2.425,3.525,1.3,1.55,1.375,1.875,2.3,2.4,2.4,1.45,1.4,1.775,0.925,1.3
PH021501000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.025,0.2,0.0,0.15,0.575,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.15,0.075,0.05,0.025,0.0,0.0,0.05,0.0,0.025,0.05,3.3,0.25,0.425,1.15,0.0,1.525,3.975,3.35,4.625,3.85,5.725,1.725,1.6,0.975,0.65,0.275,0.125,0.0,0.0,0.0,0.0,1.15,1.975,1.175,3.45,3.7,5.725,3.225,0.475,0.25,0.225,1.725,0.975,0.625,0.15,0.25,0.525,0.425,0.35,0.2,0.125,0.125,0.0,0.0,0.0,0.0,0.025,0.025,0.0,0.0,0.0,0.0,0.05,0.0,0.025,0.025,0.05,0.05,0.025,0.025,0.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PH083701000,0.0375,0.025,0.0,0.0125,0.025,0.05,0.075,0.125,0.1875,0.1875,0.2625,0.3,0.4125,0.9875,0.7,0.9375,0.2,0.0125,0.0375,0.0,0.0,0.0125,0.15,0.175,0.15,0.075,0.0,0.05,0.0625,0.0625,0.075,0.1,0.0625,0.0875,0.075,0.075,0.0625,0.05,0.0625,0.1125,0.125,0.075,0.05,0.0,0.1875,0.175,0.1625,0.15,0.0625,0.0625,0.0375,0.0,0.0,0.0,0.0125,0.0125,0.0125,0.0875,0.0875,0.0375,0.025,0.525,0.65,0.95,0.225,0.0875,1.0125,0.95,0.5875,0.3875,0.2375,0.125,0.15,0.0,0.0,0.0,0.0375,0.0375,0.0,0.0,0.525,0.0,0.0125,0.05,0.075,0.0625,0.1375,0.225,0.25,0.15,0.0,0.3875,0.2625,0.3125,0.325,0.25,0.1375,0.1125,0.0,0.0125,0.1,0.5,1.0125,0.3,0.1375,0.15,0.0,0.0,0.1375,0.1625,0.3125,0.4375,0.0,0.0625,0.075,0.025,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.1375,0.1625,0.2875,0.4125,0.4375,0.3125,0.4625,0.4625,0.2375,0.2125,0.1625,0.2375,0.2125,0.1375,0.125,0.0,0.3125,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.525,0.0,0.0,0.0,0.0,0.7125,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0875,0.1125,0.1625,0.1875,0.125,0.275,0.0625,0.0,0.1125,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1625,0.1625,0.1,0.0625,0.0375
PH012801000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,2.1166666666666667,3.2166666666666663,4.1,5.3,2.6,0.8333333333333334,2.85,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.1,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38333333333333336,0.5,0.7333333333333333,0.4333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.31666666666666665,0.23333333333333334,0.13333333333333333,0.11666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.0,0.23333333333333334,0.31666666666666665,0.5333333333333333,1.3,1.6333333333333333,2.5,2.85,2.1,1.1666666666666665,1.25,0.6166666666666667,2.816666666666667,3.4666666666666663,7.5,9.116666666666667,10.816666666666666,11.633333333333333,12.433333333333334,9.75,6.083333333333334,3.15,2.083333333333333,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,1.5333333333333334,0.08333333333333334,0.7166666666666667,0.08333333333333334,0.08333333333333334,0.31666666666666665,0.95,0.75,1.0,1.4833333333333334,1.6,4.55,6.5166666666666675,5.433333333333334,3.1333333333333333,1.7166666666666668,1.6166666666666667,0.0,0.26666666666666666,0.31666666666666665,0.5333333333333333,0.9833333333333334,1.1166666666666667,0.0,0.33333333333333337,0.21666666666666665,0.06666666666666667,0.8,0.1,0.1,0.06666666666666667,0.1,0.11666666666666667,0.08333333333333334,0.13333333333333333,0.15,0.5166666666666667,0.0,0.05,0.05,0.08333333333333334,0.15,0.16666666666666669,0.16666666666666669,0.1,0.016666666666666666,0.016666666666666666,0.0,0.016666666666666666
PH045601000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9666666666666666,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.03333333333333333,0.13333333333333333,0.03333333333333333,0.0,0.3,0.4333333333333333,0.0,0.0,0.0,0.0,2.933333333333333,3.7333333333333334,6.433333333333333,6.4,8.7,7.2333333333333325,7.633333333333333,8.233333333333333,8.233333333333333,6.5,4.666666666666666,3.9,2.2,3.8333333333333335,6.033333333333333,2.966666666666667,2.966666666666667,3.1,3.3,3.1333333333333333,2.033333333333333,2.7666666666666666,2.7666666666666666,2.0,1.2666666666666666,1.0333333333333334,0.5333333333333333,0.8333333333333334,0.26666666666666666,0.13333333333333333,0.6666666666666667,0.26666666666666666,0.33333333333333337,0.23333333333333334,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.13333333333333333,0.13333333333333333,0.0,0.0,0.03333333333333333,0.4,2.333333333333333,1.1333333333333333,0.0,0.0,0.0,0.9333333333333333,0.0,0.13333333333333333,0.6,6.633333333333333,1.1333333333333333,0.13333333333333333,0.2,0.06666666666666667,0.0,0.23333333333333334,0.36666666666666664,0.4333333333333333,0.4,0.4666666666666667,0.4,0.4,0.4333333333333333,0.1,0.06666666666666667,0.1,0.1,0.1,0.0,0.1,0.06666666666666667,0.1,0.5,0.0,0.0,0.36666666666666664,0.4666666666666667,1.3666666666666667,1.1666666666666665,0.13333333333333333,0.0,0.5666666666666667,0.5,0.3,0.4,0.4,0.33333333333333337,0.03333333333333333,0.36666666666666664,0.13333333333333333,0.03333333333333333,0.0,0.13333333333333333,0.06666666666666667,0.03333333333333333,0.13333333333333333,0.1,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.2,0.4666666666666667,0.4,0.26666666666666666,0.23333333333333334,0.33333333333333337,0.3,0.3,0.16666666666666669,0.13333333333333333,0.1,0.03333333333333333,0.03333333333333333
PH025701000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.24,0.6,0.7,0.9099999999999999,0.6,0.16,0.06999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.13999999999999999,0.09,0.13999999999999999,0.19,0.11000000000000001,0.06,0.0,0.0,0.0,0.0,0.0,0.04,0.3,0.5599999999999999,0.2,0.8099999999999999,1.22,0.7,1.9100000000000001,3.25,5.24,4.279999999999999,2.3899999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.02,0.02,3.13,4.220000000000001,4.55,5.529999999999999,6.470000000000001,1.3199999999999998,1.19,1.25,0.6900000000000001,0.78,3.85,5.8100000000000005,4.14,19.919999999999998,0.5900000000000001,0.12,0.3,15.959999999999999,0.51,0.6599999999999999,1.69,20.09,16.740000000000002,4.54,5.32,3.2600000000000002,1.3,0.8400000000000001,0.54,0.5599999999999999,0.58,0.9199999999999999,0.48,0.6900000000000001,1.85,1.6600000000000001,3.31,1.22,1.02,0.37,0.37,0.42000000000000004,2.48,2.32,1.53,0.48,0.45,2.19,3.29,3.6399999999999997,2.85,4.13,4.59,4.75,4.09,2.32,1.8199999999999998,2.2,1.9100000000000001,1.95,0.8,0.61,0.26,0.22999999999999998,0.22000000000000003,0.38,0.42000000000000004,0.5700000000000001,0.85,0.74,1.21,1.42,1.45,1.48,1.4,0.8699999999999999,0.78,1.09,1.03,1.02,0.6,0.42000000000000004,0.27999999999999997,0.15,0.1
PH015501000,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.03333333333333333,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.03333333333333333,0.08333333333333334,0.03333333333333333,0.05,0.05,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.08333333333333334,0.23333333333333334,0.23333333333333334,0.2833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.36666666666666664,1.85,1.8333333333333333,0.9,1.1666666666666665,0.35,0.3,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1333333333333333,1.3333333333333335,2.5,3.4833333333333334,1.8666666666666667,1.3166666666666667,1.2,0.9,1.2833333333333334,3.083333333333333,6.433333333333333,6.783333333333333,9.45,5.366666666666666,6.85,15.816666666666666,17.633333333333333,26.166666666666668,33.81666666666667,28.083333333333332,18.033333333333335,12.95,12.0,7.65,9.483333333333333,11.283333333333333,11.05,7.5,7.1,9.333333333333332,8.916666666666668,8.8,9.55,9.483333333333333,13.933333333333334,16.433333333333334,17.5,13.983333333333334,8.166666666666668,8.133333333333333,8.066666666666666,17.533333333333335,13.566666666666666,10.316666666666666,9.7,8.583333333333332,7.2,7.183333333333333,7.033333333333333,8.05,6.816666666666667,6.616666666666667,6.566666666666667,7.05,6.116666666666666,6.7333333333333325,6.85,6.883333333333333,13.45,6.2,4.95,4.6,2.933333333333333,4.633333333333334,4.666666666666666,4.683333333333334,4.766666666666667,5.2,3.8833333333333337,5.583333333333334,5.866666666666666,4.55,4.283333333333333,4.2,2.95,2.9,4.116666666666666,4.083333333333334,4.016666666666667,2.5166666666666666,1.7833333333333332,1.3166666666666667,1.0,0.8333333333333334
PH041001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.1,0.15,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,4.9,0.1,0.3,0.55,0.0,0.4,0.5,0.65,0.35,0.0,0.5,0.4,0.4,0.3,0.2,0.1,0.1,0.0,0.0,0.0,0.15,0.15,0.3,1.0,0.9,0.95,1.05,0.7,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.25,0.95,0.3,0.45,0.5,0.35,0.3,0.15,0.0,0.65,1.25,3.05,2.65,3.15,4.15,5.15,2.8,1.2,1.05,1.05,0.85,0.8,0.9,0.95,0.8,1.3,1.9,2.4,3.65,3.85,3.3,2.9,1.85,1.45,1.6,1.0,1.05,1.1,1.1,1.2,1.05,1.0,1.2,1.4,1.15,1.6,2.65,2.75,0.0,0.2,0.1,0.0,1.05,2.6,3.1,3.25,3.7,2.9,1.7,2.0,1.35,4.65,2.05,2.4,1.75,2.1,3.25,3.45,3.4,2.05,1.4,0.95,1.05,1.0
