ADM3_PCODE,20150928-S000000,20150928-S003000,20150928-S010000,20150928-S013000,20150928-S020000,20150928-S023000,20150928-S030000,20150928-S033000,20150928-S040000,20150928-S043000,20150928-S050000,20150928-S053000,20150928-S060000,20150928-S063000,20150928-S070000,20150928-S073000,20150928-S080000,20150928-S083000,20150928-S090000,20150928-S093000,20150928-S100000,20150928-S103000,20150928-S110000,20150928-S113000,20150928-S120000,20150928-S123000,20150928-S130000,20150928-S133000,20150928-S140000,20150928-S143000,20150928-S150000,20150928-S153000,20150928-S160000,20150928-S163000,20150928-S170000,20150928-S173000,20150928-S180000,20150928-S183000,20150928-S190000,20150928-S193000,20150928-S200000,20150928-S203000,20150928-S210000,20150928-S213000,20150928-S220000,20150928-S223000,20150928-S230000,20150928-S233000,20150929-S000000,20150929-S003000,20150929-S010000,20150929-S013000,20150929-S020000,20150929-S023000,20150929-S030000,20150929-S033000,20150929-S040000,20150929-S043000,20150929-S050000,20150929-S053000,20150929-S060000,20150929-S063000,20150929-S070000,20150929-S073000,20150929-S080000,20150929-S083000,20150929-S090000,20150929-S093000,20150929-S100000,20150929-S103000,20150929-S110000,20150929-S113000,20150929-S120000,20150929-S123000,20150929-S130000,20150929-S133000,20150929-S140000,20150929-S143000,20150929-S150000,20150929-S153000,20150929-S160000,20150929-S163000,20150929-S170000,20150929-S173000,20150929-S180000,20150929-S183000,20150929-S190000,20150929-S193000,20150929-S200000,20150929-S203000,20150929-S210000,20150929-S213000,20150929-S220000,20150929-S223000,20150929-S230000,20150929-S233000,20150930-S000000,20150930-S003000,20150930-S010000,20150930-S013000,20150930-S020000,20150930-S023000,20150930-S030000,20150930-S033000,20150930-S040000,20150930-S043000,20150930-S050000,20150930-S053000,20150930-S060000,20150930-S063000,20150930-S070000,20150930-S073000,20150930-S080000,20150930-S083000,20150930-S090000,20150930-S093000,20150930-S100000,20150930-S103000,20150930-S110000,20150930-S113000,20150930-S120000,20150930-S123000,20150930-S130000,20150930-S133000,20150930-S140000,20150930-S143000,20150930-S150000,20150930-S153000,20150930-S160000,20150930-S163000,20150930-S170000,20150930-S173000,20150930-S180000,20150930-S183000,20150930-S190000,20150930-S193000,20150930-S200000,20150930-S203000,20150930-S210000,20150930-S213000,20150930-S220000,20150930-S223000,20150930-S230000,20150930-S233000,20151001-S000000,20151001-S003000,20151001-S010000,20151001-S013000,20151001-S020000,20151001-S023000,20151001-S030000,20151001-S033000,20151001-S040000,20151001-S043000,20151001-S050000,20151001-S053000,20151001-S060000,20151001-S063000,20151001-S070000,20151001-S073000,20151001-S080000,20151001-S083000,20151001-S090000,20151001-S093000,20151001-S100000,20151001-S103000,20151001-S110000,20151001-S113000,20151001-S120000,20151001-S123000,20151001-S130000,20151001-S133000,20151001-S140000,20151001-S143000,20151001-S150000,20151001-S153000,20151001-S160000,20151001-S163000,20151001-S170000,20151001-S173000,20151001-S180000,20151001-S183000,20151001-S190000,20151001-S193000,20151001-S200000,20151001-S203000,20151001-S210000,20151001-S213000,20151001-S220000,20151001-S223000,20151001-S230000,20151001-S233000
PH175301000,0.31333333333333335,0.16666666666666669,0.11333333333333333,0.0,0.03333333333333333,0.09333333333333334,0.3933333333333333,1.2133333333333334,1.7466666666666666,3.793333333333333,3.8466666666666667,3.8600000000000003,2.8866666666666667,1.8466666666666665,1.6199999999999999,2.4733333333333336,1.3800000000000001,0.7533333333333333,0.48666666666666664,0.45999999999999996,0.36666666666666664,0.32,0.33333333333333337,0.2733333333333333,0.16666666666666669,0.12666666666666665,0.05333333333333333,0.04666666666666667,0.03333333333333333,0.026666666666666665,0.05333333333333333,0.06,0.08666666666666667,0.08666666666666667,0.0,0.05333333333333333,0.10666666666666666,0.08,0.03333333333333333,0.04,0.013333333333333332,0.013333333333333332,0.0,0.04666666666666667,0.04666666666666667,0.1,0.11333333333333333,0.07333333333333333,0.04666666666666667,0.04,0.0,0.0,0.0,0.013333333333333332,3.913333333333333,2.8,1.5333333333333334,0.8333333333333334,1.02,1.8666666666666667,1.8800000000000001,1.6600000000000001,1.1466666666666667,1.0133333333333332,1.1199999999999999,1.0533333333333332,0.6133333333333334,0.5066666666666666,0.08666666666666667,0.08,0.05333333333333333,0.013333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666666,0.03333333333333333,0.08,0.006666666666666666,0.006666666666666666,0.013333333333333332,0.02,0.026666666666666665,0.026666666666666665,0.013333333333333332,0.006666666666666666,0.0,0.006666666666666666,0.006666666666666666,0.013333333333333332,0.013333333333333332,0.7066666666666667,0.6599999999999999,0.5133333333333334,0.7933333333333333,0.7533333333333333,0.2,0.1,0.08,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666666,0.006666666666666666,0.006666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.026666666666666665,0.0,0.006666666666666666,0.05333333333333333,0.04,0.013333333333333332,0.0,0.0,0.0,0.0,0.0,0.006666666666666666,0.02,0.13999999999999999,0.7933333333333333,1.1266666666666667,0.9133333333333333,0.9333333333333333,0.7866666666666666,0.44666666666666666,0.36666666666666664,0.27999999999999997,0.18,0.32,0.37333333333333335,0.5066666666666666,0.5,1.28,1.08,0.9,0.15333333333333335,0.2066666666666667,0.2066666666666667,0.18666666666666668,0.06666666666666667,0.05333333333333333,0.04,0.026666666666666665,0.026666666666666665,0.013333333333333332,0.006666666666666666,0.0,0.0,0.0,0.08,0.08666666666666667,0.15333333333333335,0.22666666666666666,0.16,0.12,0.11333333333333333,0.16,0.2066666666666667,0.18666666666666668
PH175101000,1.6785714285714284,0.9357142857142857,0.6857142857142857,0.1,0.14285714285714285,0.1,0.16428571428571428,0.2571428571428572,0.42857142857142855,0.4428571428571429,2.335714285714286,3.5142857142857147,2.95,2.3714285714285714,1.7642857142857142,1.092857142857143,0.7642857142857143,0.3142857142857143,0.7928571428571429,0.9071428571428571,1.1642857142857141,0.7571428571428571,0.4142857142857143,0.33571428571428574,0.22857142857142856,0.2357142857142857,0.12142857142857141,0.11428571428571428,0.0642857142857143,0.05714285714285714,0.0642857142857143,0.0642857142857143,0.10714285714285714,0.10714285714285714,0.25,0.20714285714285716,0.2,0.16428571428571428,0.10714285714285714,0.1,0.09285714285714286,0.04285714285714286,0.0,0.0642857142857143,0.07142857142857142,0.11428571428571428,0.15,0.1285714285714286,0.07857142857142857,0.05714285714285714,0.0,0.0,0.007142857142857143,0.07142857142857142,0.21428571428571427,0.3,0.4928571428571429,0.5142857142857143,0.32142857142857145,0.25,0.03571428571428571,0.03571428571428571,0.1,0.07857142857142857,0.09285714285714286,0.09285714285714286,0.08571428571428572,0.07142857142857142,0.05714285714285714,0.08571428571428572,0.08571428571428572,0.03571428571428571,0.02142857142857143,0.014285714285714285,0.0,0.0,0.0,0.02142857142857143,0.04285714285714286,0.07857142857142857,0.09285714285714286,0.14285714285714285,0.14285714285714285,0.13571428571428573,0.09285714285714286,0.0642857142857143,0.04285714285714286,0.0642857142857143,0.07142857142857142,0.03571428571428571,0.0,0.05,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.007142857142857143,0.014285714285714285,0.014285714285714285,0.02142857142857143,0.07142857142857142,0.0,0.02142857142857143,0.07857142857142857,0.09285714285714286,0.12142857142857141,0.08571428571428572,0.0642857142857143,0.04285714285714286,0.39285714285714285,2.107142857142857,5.914285714285715,7.15,1.8714285714285714,1.6214285714285714,0.9071428571428571,0.5,0.39285714285714285,0.2642857142857143,0.12142857142857141,0.09285714285714286,0.02142857142857143,0.15714285714285714,0.17857142857142858,0.2571428571428572,0.15,0.04285714285714286,0.07857142857142857,0.0642857142857143,0.35714285714285715,0.4928571428571429,0.5142857142857143,0.42142857142857143,0.7571428571428571,0.9642857142857142,0.40714285714285714,0.2928571428571428,0.35,0.27142857142857146,0.007142857142857143,0.014285714285714285,0.2928571428571428,0.02857142857142857,0.15,0.09285714285714286,0.17142857142857143,0.2357142857142857,0.4,0.4,0.014285714285714285,0.5285714285714286,1.0785714285714287,0.9214285714285714,1.1285714285714286,8.32857142857143,10.235714285714286,16.307142857142857,15.735714285714286,16.49285714285714,14.2,7.757142857142857,2.3785714285714286,1.8142857142857143,1.1785714285714286,1.0714285714285714,0.6642857142857144,0.6428571428571429,0.9357142857142857,0.8785714285714287,1.2714285714285714,1.0,1.3571428571428572,1.7785714285714285,2.45,2.5571428571428574,4.578571428571428,6.585714285714286,5.392857142857143,4.592857142857143,5.107142857142857,5.235714285714286,5.671428571428572,5.292857142857143,5.0,4.85
PH030801000,0.15,0.1,0.075,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.15,0.225,0.3,0.525,0.55,0.9,1.075,0.9,0.85,0.775,0.95,1.1,0.975,0.575,0.65,0.475,0.425,0.275,0.175,0.825,0.85,0.0,0.0,0.0,0.1,0.15,0.125,0.075,0.1,0.075,0.05,0.0,0.05,0.05,0.075,0.1,0.125,0.075,0.05,0.0,0.0,0.0,0.05,0.1,0.0,0.1,0.1,0.075,0.05,0.0,0.025,0.05,0.1,0.125,0.15,0.15,0.15,0.1,0.0,0.0,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.575,0.775,1.225,0.85,0.0,0.0,1.425,0.0,0.0,0.0,0.0,0.0,0.05,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.475,0.5,0.6,0.45,0.05,0.0,0.05,0.1,0.05,0.075,0.075,0.8,0.975,0.825,0.25,0.55,0.875,1.5,1.5,5.325,4.2,3.3,3.1,2.65,2.55,2.525,2.45,2.425,2.05,2.45,2.2,0.875,1.25,1.225,1.475,1.275,2.05,3.025,3.225,3.675,3.55,4.7,6.4,6.75,4.2,7.65,11.025,6.2,3.025,4.7,5.1,6.5,5.1,3.875,3.975
PH021501000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,1.475,0.2,0.0,0.0,0.375,0.0,0.0,0.0,0.1,0.55,0.2,0.225,0.125,0.1,0.0,0.05,0.05,0.2,0.55,1.0,1.85,1.875,1.625,4.425,4.525,5.475,2.525,5.925,2.575,2.175,3.9,4.35,3.225,1.25,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PH083701000,0.175,0.0875,0.0625,0.0,0.0,0.0,0.1375,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0375,0.0125,0.0125,0.0125,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.25,0.375,0.65,0.575,0.25,0.125,0.075,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.5125,0.7125,1.3,2.0,2.525,3.7875,3.8125,2.9125,1.675,1.2375,0.375,0.1625,0.075,0.0125,0.0,0.125,0.0875,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,2.125,4.3125,4.85,3.1125,2.2875,1.825,1.95,1.5375,1.2125,0.9375,0.9375,0.7875,0.7625,0.7625,0.7375,0.3625,0.05,0.05,0.0625,0.075,0.1125,0.1,0.1125,0.0375,0.0,0.0,0.0,0.0,1.4875,1.425,0.75,0.5,0.2625,0.1125,0.0125,0.0125,0.0,0.0,0.0,0.0,0.0,0.05,0.0375,0.025,0.025,0.0,0.0125,0.0125,0.025,0.025,0.0375,0.0375,0.05,0.025,0.025,0.0,0.525,0.6375,0.9375,0.2625,0.1625,0.1375,0.05,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.025,0.0375,0.0125,0.0125,0.1875,0.1125,0.0125,0.0125,0.0125,0.025,0.0,0.0,0.0125,0.0,0.0,0.0125,0.0125,0.0125,0.025,0.0125
PH012801000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.21666666666666665,0.33333333333333337,0.23333333333333334,0.18333333333333332,0.15,0.06666666666666667,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2833333333333333,0.0,0.03333333333333333,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08333333333333334,0.1,0.05,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2833333333333333,0.4833333333333333,0.7833333333333333,0.8833333333333334,1.85,2.1333333333333333,2.9,2.1,2.1,1.9333333333333331,1.4833333333333334,2.1166666666666667,2.083333333333333,2.083333333333333,1.0833333333333335,0.7333333333333333,0.4,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06666666666666667,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.08333333333333334,0.03333333333333333,0.0,0.0,0.0,0.0,0.45,1.3833333333333333,0.8833333333333334,1.0833333333333335,0.6,0.4666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.016666666666666666,0.05,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.4166666666666667,0.8,1.4166666666666665,3.5666666666666664,4.083333333333334,1.8333333333333333,1.25,1.6833333333333331,2.916666666666667,3.5166666666666666,16.483333333333334,11.033333333333333,4.45,2.75,1.6666666666666667,1.0333333333333334,0.4,0.03333333333333333,0.16666666666666669,0.05,0.0
PH045601000,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.0,0.0,0.13333333333333333,0.2,0.3,0.26666666666666666,0.23333333333333334,0.2,0.4666666666666667,0.06666666666666667,0.0,0.0,0.13333333333333333,0.1,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.5666666666666667,0.9333333333333333,0.6,0.33333333333333337,0.26666666666666666,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.1,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.1,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5666666666666667,0.6333333333333333,1.1,1.3333333333333335,1.2,1.1666666666666665,1.0,0.4666666666666667,0.0,0.03333333333333333,0.16666666666666669,0.06666666666666667,0.0,0.0,0.0,0.1,0.4,0.13333333333333333,1.1,1.8333333333333333,1.5666666666666667,4.1,4.233333333333333,1.5,1.0666666666666667,0.8666666666666666,0.4,0.4666666666666667,0.0,0.7333333333333333,0.16666666666666669,0.16666666666666669,0.33333333333333337,1.4,1.8333333333333333,1.9666666666666668,1.5,0.4333333333333333,0.4666666666666667,0.3,0.23333333333333334,1.1333333333333333,4.033333333333333,5.033333333333333,2.7666666666666666,1.6333333333333333,1.6333333333333333,0.7,1.2,2.8666666666666667,1.7,1.8666666666666667,1.9333333333333331,1.9333333333333331,2.0,2.0,2.8666666666666667,19.933333333333334,6.333333333333334,2.033333333333333,1.4333333333333333,1.4333333333333333,1.6333333333333333,2.8,3.5,2.666666666666667,2.8,2.8666666666666667,5.533333333333333,5.3,4.533333333333333,3.9333333333333336,3.033333333333333,1.4,1.8666666666666667,1.7,2.5,1.8,1.6333333333333333,1.3333333333333335,1.4666666666666666,1.5666666666666667,1.4
PH025701000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.44000000000000006,0.65,0.32999999999999996,0.04,0.04,0.38,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.01,0.1,1.5699999999999998,1.94,3.5100000000000002,5.13,5.14,5.55,1.8699999999999999,2.59,2.17,2.43,4.0,5.66,5.67,4.58,3.18,3.4899999999999998,3.04,1.8800000000000001,1.56,0.5599999999999999,0.6,0.55,0.8699999999999999,1.7600000000000002,1.05,1.78,1.8199999999999998,2.0300000000000002,0.9800000000000001,2.43,4.51,9.07,5.37,3.4299999999999997,3.9299999999999997,3.72,4.3100000000000005,4.26,3.19,2.69,2.3,1.41,1.1199999999999999,1.3199999999999998,0.35,0.51,0.54,0.45
PH015501000,1.7666666666666668,1.3,1.6166666666666667,1.5666666666666667,1.7833333333333332,1.2,1.5333333333333334,2.216666666666667,3.4666666666666663,3.6,3.25,3.066666666666667,2.8666666666666667,2.666666666666667,2.3833333333333333,1.9166666666666667,2.05,1.8166666666666669,1.05,0.8833333333333334,0.4333333333333333,0.31666666666666665,0.23333333333333334,0.6166666666666667,0.8333333333333334,1.4333333333333333,1.9166666666666667,1.8,1.0,0.7666666666666667,0.5,0.25,0.06666666666666667,0.0,0.0,0.03333333333333333,0.06666666666666667,0.05,0.03333333333333333,0.03333333333333333,0.016666666666666666,0.0,0.0,0.1,0.1,0.16666666666666669,0.21666666666666665,0.16666666666666669,0.21666666666666665,0.21666666666666665,0.6833333333333333,0.36666666666666664,0.5,0.4,0.15,0.03333333333333333,0.05,0.05,0.016666666666666666,0.016666666666666666,0.0,0.08333333333333334,0.08333333333333334,0.11666666666666667,0.2,0.21666666666666665,0.26666666666666666,0.26666666666666666,0.2833333333333333,0.2,0.2,0.08333333333333334,0.06666666666666667,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,1.3166666666666667,0.26666666666666666,0.33333333333333337,0.26666666666666666,0.2833333333333333,0.23333333333333334,0.11666666666666667,0.16666666666666669,0.13333333333333333,0.18333333333333332,0.26666666666666666,0.33333333333333337,0.36666666666666664,0.3,0.23333333333333334,0.11666666666666667,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.1,0.1,0.15,0.18333333333333332,0.5,0.6,0.8666666666666666,0.8166666666666667,0.5,0.36666666666666664,0.23333333333333334,0.11666666666666667,0.15,0.08333333333333334,0.13333333333333333,0.11666666666666667,0.15,0.25,0.2833333333333333,0.65,2.566666666666667,1.2833333333333334,1.6333333333333333,1.8833333333333333,0.5166666666666667,0.35,0.18333333333333332,0.7333333333333333,1.0666666666666667,1.1166666666666667,1.9666666666666668,2.966666666666667,3.6166666666666663,3.35,3.75
PH041001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.45,0.65,0.5,0.35,0.3,0.15,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.45,0.4,0.45,0.25,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.1,0.05,0.0,0.0,0.05,0.1,0.1,0.15,0.1,0.1,0.1,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.55,0.3,0.2,0.05,0.2,0.25,0.4,0.2,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.35,0.5,0.5,0.4,0.15,0.0,0.0,0.0,0.5,0.85,1.05,0.2,0.1,0.15,0.4,0.7,0.9,0.85,0.45,0.25,0.1,0.1,0.05,0.3,0.0,0.0,0.0,0.75,0.95,1.5,1.8,3.7,4.25,5.85,5.75,3.6,4.6,2.75,1.75,2.25,2.15,2.3,1.65,2.05,3.35,3.5,4.05,4.9,6.05,6.5,7.35,7.55,15.1,22.4,15.45,10.9,8.35,7.65,5.5,4.55,3.75,3.55
