ADM3_PCODE,20161222-S000000,20161222-S003000,20161222-S010000,20161222-S013000,20161222-S020000,20161222-S023000,20161222-S030000,20161222-S033000,20161222-S040000,20161222-S043000,20161222-S050000,20161222-S053000,20161222-S060000,20161222-S063000,20161222-S070000,20161222-S073000,20161222-S080000,20161222-S083000,20161222-S090000,20161222-S093000,20161222-S100000,20161222-S103000,20161222-S110000,20161222-S113000,20161222-S120000,20161222-S123000,20161222-S130000,20161222-S133000,20161222-S140000,20161222-S143000,20161222-S150000,20161222-S153000,20161222-S160000,20161222-S163000,20161222-S170000,20161222-S173000,20161222-S180000,20161222-S183000,20161222-S190000,20161222-S193000,20161222-S200000,20161222-S203000,20161222-S210000,20161222-S213000,20161222-S220000,20161222-S223000,20161222-S230000,20161222-S233000,20161223-S000000,20161223-S003000,20161223-S010000,20161223-S013000,20161223-S020000,20161223-S023000,20161223-S030000,20161223-S033000,20161223-S040000,20161223-S043000,20161223-S050000,20161223-S053000,20161223-S060000,20161223-S063000,20161223-S070000,20161223-S073000,20161223-S080000,20161223-S083000,20161223-S090000,20161223-S093000,20161223-S100000,20161223-S103000,20161223-S110000,20161223-S113000,20161223-S120000,20161223-S123000,20161223-S130000,20161223-S133000,20161223-S140000,20161223-S143000,20161223-S150000,20161223-S153000,20161223-S160000,20161223-S163000,20161223-S170000,20161223-S173000,20161223-S180000,20161223-S183000,20161223-S190000,20161223-S193000,20161223-S203000,20161223-S210000,20161223-S213000,20161223-S220000,20161223-S223000,20161223-S230000,20161223-S233000,20161224-S000000,20161224-S003000,20161224-S010000,20161224-S013000,20161224-S020000,20161224-S023000,20161224-S030000,20161224-S033000,20161224-S040000,20161224-S043000,20161224-S050000,20161224-S053000,20161224-S060000,20161224-S063000,20161224-S070000,20161224-S073000,20161224-S080000,20161224-S083000,20161224-S090000,20161224-S093000,20161224-S100000,20161224-S103000,20161224-S110000,20161224-S113000,20161224-S120000,20161224-S123000,20161224-S130000,20161224-S133000,20161224-S140000,20161224-S143000,20161224-S150000,20161224-S153000,20161224-S160000,20161224-S163000,20161224-S170000,20161224-S173000,20161224-S180000,20161224-S183000,20161224-S190000,20161224-S193000,20161224-S200000,20161224-S203000,20161224-S210000,20161224-S213000,20161224-S220000,20161224-S223000,20161224-S230000,20161224-S233000,20161225-S000000,20161225-S003000,20161225-S010000,20161225-S013000,20161225-S020000,20161225-S023000,20161225-S030000,20161225-S033000,20161225-S040000,20161225-S043000,20161225-S050000,20161225-S053000,20161225-S060000,20161225-S063000,20161225-S070000,20161225-S073000,20161225-S080000,20161225-S083000,20161225-S090000,20161225-S093000,20161225-S100000,20161225-S103000,20161225-S110000,20161225-S113000,20161225-S120000,20161225-S123000,20161225-S130000,20161225-S133000,20161225-S140000,20161225-S143000,20161225-S150000,20161225-S153000,20161225-S160000,20161225-S163000,20161225-S170000,20161225-S173000,20161225-S180000,20161225-S183000,20161225-S190000,20161225-S193000,20161225-S200000,20161225-S210000,20161225-S213000,20161225-S220000,20161225-S223000,20161225-S230000,20161225-S233000
PH175301000,0.0,0.006666666666666666,0.006666666666666666,0.0,0.0,0.0,0.013333333333333332,0.013333333333333332,0.013333333333333332,0.013333333333333332,0.0,0.0,0.6733333333333333,0.0,0.13999999999999999,0.18,1.1733333333333333,0.7733333333333333,0.35333333333333333,0.2533333333333333,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666666,0.02,0.05333333333333333,0.05333333333333333,0.013333333333333332,0.026666666666666665,0.02,0.04,0.03333333333333333,0.006666666666666666,0.0,0.0,0.0,0.006666666666666666,0.006666666666666666,0.013333333333333332,0.0,0.0,0.0,0.006666666666666666,0.0,0.0,0.0,0.04,0.05333333333333333,0.05333333333333333,0.006666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026666666666666665,0.16666666666666669,0.08,0.18666666666666668,0.23333333333333334,0.2733333333333333,0.0,0.16,0.1,0.1,0.17333333333333334,0.22666666666666666,0.2733333333333333,0.04,0.0,0.37333333333333335,0.48,0.29333333333333333,0.0,0.0,0.026666666666666665,0.03333333333333333,0.006666666666666666,0.0,0.0,0.006666666666666666,0.11333333333333333,0.12,0.2066666666666667,0.14666666666666667,0.12666666666666665,0.06,0.026666666666666665,0.013333333333333332,0.006666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333332,0.05333333333333333,0.006666666666666666,0.013333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PH175101000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.2,0.09285714285714286,0.0,0.0,0.0,0.2,0.8071428571428572,1.2214285714285713,0.6,0.05714285714285714,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.007142857142857143,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.18571428571428572,0.07142857142857142,0.0,0.014285714285714285,0.0,0.0,0.0,0.007142857142857143,0.12142857142857141,0.37857142857142856,0.7642857142857143,3.6714285714285717,4.985714285714286,7.95,8.97857142857143,4.557142857142857,3.3142857142857145,3.3,3.1214285714285714,6.2214285714285715,10.15,13.55,14.378571428571428,18.45,25.35
PH030801000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.025,0.0,0.125,0.15,0.325,0.375,0.875,0.875,1.375,0.475,0.325,0.075,0.35,1.1
PH021501000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.15,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.475,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.475,0.375,0.175,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PH083701000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0125,0.15,1.4,2.3625,1.4375,0.7375,0.275,0.4625,0.1625,0.0,0.0125,0.0375,0.0375,0.25,0.2375,0.0125,0.3625,0.175,0.125,0.725,1.85,1.875,0.725,0.775,1.6375,1.95,0.8625,0.3375,0.3,0.225,0.0,0.375,0.1625,0.1125,0.175,0.4,0.35,0.1125,0.0,0.5375,1.5375,2.35,1.325,0.9125,0.9375,0.025,0.4125,0.725,0.8875,1.025,0.3625,0.0,0.0,0.325,0.2625,0.1125,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0125,0.0125,0.0,0.0,0.0,0.0,0.0,0.0875,0.15,0.125,0.2,0.05,0.025,0.0375,0.0,0.0,0.05,0.025,0.0625,0.0,0.0,0.0,0.25,1.4,0.525,0.3125,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.225,0.7,0.0,0.0,0.0,0.575,0.2375,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.275,0.35,0.2,0.2125,0.125,0.0,0.0,0.0125,0.0625,0.0,0.0125,0.025,0.0125,0.0,0.0,0.0
PH012801000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666
PH045601000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23333333333333334,0.0,0.0,0.0,0.0,0.5,0.6666666666666667,2.3666666666666667,0.0,0.0,0.0,0.23333333333333334,5.9,0.4333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.23333333333333334,0.33333333333333337,0.13333333333333333,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.5333333333333333,0.36666666666666664,0.2,0.5333333333333333,0.5,1.1666666666666665,5.066666666666666,9.966666666666667,11.833333333333332,11.266666666666667,13.266666666666666,17.466666666666665,24.966666666666665,41.7,8.433333333333334,10.4,15.033333333333335,48.83333333333333,30.633333333333333,21.066666666666666,29.633333333333333,20.066666666666666,27.93333333333333,10.133333333333333
PH025701000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33999999999999997,0.42000000000000004,0.64,0.32999999999999996,0.0,0.0,0.0,0.0,0.0,0.85,1.4300000000000002,0.77,0.5900000000000001,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11000000000000001,0.58,0.0,0.0,0.0,0.01,1.2,1.22,0.9800000000000001,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,2.13,3.25,5.21,6.85,3.8600000000000003,0.04
PH015501000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.03333333333333333,0.05,0.1,0.18333333333333332,0.2,0.1,0.08333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.16666666666666669,0.3,0.4,0.0,0.0,0.0
PH041001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.15,2.1,4.85,5.6,9.7,10.4,12.4,2.3,3.9,3.35,2.35,3.2,10.2,13.95,13.95,9.65,12.55,25.5
