ADM3_PCODE,20171218-S000000,20171218-S003000,20171218-S010000,20171218-S013000,20171218-S020000,20171218-S023000,20171218-S030000,20171218-S033000,20171218-S040000,20171218-S043000,20171218-S050000,20171218-S053000,20171218-S060000,20171218-S063000,20171218-S070000,20171218-S073000,20171218-S080000,20171218-S083000,20171218-S090000,20171218-S093000,20171218-S100000,20171218-S103000,20171218-S110000,20171218-S113000,20171218-S120000,20171218-S123000,20171218-S130000,20171218-S133000,20171218-S140000,20171218-S143000,20171218-S150000,20171218-S153000,20171218-S160000,20171218-S163000,20171218-S170000,20171218-S173000,20171218-S180000,20171218-S183000,20171218-S190000,20171218-S193000,20171218-S200000,20171218-S203000,20171218-S210000,20171218-S213000,20171218-S220000,20171218-S223000,20171218-S230000,20171218-S233000,20171219-S000000,20171219-S003000,20171219-S010000,20171219-S013000,20171219-S020000,20171219-S023000,20171219-S030000,20171219-S033000,20171219-S040000,20171219-S043000,20171219-S050000,20171219-S053000,20171219-S060000,20171219-S063000,20171219-S070000,20171219-S073000,20171219-S080000,20171219-S083000,20171219-S090000,20171219-S093000,20171219-S100000,20171219-S103000,20171219-S110000,20171219-S113000,20171219-S120000,20171219-S123000,20171219-S130000,20171219-S133000,20171219-S140000,20171219-S143000,20171219-S150000,20171219-S153000,20171219-S160000,20171219-S163000,20171219-S170000,20171219-S173000,20171219-S180000,20171219-S183000,20171219-S190000,20171219-S193000,20171219-S200000,20171219-S203000,20171219-S210000,20171219-S213000,20171219-S220000,20171219-S223000,20171219-S230000,20171219-S233000,20171220-S000000,20171220-S003000,20171220-S010000,20171220-S013000,20171220-S020000,20171220-S023000,20171220-S030000,20171220-S033000,20171220-S040000,20171220-S043000,20171220-S050000,20171220-S053000,20171220-S060000,20171220-S063000,20171220-S070000,20171220-S073000,20171220-S080000,20171220-S083000,20171220-S090000,20171220-S093000,20171220-S100000,20171220-S103000,20171220-S110000,20171220-S113000,20171220-S120000,20171220-S123000,20171220-S130000,20171220-S133000,20171220-S140000,20171220-S143000,20171220-S150000,20171220-S153000,20171220-S160000,20171220-S163000,20171220-S170000,20171220-S173000,20171220-S180000,20171220-S183000,20171220-S190000,20171220-S193000,20171220-S200000,20171220-S203000,20171220-S210000,20171220-S213000,20171220-S220000,20171220-S223000,20171220-S230000,20171220-S233000,20171221-S000000,20171221-S003000,20171221-S010000,20171221-S013000,20171221-S020000,20171221-S023000,20171221-S030000,20171221-S033000,20171221-S040000,20171221-S043000,20171221-S050000,20171221-S053000,20171221-S060000,20171221-S063000,20171221-S070000,20171221-S073000,20171221-S080000,20171221-S083000,20171221-S090000,20171221-S093000,20171221-S100000,20171221-S103000,20171221-S110000,20171221-S113000,20171221-S120000,20171221-S123000,20171221-S130000,20171221-S133000,20171221-S140000,20171221-S143000,20171221-S150000,20171221-S153000,20171221-S160000,20171221-S163000,20171221-S170000,20171221-S173000,20171221-S180000,20171221-S183000,20171221-S190000,20171221-S193000,20171221-S200000,20171221-S203000,20171221-S210000,20171221-S213000,20171221-S220000,20171221-S223000,20171221-S230000,20171221-S233000
PH175301000,5.1466666666666665,4.113333333333333,3.853333333333333,4.253333333333333,3.986666666666667,2.086666666666667,1.3866666666666667,0.62,0.5333333333333333,0.06666666666666667,0.0,0.006666666666666666,0.05333333333333333,0.02,0.006666666666666666,0.013333333333333332,0.02,0.09333333333333334,0.4,0.42666666666666664,0.3066666666666667,0.24666666666666667,0.0,0.0,0.013333333333333332,0.0,0.0,0.0,0.0,0.0,0.006666666666666666,0.9933333333333334,0.8133333333333332,0.5333333333333333,0.5,0.8,0.8666666666666666,0.62,0.4133333333333334,0.33333333333333337,0.2866666666666667,0.18666666666666668,0.3466666666666667,0.48666666666666664,0.6799999999999999,6.093333333333333,8.78,13.093333333333334,8.606666666666666,7.066666666666667,8.02,8.646666666666667,10.746666666666666,11.473333333333333,7.720000000000001,10.726666666666667,8.126666666666667,4.8,2.5266666666666664,1.9666666666666668,1.28,0.6533333333333333,0.5866666666666667,0.07333333333333333,0.2,0.13333333333333333,0.10666666666666666,0.11333333333333333,0.2066666666666667,0.21333333333333332,0.04,0.33333333333333337,0.36666666666666664,0.2,0.0,0.0,0.0,0.0,0.0,0.013333333333333332,0.02,0.026666666666666665,0.04,0.04666666666666667,0.04,0.026666666666666665,0.02,0.006666666666666666,0.026666666666666665,0.026666666666666665,0.23333333333333334,0.27999999999999997,0.4,0.42000000000000004,0.31333333333333335,3.18,3.9200000000000004,7.3533333333333335,16.92666666666667,23.72,5.333333333333334,5.786666666666667,6.34,5.546666666666667,3.706666666666667,2.92,2.1933333333333334,0.37333333333333335,1.7399999999999998,2.3600000000000003,4.46,6.586666666666666,7.026666666666666,6.713333333333334,7.513333333333334,8.373333333333333,10.473333333333333,10.586666666666666,9.033333333333333,5.806666666666667,4.133333333333334,4.14,3.2333333333333334,3.3,3.9333333333333336,3.4,2.2066666666666666,1.24,0.6666666666666667,0.2733333333333333,0.08666666666666667,0.1,0.13999999999999999,0.09333333333333334,0.05333333333333333,0.04,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.013333333333333332,0.006666666666666666,0.24666666666666667,0.2533333333333333,0.0,0.0,0.0,0.0,0.013333333333333332,0.02,0.03333333333333333,0.013333333333333332,0.026666666666666665,0.0,0.13333333333333333,0.15333333333333335,0.22000000000000003,0.24666666666666667,0.23333333333333334,0.19333333333333333,0.26666666666666666,0.33333333333333337,0.6066666666666667,0.6533333333333333,0.9266666666666667,0.26,0.06,0.02,0.006666666666666666,0.0,0.0,0.006666666666666666,0.0,0.0,0.006666666666666666,0.013333333333333332,0.006666666666666666,0.013333333333333332,0.0,0.0,0.0,0.013333333333333332,0.03333333333333333,0.08,0.04,0.02,0.006666666666666666,0.0,0.006666666666666666,0.0,0.0
PH175101000,0.0,0.0,0.0,0.0,0.24285714285714283,0.32857142857142857,0.4714285714285714,0.7642857142857143,1.3357142857142859,1.4785714285714286,0.13571428571428573,0.13571428571428573,0.19285714285714287,0.07142857142857142,0.05,0.05714285714285714,0.07142857142857142,0.07857142857142857,0.1285714285714286,0.1285714285714286,0.11428571428571428,0.12142857142857141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32142857142857145,1.1642857142857141,0.9428571428571428,0.8857142857142858,1.8285714285714285,0.6857142857142857,0.25,0.22857142857142856,0.3142857142857143,0.32857142857142857,0.16428571428571428,0.02142857142857143,0.02857142857142857,0.07142857142857142,0.0,0.05714285714285714,0.16428571428571428,0.0,0.0,0.03571428571428571,0.0642857142857143,0.05714285714285714,0.07857142857142857,0.04285714285714286,0.2357142857142857,0.37857142857142856,0.3142857142857143,0.17857142857142858,0.07142857142857142,0.05714285714285714,0.0,0.02142857142857143,0.05714285714285714,0.04285714285714286,0.04285714285714286,0.08571428571428572,0.10714285714285714,0.34285714285714286,0.10714285714285714,0.05714285714285714,0.03571428571428571,0.007142857142857143,0.007142857142857143,0.07142857142857142,0.007142857142857143,0.007142857142857143,0.1,1.9142857142857141,1.1214285714285714,2.1714285714285717,0.6785714285714286,0.39285714285714285,0.09285714285714286,0.014285714285714285,0.014285714285714285,0.0,0.0,0.0,0.02142857142857143,0.014285714285714285,0.0,0.02857142857142857,0.0,0.07142857142857142,0.0642857142857143,0.05714285714285714,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.07142857142857142,0.05,0.02142857142857143,0.2571428571428572,0.3142857142857143,0.4642857142857143,0.5428571428571429,0.7142857142857143,0.30714285714285716,0.19285714285714287,0.1285714285714286,0.07857142857142857,0.05714285714285714,0.0,0.0,0.04285714285714286,0.0642857142857143,0.10714285714285714,0.18571428571428572,0.32857142857142857,0.42142857142857143,0.47857142857142854,0.5928571428571429,0.5785714285714285,0.35714285714285715,0.2785714285714286,0.22857142857142856,0.2357142857142857,0.39285714285714285,0.39285714285714285,0.6857142857142857,0.4714285714285714,1.157142857142857,1.7071428571428573,2.3714285714285714,3.1,4.807142857142857,4.878571428571428,3.942857142857143,2.2285714285714286,1.1,0.8785714285714287,0.18571428571428572,0.3,0.36428571428571427,0.39285714285714285,0.48571428571428565,0.40714285714285714,0.37857142857142856,0.35714285714285715,0.25,0.21428571428571427,0.15714285714285714,0.0,0.0,0.0,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.02142857142857143,0.02142857142857143,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.0,0.02857142857142857,0.03571428571428571,0.22142857142857145,0.0,0.0,0.0
PH030801000,0.85,2.225,2.0,2.625,2.275,1.55,1.575,1.9,0.6,0.35,0.475,0.475,0.75,1.95,0.8,0.15,0.075,0.075,0.125,0.125,0.2,0.325,0.15,0.15,0.125,0.15,0.15,0.15,0.1,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.05,0.075,0.15,0.175,2.375,1.925,0.7,0.2,0.125,0.025,2.225,1.625,0.45,0.075,0.925,1.6,1.675,1.075,0.275,0.2,0.45,1.0,0.4,0.1,0.2,0.225,0.75,1.275,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.1,0.275,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PH021501000,0.0,0.525,0.0,0.0,0.0,0.45,1.275,3.85,2.3,0.0,0.0,0.0,0.05,1.6,3.975,3.2,1.175,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.175,0.1,0.0,0.025,0.275,0.35,0.0,0.5,0.5,0.075,0.025,1.375,0.875,0.075,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PH083701000,0.0,0.0,0.0,0.0,0.0125,0.0125,0.0125,0.0375,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0375,0.075,0.0375,0.025,0.0,0.0,0.0125,0.0,0.0125,0.0125,0.0125,0.025,0.025,0.25,0.2875,0.425,0.7375,0.8375,0.6875,0.35,0.2375,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.05,0.0875,0.1125,0.35,0.7375,0.6375,0.0,0.1375,0.8625,0.3375,0.025,0.0625,0.1625,0.2875,0.475,0.3375,0.2625,0.2875,0.325,0.1125,0.0125,0.0,0.0,0.0,0.0125,0.0125,0.0,0.0125,0.05,0.0625,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0625,0.1625,0.425,0.6,0.225,0.125,0.2125,0.125,0.0,0.15,0.5625,1.8625,2.625,2.0,0.8125,0.175,0.1375,0.4625,0.65,0.65,0.35,0.0,0.0125,0.0,0.0,0.0,0.0,0.1,0.175,0.325,0.375,0.3625,0.15,0.1125,0.075,0.025,0.0,0.0,0.0,0.1875,0.025,0.6125,0.5375,1.275,2.275,3.2875,2.2875,0.925,0.65,0.8875,1.0875,2.175,4.3625,5.35,6.2875,5.0,3.9875,3.0875,2.1875,1.5875,1.3125,0.8125,2.375,1.825,2.2625,1.7125,1.875,0.3125,0.675,8.0875,1.9875,1.875,1.0875,0.2,0.8625,1.25,0.9,1.2875,1.9625,3.375,2.1375,0.4,1.1
PH012801000,0.0,0.0,0.0,0.0,0.0,0.0,0.23333333333333334,0.65,2.7,0.0,0.0,0.0,0.08333333333333334,0.08333333333333334,0.45,1.0333333333333334,0.6833333333333333,1.0666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4333333333333333,1.6833333333333331,0.9333333333333333,0.0,0.0,0.0,3.65,0.0,0.0,0.0,0.0,0.0,0.08333333333333334,0.15,0.15,0.06666666666666667,0.0,0.05,0.08333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.03333333333333333,0.4833333333333333,0.06666666666666667,0.0,0.016666666666666666,0.21666666666666665,0.5333333333333333,0.016666666666666666,0.3,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PH045601000,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.1,0.16666666666666669,0.2,0.0,0.0,0.0,0.0,0.1,0.03333333333333333,0.03333333333333333,0.8,0.1,0.1,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0333333333333334,1.8,2.1,2.1333333333333333,1.7333333333333332,3.3333333333333335,2.066666666666667,2.6,2.466666666666667,1.8666666666666667,2.2666666666666666,2.1333333333333333,1.9333333333333331,1.9333333333333331,1.8,1.5333333333333334,0.2,0.16666666666666669,0.13333333333333333,0.16666666666666669,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0333333333333334,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8666666666666666,1.9333333333333331,2.5,3.8333333333333335,6.8,7.133333333333333,7.033333333333333,4.5,2.6333333333333333,1.9666666666666668,2.033333333333333,1.5,1.5333333333333334,2.433333333333333,2.3666666666666667,2.433333333333333,1.6666666666666667,1.5,1.5,1.9,3.1,3.166666666666667,3.0,1.5666666666666667,0.9333333333333333,0.5,0.3,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.1,0.1,0.16666666666666669,0.2,0.3,0.5,0.5666666666666667,0.5333333333333333,0.4,0.33333333333333337,0.16666666666666669,0.03333333333333333,0.0,0.0,0.0,0.4333333333333333,1.4666666666666666,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PH025701000,0.1,0.8800000000000001,0.22999999999999998,0.3,0.8699999999999999,2.06,3.29,6.76,5.05,4.95,5.1899999999999995,5.2700000000000005,3.84,4.9399999999999995,8.690000000000001,12.16,9.16,8.879999999999999,10.07,10.120000000000001,11.24,10.05,10.16,18.56,20.369999999999997,28.32,30.889999999999997,30.330000000000002,17.22,11.73,7.040000000000001,4.65,3.22,1.1,1.0,1.6199999999999999,0.13,0.19,0.27999999999999997,0.24,0.04,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.1,0.06999999999999999,1.6600000000000001,1.1199999999999999,1.08,0.9199999999999999,1.3,0.5700000000000001,1.23,0.27999999999999997,0.19,0.55,1.47,3.4299999999999997,3.2399999999999998,2.9899999999999998,3.2299999999999995,2.4,0.45,0.0,0.01,0.0,0.0,0.36,1.41,5.88,17.509999999999998,34.03,27.57,20.3,13.14,8.09,4.95,3.45,2.35,3.78,2.09,0.53,0.18,0.22000000000000003,0.52,0.79,0.26,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.06,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.04,0.0,0.0,0.0
PH015501000,0.0,0.016666666666666666,0.0,0.0,0.03333333333333333,0.65,1.35,0.08333333333333334,0.23333333333333334,0.1,0.1,0.08333333333333334,0.05,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.08333333333333334,0.08333333333333334,0.05,0.03333333333333333,0.15,0.2,0.18333333333333332,0.21666666666666665,0.25,0.23333333333333334,0.15,0.08333333333333334,0.06666666666666667,0.016666666666666666,0.0,0.0,0.016666666666666666,0.016666666666666666,0.1,0.1,0.2,0.2833333333333333,0.4166666666666667,0.7166666666666667,0.75,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.3,0.23333333333333334,0.11666666666666667,0.06666666666666667,0.03333333333333333,0.016666666666666666,0.0,0.08333333333333334,0.05,0.016666666666666666,0.016666666666666666,0.0,0.05,0.016666666666666666,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.1,0.03333333333333333,0.1,0.05,0.016666666666666666,0.0,0.06666666666666667,0.2833333333333333,0.0,0.23333333333333334,0.05,0.016666666666666666,0.05,0.4166666666666667,0.05,0.016666666666666666,0.016666666666666666,0.05,0.0,0.15,0.08333333333333334,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PH041001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15,4.15,2.25,1.6,1.5,1.65,1.9,2.2,3.5,3.5,2.15,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.0,0.0,3.0,2.9,0.9,1.05,0.45,0.15,0.45,4.65,5.2,10.0,18.95,14.1,8.0,2.75,1.5,0.55,0.2,0.35,0.5,0.0,0.0,0.0,0.0,0.35,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.85,1.3,2.2,2.65,1.8,0.6,0.2,0.15,0.0,0.0,0.0,0.0,0.1,0.2,0.35,0.25,0.15,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.05,0.0,0.15,0.2,1.45,1.5,1.35,1.8,1.9,1.85,1.0,0.7,0.55,0.55,0.55,0.85,0.85,0.7,0.4,0.2,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
