ADM3_PCODE,20201108-S000000,20201108-S003000,20201108-S010000,20201108-S013000,20201108-S020000,20201108-S023000,20201108-S030000,20201108-S033000,20201108-S040000,20201108-S043000,20201108-S050000,20201108-S053000,20201108-S060000,20201108-S063000,20201108-S070000,20201108-S073000,20201108-S080000,20201108-S083000,20201108-S090000,20201108-S093000,20201108-S100000,20201108-S103000,20201108-S110000,20201108-S113000,20201108-S120000,20201108-S123000,20201108-S130000,20201108-S133000,20201108-S140000,20201108-S143000,20201108-S150000,20201108-S153000,20201108-S160000,20201108-S163000,20201108-S170000,20201108-S173000,20201108-S180000,20201108-S183000,20201108-S190000,20201108-S193000,20201108-S200000,20201108-S203000,20201108-S210000,20201108-S213000,20201108-S220000,20201108-S223000,20201108-S230000,20201108-S233000,20201109-S000000,20201109-S003000,20201109-S010000,20201109-S013000,20201109-S020000,20201109-S023000,20201109-S030000,20201109-S033000,20201109-S040000,20201109-S043000,20201109-S050000,20201109-S053000,20201109-S060000,20201109-S063000,20201109-S070000,20201109-S073000,20201109-S080000,20201109-S083000,20201109-S090000,20201109-S093000,20201109-S100000,20201109-S103000,20201109-S110000,20201109-S113000,20201109-S120000,20201109-S123000,20201109-S130000,20201109-S133000,20201109-S140000,20201109-S143000,20201109-S150000,20201109-S153000,20201109-S160000,20201109-S163000,20201109-S170000,20201109-S173000,20201109-S180000,20201109-S183000,20201109-S190000,20201109-S193000,20201109-S200000,20201109-S203000,20201109-S210000,20201109-S213000,20201109-S220000,20201109-S223000,20201109-S230000,20201109-S233000,20201110-S000000,20201110-S003000,20201110-S010000,20201110-S013000,20201110-S020000,20201110-S023000,20201110-S030000,20201110-S033000,20201110-S040000,20201110-S043000,20201110-S050000,20201110-S053000,20201110-S060000,20201110-S063000,20201110-S070000,20201110-S073000,20201110-S080000,20201110-S083000,20201110-S090000,20201110-S093000,20201110-S100000,20201110-S103000,20201110-S110000,20201110-S113000,20201110-S120000,20201110-S123000,20201110-S130000,20201110-S133000,20201110-S140000,20201110-S143000,20201110-S150000,20201110-S153000,20201110-S160000,20201110-S163000,20201110-S170000,20201110-S173000,20201110-S180000,20201110-S183000,20201110-S190000,20201110-S193000,20201110-S200000,20201110-S203000,20201110-S210000,20201110-S213000,20201110-S220000,20201110-S223000,20201110-S230000,20201110-S233000,20201111-S000000,20201111-S003000,20201111-S010000,20201111-S013000,20201111-S020000,20201111-S023000,20201111-S030000,20201111-S033000,20201111-S040000,20201111-S043000,20201111-S050000,20201111-S053000,20201111-S060000,20201111-S063000,20201111-S070000,20201111-S073000,20201111-S080000,20201111-S083000,20201111-S090000,20201111-S093000,20201111-S100000,20201111-S103000,20201111-S110000,20201111-S113000,20201111-S120000,20201111-S123000,20201111-S130000,20201111-S133000,20201111-S140000,20201111-S143000,20201111-S150000,20201111-S153000,20201111-S160000,20201111-S163000,20201111-S170000,20201111-S173000,20201111-S180000,20201111-S183000,20201111-S190000,20201111-S193000,20201111-S200000,20201111-S203000,20201111-S210000,20201111-S213000,20201111-S220000,20201111-S223000,20201111-S230000,20201111-S233000
PH175301000,1.0,1.1066666666666667,1.8266666666666667,1.7266666666666666,0.8400000000000001,0.5466666666666666,0.5466666666666666,0.4066666666666666,0.32,0.06,0.04,0.11333333333333333,0.12666666666666665,0.22666666666666666,0.4,0.48,0.48,0.24666666666666667,0.17333333333333334,0.13333333333333333,0.08,0.04666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333332,0.006666666666666666,0.006666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666666,0.03333333333333333,0.06,0.08666666666666667,0.21333333333333332,0.11333333333333333,0.1,0.0,0.07333333333333333,0.06666666666666667,0.026666666666666665,0.02,0.006666666666666666,0.0,0.006666666666666666,0.0,0.02,0.08666666666666667,0.27999999999999997,1.0533333333333332,1.58,2.533333333333333,0.9866666666666667,1.24,0.96,0.74,0.2,0.13999999999999999,0.05333333333333333,0.013333333333333332,0.006666666666666666,0.03333333333333333,0.06666666666666667,0.026666666666666665,0.0,0.006666666666666666,0.0,0.0,0.0,0.08666666666666667,0.42666666666666664,0.5866666666666667,0.5266666666666666,0.2533333333333333,0.16666666666666669,0.0,0.5066666666666666,0.48,0.27999999999999997,0.22666666666666666,0.33999999999999997,0.31333333333333335,0.27999999999999997,0.21333333333333332,0.24666666666666667,0.2066666666666667,0.2,0.10666666666666666,0.06,0.06,0.026666666666666665,0.04,0.04,0.08666666666666667,0.08666666666666667,0.26666666666666666,0.35333333333333333,0.5733333333333334,0.9866666666666667,1.0333333333333334,4.54,4.406666666666667,7.373333333333333,3.5533333333333332,1.3466666666666667,0.5599999999999999,0.48666666666666664,0.21333333333333332,0.2,0.19333333333333333,0.21333333333333332,0.36666666666666664,0.3,0.16666666666666669,0.06666666666666667,0.06666666666666667,0.0,0.02,0.013333333333333332,0.006666666666666666,0.006666666666666666,0.0,0.0,0.0,0.1,0.12,0.12666666666666665,0.11333333333333333,0.17333333333333334,0.19333333333333333,0.19333333333333333,0.09333333333333334,0.08,0.04,0.026666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333332,0.026666666666666665,0.04666666666666667,0.03333333333333333,0.09333333333333334,0.09333333333333334,0.09333333333333334,0.6133333333333334,0.13333333333333333,0.16666666666666669,0.09333333333333334,0.14666666666666667,0.05333333333333333,0.006666666666666666,0.0,0.0,0.2066666666666667,0.13333333333333333,0.23333333333333334,0.5,0.2733333333333333,0.12,0.11333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.04666666666666667,0.04,0.08666666666666667,0.026666666666666665,0.006666666666666666,0.06,0.02
PH175101000,0.007142857142857143,0.0,0.0,0.0,0.05,0.11428571428571428,0.6928571428571428,0.5142857142857143,0.65,0.9571428571428571,0.6642857142857144,0.24285714285714283,0.05714285714285714,0.0642857142857143,0.14285714285714285,0.13571428571428573,0.16428571428571428,0.09285714285714286,0.17857142857142858,0.2357142857142857,0.2857142857142857,0.15714285714285714,0.07857142857142857,0.02142857142857143,0.0,0.0,0.0,0.0,0.32142857142857145,0.30714285714285716,0.16428571428571428,0.10714285714285714,0.1,0.03571428571428571,0.014285714285714285,0.0,0.0,0.0,0.02142857142857143,0.0642857142857143,0.07142857142857142,0.05714285714285714,0.014285714285714285,0.007142857142857143,0.0,0.09285714285714286,0.07857142857142857,0.2357142857142857,0.02142857142857143,0.0,0.0,0.007142857142857143,0.0,0.0,0.12142857142857141,0.0,0.014285714285714285,0.0,0.05714285714285714,0.02142857142857143,0.007142857142857143,0.02857142857142857,0.05,0.10714285714285714,0.10714285714285714,0.04285714285714286,0.03571428571428571,0.02857142857142857,0.014285714285714285,0.014285714285714285,0.03571428571428571,0.8428571428571429,0.18571428571428572,0.1285714285714286,0.13571428571428573,0.13571428571428573,0.07142857142857142,0.05714285714285714,0.02857142857142857,0.014285714285714285,0.0,0.0,0.0,0.17142857142857143,0.16428571428571428,0.17142857142857143,0.13571428571428573,0.22857142857142856,0.2642857142857143,0.12142857142857141,0.1,0.0,0.15714285714285714,0.14285714285714285,0.08571428571428572,0.05714285714285714,0.04285714285714286,0.0,0.0,0.0,0.02142857142857143,0.03571428571428571,0.07142857142857142,0.15,0.21428571428571427,0.38571428571428573,0.4,0.4,0.3142857142857143,0.19285714285714287,0.12142857142857141,0.09285714285714286,0.08571428571428572,0.1285714285714286,0.4928571428571429,0.21428571428571427,0.09285714285714286,0.30714285714285716,0.39285714285714285,0.02857142857142857,0.04285714285714286,0.07857142857142857,0.05,0.0,0.1,0.09285714285714286,0.05714285714285714,0.05714285714285714,0.14285714285714285,0.0,0.0,0.03571428571428571,0.08571428571428572,0.27142857142857146,0.17857142857142858,0.3,0.35,0.35,0.6142857142857143,0.65,0.6214285714285714,0.22857142857142856,0.4928571428571429,0.03571428571428571,0.21428571428571427,0.007142857142857143,0.0,0.0,0.0,0.0,0.014285714285714285,0.09285714285714286,0.45714285714285713,0.30714285714285716,0.4,0.75,0.9357142857142857,2.85,1.2857142857142858,1.2,1.5357142857142858,1.6857142857142857,2.7285714285714286,2.4571428571428573,3.5642857142857145,4.264285714285714,4.807142857142857,5.3,5.607142857142857,6.542857142857143,7.264285714285714,7.078571428571429,8.735714285714286,6.671428571428571,3.4714285714285715,2.2,2.8428571428571425,5.592857142857143,6.857142857142857,3.292857142857143,3.757142857142857,4.071428571428571,4.428571428571429,4.257142857142857,4.435714285714285,3.2,3.1928571428571426,4.171428571428572,6.5357142857142865,5.621428571428572,4.05,4.678571428571429
PH030801000,0.2,0.925,0.05,0.0,0.0,0.3,0.225,0.325,0.0,0.0,0.0,0.0,0.025,0.075,0.15,0.15,0.175,0.15,0.225,0.25,0.25,0.175,0.1,0.25,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.625,0.0,0.0,0.0,0.125,0.25,0.125,0.15,0.1,0.675,0.05,0.0,0.125,0.2,0.875,0.6,0.45,0.5,0.025,0.0,0.0,0.075,0.075,0.05,0.0,0.05,0.05,0.05,0.1,0.125,0.15,0.15,0.1,0.1,0.025,0.05,0.55,1.375,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.075,0.15,0.25,0.25,0.25,0.15,0.15,0.175,0.25,0.25,0.15,0.1,0.0,0.3,0.275,0.15,0.1,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.075,0.1,0.125,0.175,0.375,0.375,0.4,0.225,0.2,0.075,0.0,0.0,0.0,0.0,0.0,0.025,0.025,0.0,0.025,0.025,0.0,0.0,0.0,0.0,0.05,0.125,0.225,0.25,0.25,0.15,0.1,0.3,0.275,0.025,0.225,0.0,0.0,0.0,0.075,0.05,0.15,0.325,0.625,1.025,1.5,1.525,1.5,2.4,2.575,1.55,1.525,2.45,2.075,2.925,4.35,5.725,6.1,6.025,5.05,4.6,5.875,5.85,5.775,3.925,3.15,3.0,4.125,4.7,5.375,7.2,6.3,7.625,7.475,6.75,16.525,14.375,20.55,20.2,9.525,7.275,6.525,6.475,3.05
PH021501000,3.325,3.25,0.4,0.0,0.225,3.2,5.05,4.275,6.725,5.0,5.2,6.725,11.15,14.25,6.45,6.5,21.325,27.6,26.275,8.825,6.9,8.725,11.525,10.475,10.575,11.525,9.4,7.2,7.175,7.9,9.575,9.075,6.6,4.625,3.575,3.5,3.45,3.2,2.15,3.175,3.1,4.0,4.225,5.35,6.5,6.55,11.025,4.45,5.5,7.75,8.625,8.925,9.775,8.45,6.175,5.125,4.025,2.825,0.375,0.325,0.2,0.1,0.125,0.025,0.025,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.15,0.4,0.85,1.325,2.125,4.0,4.1,4.9,4.35,9.4,8.55,10.3,11.575,7.325,6.225,2.4,6.2,8.075,6.15,8.85,14.25,16.625,12.65,9.1,8.6,5.9,4.2,2.95,4.275,3.775,4.85,4.025,2.25,2.5,0.8,0.575,0.375,0.275,0.175,0.125,0.05,0.05,0.05,0.025,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.0,2.7,0.875,0.0,0.05,5.05,0.325,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.1,0.0,0.0,0.05,0.4,0.275,1.7,0.675,1.125,1.225,1.225,0.7,0.55,0.425,0.4,0.4,0.475,0.85,0.8,0.775,0.425,0.325,0.475,1.9,4.8,8.95,9.125,4.375,3.55,2.1,2.025,0.8,0.85,0.725,1.0,1.225,3.325,3.6,5.125,4.85
PH083701000,0.0,0.0,0.0,0.0,0.0,0.0,0.2125,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.075,0.0875,0.075,0.0125,0.0125,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.025,0.025,0.0,0.0375,0.0375,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.075,0.1,0.125,0.9125,1.1,1.8,1.3625,1.2625,0.75,0.5125,0.3,0.175,0.1,0.0,0.0,0.0,0.0,0.0,0.0125,0.0125,0.025,0.025,0.2625,0.2375,0.15,0.1,0.1125,0.1,0.0625,0.0375,0.0,0.5,0.7625,0.675,1.0875,2.225,2.2125,1.1125,0.775,0.8625,0.6875,0.725,0.9,1.4625,1.5375,1.0875,1.25,1.1,1.5125,1.7125,1.7125,1.0,0.7875,0.6,0.5375,0.5375,0.7625,1.0625,1.3875,2.3125,2.375,2.475,1.525,1.625,2.275,2.4125,3.2375,4.2875,7.2875,7.325,6.6625,4.3,3.3875,2.7875,2.4375,1.875,1.9375,1.95,2.05,4.375,4.0,2.825,2.15,2.0,1.6375,1.15,1.05,0.7875,1.1125,1.75,2.2,0.525,0.6875,0.675,0.6375,0.375,0.3625,0.2375,0.3125,0.1,0.1125,0.1125,0.125,0.125,0.125,0.15,0.2125,0.2875,0.475,0.4625,0.6125,0.45,0.625,0.975,1.3625,2.375,2.525,5.9,0.3875,0.375,0.4125,0.375,0.375,0.2625,0.2125,0.1625,0.075,0.1,0.1,0.2625,0.4375
PH012801000,5.35,5.483333333333333,1.45,0.8833333333333334,1.2,12.316666666666666,15.016666666666666,8.333333333333332,7.216666666666667,6.6,6.85,6.833333333333333,7.35,5.633333333333334,6.85,6.833333333333333,7.933333333333333,7.416666666666667,6.6,5.266666666666667,7.35,8.6,12.35,10.316666666666666,10.033333333333333,9.8,6.4833333333333325,4.766666666666667,4.816666666666666,3.6833333333333336,3.166666666666667,3.2666666666666666,5.566666666666666,5.933333333333334,5.95,5.983333333333333,6.033333333333333,5.716666666666667,4.583333333333334,6.2,6.233333333333333,7.0166666666666675,6.8,8.166666666666668,9.15,8.583333333333332,5.433333333333334,4.0,3.7,4.266666666666667,3.5666666666666664,3.5666666666666664,3.8166666666666664,5.783333333333333,5.25,4.816666666666666,3.8666666666666663,3.3,2.166666666666667,2.0,1.1833333333333333,1.0,1.35,1.1,1.1,0.6666666666666667,0.5,0.35,0.23333333333333334,0.11666666666666667,0.11666666666666667,0.1,0.06666666666666667,0.1,0.0,0.016666666666666666,0.0,0.016666666666666666,0.03333333333333333,0.06666666666666667,0.1,0.18333333333333332,0.18333333333333332,1.0333333333333334,1.1666666666666665,2.1166666666666667,4.083333333333334,6.933333333333333,8.333333333333332,5.216666666666667,4.433333333333334,1.65,10.766666666666667,10.283333333333333,7.683333333333333,6.8,8.666666666666668,8.016666666666667,9.516666666666667,10.85,10.683333333333334,7.0,8.066666666666666,5.283333333333333,5.15,7.183333333333333,7.05,6.266666666666667,3.9333333333333336,4.816666666666666,3.6833333333333336,3.6833333333333336,2.0166666666666666,1.55,1.1,0.8,0.36666666666666664,0.3,0.25,0.18333333333333332,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8166666666666669,2.6,6.966666666666667,0.03333333333333333,0.03333333333333333,2.75,0.0,0.0,0.0,0.45,0.03333333333333333,0.2833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.35,0.2833333333333333,0.3,0.3,0.16666666666666669,0.16666666666666669,1.6666666666666667,0.33333333333333337,0.21666666666666665,0.18333333333333332,0.0,0.0,0.016666666666666666,0.38333333333333336,0.08333333333333334,0.13333333333333333,0.2,0.31666666666666665,0.6,0.6,1.65,1.5333333333333334,1.1833333333333333,1.9,0.4333333333333333,0.8333333333333334,0.4,1.55,1.6333333333333333,1.95,1.7166666666666668,2.85,5.783333333333333
PH045601000,0.1,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.33333333333333337,0.26666666666666666,0.36666666666666664,0.36666666666666664,0.23333333333333334,0.2,0.23333333333333334,0.2,0.1,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.23333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.06666666666666667,1.3,2.6333333333333333,2.6333333333333333,3.6666666666666665,2.0,1.4333333333333333,1.2666666666666666,0.8333333333333334,0.6,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.2,0.5666666666666667,0.1,0.16666666666666669,0.2,0.36666666666666664,0.33333333333333337,0.06666666666666667,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.1,0.16666666666666669,0.4666666666666667,0.4,0.26666666666666666,0.2,0.33333333333333337,0.26666666666666666,0.13333333333333333,0.1,0.0,1.4333333333333333,4.4,3.4,2.566666666666667,0.8666666666666666,0.3,0.4333333333333333,0.0,0.0,0.06666666666666667,0.2,0.9666666666666666,1.2666666666666666,1.1,1.1333333333333333,0.9666666666666666,0.5666666666666667,0.7,0.8333333333333334,0.9333333333333333,1.7,2.966666666666667,3.5,2.1,1.1,0.7666666666666667,0.6333333333333333,0.6666666666666667,0.7,0.1,0.06666666666666667,0.0,0.0,0.36666666666666664,1.8333333333333333,1.9333333333333331,4.4,3.3666666666666663,3.9333333333333336,3.7,4.466666666666667,10.566666666666666,6.933333333333333,5.8,3.9333333333333336,3.5333333333333337,2.666666666666667,1.9666666666666668,1.7,8.433333333333334,7.4,2.566666666666667,5.466666666666667,2.7666666666666666,2.533333333333333,2.9,2.166666666666667,7.666666666666667,12.533333333333333,10.5,10.2,13.866666666666665,14.166666666666666,13.933333333333334,12.7,13.666666666666666,12.466666666666667,10.433333333333334,13.633333333333335,13.866666666666665,19.233333333333334,11.666666666666668,9.933333333333334,9.233333333333333,7.2,8.466666666666667,7.633333333333333,9.166666666666668,8.4,8.8,12.533333333333333,10.633333333333333,11.1,10.966666666666667,12.933333333333334,19.6,14.366666666666665,16.7,16.333333333333336,11.333333333333332,11.466666666666667,7.033333333333333,7.133333333333333,7.033333333333333,5.533333333333333,3.3333333333333335,3.033333333333333,3.4333333333333336,3.5666666666666664,5.133333333333334
PH025701000,0.73,0.45999999999999996,0.06,0.01,0.12,0.16,0.45,1.0,1.59,2.1100000000000003,2.2,2.0100000000000002,1.9100000000000001,1.56,1.2,1.01,1.31,2.07,1.27,1.1199999999999999,1.33,1.97,5.65,7.19,15.719999999999999,18.0,19.7,21.52,5.470000000000001,5.51,6.17,7.3,6.87,9.209999999999999,6.25,6.3,7.05,5.01,6.34,6.7299999999999995,7.209999999999999,7.45,7.890000000000001,7.76,7.970000000000001,7.2700000000000005,7.2299999999999995,6.37,7.57,8.82,8.59,6.29,4.64,5.04,4.04,2.7199999999999998,1.25,0.22999999999999998,0.0,0.0,0.67,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.44000000000000006,0.19,0.04,0.01,0.01,0.04,0.04,0.08,0.13999999999999999,0.26,0.31,0.16999999999999998,0.13999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06999999999999999,0.22999999999999998,0.42000000000000004,0.65,1.16,1.21,0.93,0.63,0.41,0.16,0.43,0.54,0.6,0.6799999999999999,0.85,0.74,1.27,0.93,0.32,0.27999999999999997,0.18,0.16,0.12,0.27999999999999997,0.26,0.13999999999999999,0.6599999999999999,0.21000000000000002,0.04,0.0,0.0,0.02,1.0699999999999998,1.6199999999999999,0.16,0.18,0.13999999999999999,0.51,0.72,0.19,0.06,0.18,0.02,0.0,0.0,0.15,0.31,0.22999999999999998,0.43,1.46,1.3599999999999999,1.98,3.6399999999999997,3.7,3.7,2.4,2.27,2.04,2.81,3.79,3.85,3.8600000000000003,3.4200000000000004,3.9799999999999995,2.71,3.17,4.25,1.83,2.12,2.0100000000000002,2.66,3.47,4.6899999999999995,6.15,9.14,8.99,13.930000000000001,14.23,35.019999999999996,25.639999999999997,14.669999999999998,14.559999999999999,8.23,8.129999999999999,8.2,9.32,5.84,5.26,3.5100000000000002,2.16,1.58
PH015501000,0.25,0.2,0.05,0.06666666666666667,0.05,0.03333333333333333,0.21666666666666665,0.08333333333333334,0.13333333333333333,0.0,0.0,0.0,0.0,0.06666666666666667,0.05,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.05,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.2,0.5833333333333333,0.7333333333333333,1.3833333333333333,0.5,0.5666666666666667,0.5666666666666667,0.9166666666666666,1.25,0.4,0.25,0.65,0.4166666666666667,0.4166666666666667,0.36666666666666664,0.23333333333333334,0.16666666666666669,0.18333333333333332,0.16666666666666669,0.21666666666666665,0.16666666666666669,0.23333333333333334,0.26666666666666666,0.16666666666666669,0.36666666666666664,0.33333333333333337,0.4333333333333333,0.7,0.7833333333333333,0.03333333333333333,0.4833333333333333,0.3,0.45,0.6,0.6,0.5833333333333333,0.0,0.7166666666666667,0.5666666666666667,0.3,0.26666666666666666,0.03333333333333333,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.11666666666666667,0.13333333333333333,0.11666666666666667,0.06666666666666667,0.05,0.05,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.11666666666666667,0.08333333333333334,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.9833333333333334,0.03333333333333333,0.03333333333333333,0.05,0.16666666666666669,0.11666666666666667,0.13333333333333333,0.21666666666666665,0.0,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.0,0.7,0.4166666666666667,0.33333333333333337,0.2,0.18333333333333332,0.05,0.05,0.08333333333333334,0.21666666666666665,0.6666666666666667,0.21666666666666665,0.0,0.0,0.6333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.06666666666666667,0.26666666666666666,0.23333333333333334,0.3,0.36666666666666664,0.5,0.38333333333333336,0.5333333333333333,0.8166666666666667,0.9333333333333333,0.95,0.6,0.5166666666666667,0.5166666666666667,0.6833333333333333,1.6666666666666667,4.3,5.8,4.183333333333334,3.6833333333333336,2.333333333333333,1.6333333333333333,1.8333333333333333,4.15,5.183333333333334,5.75,4.716666666666667,4.733333333333333,4.85,5.283333333333333,4.433333333333334
PH041001000,0.05,0.05,0.0,0.0,0.0,0.45,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.15,0.2,0.2,0.2,0.3,0.3,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.0,0.35,0.25,0.5,0.35,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.15,0.1,0.2,0.35,0.45,0.45,1.95,0.8,0.1,0.1,0.1,0.05,0.05,0.0,0.0,0.0,0.0,1.25,1.45,0.65,0.5,1.15,0.55,0.55,0.55,0.3,0.3,0.3,0.45,0.45,0.25,0.2,0.0,0.2,0.2,0.1,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.25,0.85,0.65,0.2,0.35,0.4,0.0,1.25,1.15,0.95,0.4,0.2,0.2,0.0,0.0,0.1,0.2,0.2,0.35,0.45,0.45,0.5,0.25,0.2,0.1,0.05,0.15,0.2,0.0,0.0,0.1,0.05,0.1,1.25,2.6,2.25,1.25,1.25,1.3,2.0,3.05,2.35,2.1,4.35,4.7,8.25,8.75,12.3,13.7,11.85,7.6,6.4,6.1,3.65,3.5,3.0,2.8,4.8,6.65,9.0,11.4,14.85,9.6,10.15,11.95,9.9,16.2,14.65,6.1,31.15,9.0,4.35,4.85,3.75,6.6
