ADM3_PCODE,20111213-S000000,20111213-S003000,20111213-S010000,20111213-S013000,20111213-S020000,20111213-S023000,20111213-S030000,20111213-S033000,20111213-S040000,20111213-S043000,20111213-S050000,20111213-S053000,20111213-S060000,20111213-S063000,20111213-S070000,20111213-S073000,20111213-S080000,20111213-S083000,20111213-S090000,20111213-S093000,20111213-S100000,20111213-S103000,20111213-S110000,20111213-S113000,20111213-S120000,20111213-S123000,20111213-S130000,20111213-S133000,20111213-S140000,20111213-S143000,20111213-S150000,20111213-S153000,20111213-S160000,20111213-S163000,20111213-S170000,20111213-S173000,20111213-S180000,20111213-S183000,20111213-S190000,20111213-S193000,20111213-S200000,20111213-S203000,20111213-S210000,20111213-S213000,20111213-S220000,20111213-S223000,20111213-S230000,20111213-S233000,20111214-S000000,20111214-S003000,20111214-S010000,20111214-S013000,20111214-S020000,20111214-S023000,20111214-S030000,20111214-S033000,20111214-S040000,20111214-S043000,20111214-S050000,20111214-S053000,20111214-S060000,20111214-S063000,20111214-S070000,20111214-S073000,20111214-S080000,20111214-S083000,20111214-S090000,20111214-S093000,20111214-S100000,20111214-S103000,20111214-S110000,20111214-S113000,20111214-S120000,20111214-S123000,20111214-S130000,20111214-S133000,20111214-S140000,20111214-S143000,20111214-S150000,20111214-S153000,20111214-S160000,20111214-S163000,20111214-S170000,20111214-S173000,20111214-S180000,20111214-S183000,20111214-S190000,20111214-S193000,20111214-S200000,20111214-S203000,20111214-S210000,20111214-S213000,20111214-S223000,20111214-S230000,20111214-S233000,20111215-S000000,20111215-S003000,20111215-S010000,20111215-S013000,20111215-S020000,20111215-S023000,20111215-S030000,20111215-S033000,20111215-S040000,20111215-S043000,20111215-S050000,20111215-S053000,20111215-S060000,20111215-S063000,20111215-S070000,20111215-S073000,20111215-S080000,20111215-S083000,20111215-S090000,20111215-S093000,20111215-S100000,20111215-S103000,20111215-S110000,20111215-S113000,20111215-S120000,20111215-S123000,20111215-S130000,20111215-S133000,20111215-S140000,20111215-S143000,20111215-S150000,20111215-S153000,20111215-S160000,20111215-S163000,20111215-S170000,20111215-S173000,20111215-S180000,20111215-S183000,20111215-S190000,20111215-S193000,20111215-S200000,20111215-S203000,20111215-S210000,20111215-S213000,20111215-S220000,20111215-S223000,20111215-S230000,20111215-S233000,20111216-S000000,20111216-S003000,20111216-S010000,20111216-S013000,20111216-S020000,20111216-S023000,20111216-S030000,20111216-S033000,20111216-S040000,20111216-S043000,20111216-S050000,20111216-S053000,20111216-S060000,20111216-S063000,20111216-S070000,20111216-S073000,20111216-S080000,20111216-S083000,20111216-S090000,20111216-S093000,20111216-S100000,20111216-S103000,20111216-S110000,20111216-S113000,20111216-S120000,20111216-S123000,20111216-S130000,20111216-S133000,20111216-S140000,20111216-S143000,20111216-S150000,20111216-S153000,20111216-S160000,20111216-S163000,20111216-S170000,20111216-S173000,20111216-S180000,20111216-S183000,20111216-S190000,20111216-S193000,20111216-S200000,20111216-S203000,20111216-S210000,20111216-S213000,20111216-S220000,20111216-S223000,20111216-S230000,20111216-S233000
PH175301000,0.006666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05333333333333333,0.05333333333333333,0.14666666666666667,0.22666666666666666,0.12666666666666665,0.11333333333333333,0.05333333333333333,0.013333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05333333333333333,0.04,0.04666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.006666666666666666,0.7,0.8733333333333333,0.52,0.1,0.0,0.0,0.0,0.0,0.04,0.04666666666666667,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.006666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666666,0.006666666666666666,0.013333333333333332,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666666,0.0,0.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666666,0.006666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.02,0.013333333333333332,0.026666666666666665,0.04666666666666667,0.026666666666666665,0.06,0.1,0.12,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666666,0.03333333333333333,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
PH175101000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04285714285714286,0.014285714285714285,0.0,0.0,0.0,0.014285714285714285,0.014285714285714285,0.17142857142857143,0.13571428571428573,0.0642857142857143,0.10714285714285714,0.16428571428571428,0.09285714285714286,0.07857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.04285714285714286,0.0,0.05714285714285714,0.12142857142857141,0.15714285714285714,0.17857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.08571428571428572,0.17142857142857143,0.2785714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.0,0.02142857142857143,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.07857142857142857,0.07857142857142857,0.007142857142857143,0.05,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.03571428571428571,0.03571428571428571,0.0642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.007142857142857143,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.08571428571428572,0.22857142857142856,0.2571428571428572,0.2857142857142857,0.007142857142857143,0.5428571428571429,1.0214285714285714,1.65,1.5571428571428572,1.55,1.6857142857142857,1.2428571428571429,0.8071428571428572,0.7714285714285715,1.0214285714285714,0.45,0.16428571428571428,0.05714285714285714,0.30714285714285716,0.2571428571428572,0.7214285714285714,0.8857142857142858,1.4142857142857141,1.207142857142857,0.6214285714285714,0.47857142857142854
PH030801000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.025,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.075,0.0
PH021501000,0.05,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.1,1.3,0.225,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.15,0.15,0.3,0.8,1.5,2.475,3.3,5.85,5.85,3.55,2.775,0.0,0.0,0.0,0.0,0.0,0.025,0.05,0.1,0.15,0.175,0.325,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.025,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.575,1.65,3.35,1.275,0.0,0.0,0.0,0.0,0.0,0.1,0.075,0.025,0.0,1.525,1.35,0.375,0.025,0.0,0.0,0.0,0.0
PH083701000,0.0,0.0,0.0125,0.0,0.0,0.0,0.0625,0.225,0.6,1.2625,2.0,1.55,0.45,0.2125,0.0875,0.05,0.0875,0.125,0.0375,0.0375,0.1125,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.025,0.0375,0.2375,0.85,1.475,2.4625,2.425,6.15,3.525,3.65,3.5875,2.9375,3.1,3.575,2.125,0.875,0.3375,0.1375,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0375,0.0375,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.8625,0.8625,0.625,0.2125,0.2375,0.1375,0.2,0.2625,0.1375,0.2875,0.1875,0.15,0.3,0.6875,0.3875,0.0125,0.0,0.0,0.0,0.1125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.025,0.0125,0.05,0.7875,1.125,0.9875,0.725,0.7125,0.25,0.0375,0.025,0.3375,0.0,0.4125,0.5375,0.2375,0.0125,1.6125,1.325,0.425,0.025,0.0,0.0375,0.075,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0875,0.6875,1.5625,0.8625,0.1625,0.8375,0.3125,0.0875,0.15,0.075,0.0125,0.65,1.5375,3.075,4.9875,4.325,4.8125,6.2875,6.175,5.15,4.675,3.55,3.175,2.7875,3.375,4.1,3.475,0.2625,0.4875,0.8125,1.15,1.3375,0.9125,0.6625,0.375,0.575,0.7375,0.8625,1.2375,1.5125,3.975,3.8375,3.4375,2.65,2.25,1.6,1.3875,1.4,1.2125
PH012801000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.11666666666666667,0.18333333333333332,0.23333333333333334,0.38333333333333336,0.38333333333333336,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.16666666666666669,0.21666666666666665,5.633333333333334,3.3833333333333337,2.6333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PH045601000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.13333333333333333,1.3666666666666667,0.7,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,2.1333333333333333,2.3666666666666667,0.0,0.0,0.0,0.0,0.0,6.2,4.3,6.3,3.7666666666666666,3.7,1.8666666666666667,3.4666666666666663,0.9666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2666666666666666,0.8333333333333334,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.23333333333333334,0.3,0.2,0.0,0.6333333333333333,0.36666666666666664,1.8333333333333333,1.8333333333333333,0.6,2.8666666666666667,5.8,3.0,0.7,0.5333333333333333,0.36666666666666664,0.0,0.0,0.0,0.1,0.0,2.7666666666666666,0.16666666666666669,0.03333333333333333,0.0,0.0,0.2,0.13333333333333333,0.03333333333333333,0.0,0.0,0.0,0.03333333333333333
PH025701000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32999999999999996,0.27999999999999997,0.06999999999999999,0.0,0.0,0.0,0.03,0.0,0.0,3.05,0.0
PH015501000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.03333333333333333,0.03333333333333333,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23333333333333334,0.0,0.0,0.0,0.0,0.0
PH041001000,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.9,0.45,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,3.7,0.85,3.4,1.45,0.45,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0
