"Mun_Code","typhoon","rainfll_max","ranfall_sum"
"1","PH012801000","BOPHA2012",57.6,134.4
"2","PH012801000","CONSON2010",7.2,21.6
"3","PH012801000","DURIAN2006",91.2,268.8
"4","PH012801000","FENGSHEN2008",12,45.6
"5","PH012801000","FUNG-WONG2014",120,408
"6","PH012801000","GONI2015",146.4,643.2
"7","PH012801000","HAGUPIT2014",12,33.6
"8","PH012801000","HAIMA2016",79.2,314.4
"9","PH012801000","HAIYAN2013",84,225.6
"10","PH012801000","KALMAEGI2014",57.6,134.4
"11","PH012801000","KETSANA2009",52.8,189.6
"12","PH012801000","KOPPU2015",72,256.8
"13","PH012801000","KROSA2013",153.6,350.4
"14","PH012801000","LINGLING2014",0,0
"15","PH012801000","MANGKHUT2018",172.8,518.4
"16","PH012801000","MEKKHALA2015",52.8,132
"17","PH012801000","MELOR2015",127.2,326.4
"18","PH012801000","MUJIGAE2015",24,72
"19","PH012801000","NARI2013",141.6,400.8
"20","PH012801000","NESAT2011",62.4,278.4
"21","PH012801000","NOCK-TEN2016",36,108
"22","PH012801000","NOUL2015",21.6,84
"23","PH012801000","RAMMASUN2014",48,189.6
"24","PH012801000","SARIKA2016",67.2,216
"25","PH012801000","TRAMI20132013",67.2,232.8
"26","PH012801000","USAGI2013",153.6,427.2
"27","PH012801000","UTOR2013",69.6,312
"28","PH012802000","BOPHA2012",39.6,115.2
"29","PH012802000","CONSON2010",40.8,87.6
"30","PH012802000","DURIAN2006",26.4,60
"31","PH012802000","FENGSHEN2008",4.8,24
"32","PH012802000","FUNG-WONG2014",147.6,472.8
"33","PH012802000","GONI2015",262.8,790.8
"34","PH012802000","HAGUPIT2014",2.4,8.4
"35","PH012802000","HAIMA2016",74.4,284.4
"36","PH012802000","HAIYAN2013",61.2,182.4
"37","PH012802000","KALMAEGI2014",79.2,199.2
"38","PH012802000","KETSANA2009",51.6,180
"39","PH012802000","KOPPU2015",87.6,306
"40","PH012802000","KROSA2013",141.6,324
"41","PH012802000","LINGLING2014",0,0
"42","PH012802000","MANGKHUT2018",80.4,392.4
"43","PH012802000","MEKKHALA2015",21.6,46.8
"44","PH012802000","MELOR2015",141.6,321.6
"45","PH012802000","MUJIGAE2015",21.6,48
"46","PH012802000","NARI2013",56.4,195.6
"47","PH012802000","NESAT2011",58.8,270
"48","PH012802000","NOCK-TEN2016",18,52.8
"49","PH012802000","NOUL2015",26.4,66
"50","PH012802000","RAMMASUN2014",39.6,212.4
"51","PH012802000","SARIKA2016",74.4,238.8
"52","PH012802000","TRAMI20132013",111.6,500.4
"53","PH012802000","USAGI2013",116.4,331.2
"54","PH012802000","UTOR2013",111.6,460.8
"55","PH012803000","BOPHA2012",36,91.2
"56","PH012803000","CONSON2010",81.6,180
"57","PH012803000","DURIAN2006",40.8,86.4
"58","PH012803000","FENGSHEN2008",9.6,31.2
"59","PH012803000","FUNG-WONG2014",201.6,669.6
"60","PH012803000","GONI2015",312,938.4
"61","PH012803000","HAGUPIT2014",4.8,14.4
"62","PH012803000","HAIMA2016",108,348
"63","PH012803000","HAIYAN2013",52.8,160.8
"64","PH012803000","KALMAEGI2014",93.6,208.8
"65","PH012803000","KETSANA2009",52.8,168
"66","PH012803000","KOPPU2015",129.6,432
"67","PH012803000","KROSA2013",103.2,249.6
"68","PH012803000","LINGLING2014",0,0
"69","PH012803000","MANGKHUT2018",117.6,448.8
"70","PH012803000","MEKKHALA2015",38.4,81.6
"71","PH012803000","MELOR2015",115.2,264
"72","PH012803000","MUJIGAE2015",19.2,40.8
"73","PH012803000","NARI2013",64.8,194.4
"74","PH012803000","NESAT2011",62.4,218.4
"75","PH012803000","NOCK-TEN2016",50.4,124.8
"76","PH012803000","NOUL2015",9.6,26.4
"77","PH012803000","RAMMASUN2014",28.8,122.4
"78","PH012803000","SARIKA2016",108,297.6
"79","PH012803000","TRAMI20132013",151.2,652.8
"80","PH012803000","USAGI2013",69.6,230.4
"81","PH012803000","UTOR2013",151.2,655.2
"82","PH012804000","BOPHA2012",84,211.2
"83","PH012804000","CONSON2010",28.8,60
"84","PH012804000","DURIAN2006",21.6,67.2
"85","PH012804000","FENGSHEN2008",7.2,33.6
"86","PH012804000","FUNG-WONG2014",115.2,396
"87","PH012804000","GONI2015",184.8,681.6
"88","PH012804000","HAGUPIT2014",4.8,19.2
"89","PH012804000","HAIMA2016",74.4,285.6
"90","PH012804000","HAIYAN2013",72,199.2
"91","PH012804000","KALMAEGI2014",103.2,230.4
"92","PH012804000","KETSANA2009",189.6,480
"93","PH012804000","KOPPU2015",124.8,343.2
"94","PH012804000","KROSA2013",163.2,350.4
"95","PH012804000","LINGLING2014",0,0
"96","PH012804000","MANGKHUT2018",96,386.4
"97","PH012804000","MEKKHALA2015",31.2,84
"98","PH012804000","MELOR2015",122.4,304.8
"99","PH012804000","MUJIGAE2015",31.2,62.4
"100","PH012804000","NARI2013",62.4,240
"101","PH012804000","NESAT2011",60,254.4
"102","PH012804000","NOCK-TEN2016",21.6,45.6
"103","PH012804000","NOUL2015",14.4,45.6
"104","PH012804000","RAMMASUN2014",50.4,237.6
"105","PH012804000","SARIKA2016",74.4,232.8
"106","PH012804000","TRAMI20132013",79.2,326.4
"107","PH012804000","USAGI2013",148.8,434.4
"108","PH012804000","UTOR2013",79.2,338.4
"109","PH012805000","BOPHA2012",19.2,60
"110","PH012805000","CONSON2010",43.2,98.4
"111","PH012805000","DURIAN2006",45.6,103.2
"112","PH012805000","FENGSHEN2008",4.8,16.8
"113","PH012805000","FUNG-WONG2014",160.8,520.8
"114","PH012805000","GONI2015",319.2,914.4
"115","PH012805000","HAGUPIT2014",4.8,12
"116","PH012805000","HAIMA2016",100.8,328.8
"117","PH012805000","HAIYAN2013",33.6,117.6
"118","PH012805000","KALMAEGI2014",86.4,208.8
"119","PH012805000","KETSANA2009",43.2,156
"120","PH012805000","KOPPU2015",110.4,372
"121","PH012805000","KROSA2013",120,280.8
"122","PH012805000","LINGLING2014",0,0
"123","PH012805000","MANGKHUT2018",110.4,432
"124","PH012805000","MEKKHALA2015",36,79.2
"125","PH012805000","MELOR2015",134.4,307.2
"126","PH012805000","MUJIGAE2015",12,26.4
"127","PH012805000","NARI2013",62.4,187.2
"128","PH012805000","NESAT2011",84,288
"129","PH012805000","NOCK-TEN2016",40.8,105.6
"130","PH012805000","NOUL2015",21.6,60
"131","PH012805000","RAMMASUN2014",33.6,156
"132","PH012805000","SARIKA2016",100.8,276
"133","PH012805000","TRAMI20132013",110.4,504
"134","PH012805000","USAGI2013",88.8,273.6
"135","PH012805000","UTOR2013",110.4,480
"136","PH012806000","BOPHA2012",86.4,223.2
"137","PH012806000","CONSON2010",36,81.6
"138","PH012806000","DURIAN2006",40.8,91.2
"139","PH012806000","FENGSHEN2008",4.8,21.6
"140","PH012806000","FUNG-WONG2014",127.2,393.6
"141","PH012806000","GONI2015",182.4,684
"142","PH012806000","HAGUPIT2014",2.4,16.8
"143","PH012806000","HAIMA2016",67.2,261.6
"144","PH012806000","HAIYAN2013",72,206.4
"145","PH012806000","KALMAEGI2014",79.2,192
"146","PH012806000","KETSANA2009",165.6,535.2
"147","PH012806000","KOPPU2015",86.4,285.6
"148","PH012806000","KROSA2013",120,266.4
"149","PH012806000","LINGLING2014",0,0
"150","PH012806000","MANGKHUT2018",76.8,367.2
"151","PH012806000","MEKKHALA2015",21.6,60
"152","PH012806000","MELOR2015",103.2,261.6
"153","PH012806000","MUJIGAE2015",38.4,76.8
"154","PH012806000","NARI2013",72,278.4
"155","PH012806000","NESAT2011",52.8,232.8
"156","PH012806000","NOCK-TEN2016",24,50.4
"157","PH012806000","NOUL2015",16.8,40.8
"158","PH012806000","RAMMASUN2014",40.8,223.2
"159","PH012806000","SARIKA2016",67.2,213.6
"160","PH012806000","TRAMI20132013",132,434.4
"161","PH012806000","USAGI2013",153.6,396
"162","PH012806000","UTOR2013",132,468
"163","PH012807000","BOPHA2012",43.2,122.4
"164","PH012807000","CONSON2010",19.2,55.2
"165","PH012807000","DURIAN2006",52.8,127.2
"166","PH012807000","FENGSHEN2008",14.4,50.4
"167","PH012807000","FUNG-WONG2014",115.2,422.4
"168","PH012807000","GONI2015",208.8,729.6
"169","PH012807000","HAGUPIT2014",4.8,12
"170","PH012807000","HAIMA2016",69.6,307.2
"171","PH012807000","HAIYAN2013",48,141.6
"172","PH012807000","KALMAEGI2014",64.8,163.2
"173","PH012807000","KETSANA2009",55.2,194.4
"174","PH012807000","KOPPU2015",81.6,297.6
"175","PH012807000","KROSA2013",132,290.4
"176","PH012807000","LINGLING2014",0,0
"177","PH012807000","MANGKHUT2018",117.6,432
"178","PH012807000","MEKKHALA2015",57.6,136.8
"179","PH012807000","MELOR2015",127.2,307.2
"180","PH012807000","MUJIGAE2015",26.4,52.8
"181","PH012807000","NARI2013",81.6,268.8
"182","PH012807000","NESAT2011",79.2,326.4
"183","PH012807000","NOCK-TEN2016",55.2,127.2
"184","PH012807000","NOUL2015",57.6,134.4
"185","PH012807000","RAMMASUN2014",105.6,350.4
"186","PH012807000","SARIKA2016",69.6,252
"187","PH012807000","TRAMI20132013",98.4,343.2
"188","PH012807000","USAGI2013",148.8,468
"189","PH012807000","UTOR2013",98.4,336
"190","PH012808000","BOPHA2012",25.2,66.6
"191","PH012808000","CONSON2010",43.8,99
"192","PH012808000","DURIAN2006",46.2,100.8
"193","PH012808000","FENGSHEN2008",4.2,14.4
"194","PH012808000","FUNG-WONG2014",184.2,598.8
"195","PH012808000","GONI2015",362.4,1004.4
"196","PH012808000","HAGUPIT2014",4.8,16.8
"197","PH012808000","HAIMA2016",94.2,330
"198","PH012808000","HAIYAN2013",24.6,97.8
"199","PH012808000","KALMAEGI2014",87.6,201
"200","PH012808000","KETSANA2009",43.2,152.4
"201","PH012808000","KOPPU2015",125.4,413.4
"202","PH012808000","KROSA2013",122.4,283.8
"203","PH012808000","LINGLING2014",0,0
"204","PH012808000","MANGKHUT2018",111,435
"205","PH012808000","MEKKHALA2015",32.4,72
"206","PH012808000","MELOR2015",121.8,277.8
"207","PH012808000","MUJIGAE2015",13.2,29.4
"208","PH012808000","NARI2013",58.8,174
"209","PH012808000","NESAT2011",58.8,235.8
"210","PH012808000","NOCK-TEN2016",44.4,110.4
"211","PH012808000","NOUL2015",23.4,60
"212","PH012808000","RAMMASUN2014",34.8,147.6
"213","PH012808000","SARIKA2016",94.2,273
"214","PH012808000","TRAMI20132013",142.2,658.2
"215","PH012808000","USAGI2013",75.6,252
"216","PH012808000","UTOR2013",142.2,613.2
"217","PH012809000","BOPHA2012",43.2,110.4
"218","PH012809000","CONSON2010",117.6,249.6
"219","PH012809000","DURIAN2006",55.2,115.2
"220","PH012809000","FENGSHEN2008",7.2,26.4
"221","PH012809000","FUNG-WONG2014",182.4,578.4
"222","PH012809000","GONI2015",292.8,892.8
"223","PH012809000","HAGUPIT2014",7.2,19.2
"224","PH012809000","HAIMA2016",84,314.4
"225","PH012809000","HAIYAN2013",50.4,153.6
"226","PH012809000","KALMAEGI2014",60,158.4
"227","PH012809000","KETSANA2009",45.6,180
"228","PH012809000","KOPPU2015",93.6,336
"229","PH012809000","KROSA2013",153.6,343.2
"230","PH012809000","LINGLING2014",0,0
"231","PH012809000","MANGKHUT2018",124.8,448.8
