pcode,value,typhoon_name
PH01280100,2.0,bopha
PH01280200,3.0,bopha
PH01280300,7.0,bopha
PH01280400,0.0,bopha
PH01280500,6.0,bopha
PH01280600,0.0,bopha
PH01280700,8.0,bopha
PH01280800,1.0,bopha
PH01280900,9.0,bopha
PH01281000,1.0,bopha
PH01281100,17.0,bopha
PH01281200,5.0,bopha
PH01281300,13.0,bopha
PH01281400,15.0,bopha
PH01281500,0.0,bopha
PH01281600,6.0,bopha
PH01281700,1.0,bopha
PH01281800,8.0,bopha
PH01281900,7.0,bopha
PH01282000,5.0,bopha
PH01282100,7.0,bopha
PH01282200,8.0,bopha
PH01282300,2.0,bopha
PH01290100,60.0,bopha
PH01290200,22.0,bopha
PH01290300,5.0,bopha
PH01290400,36.0,bopha
PH01290500,12.0,bopha
PH01290600,54.0,bopha
PH01290700,6.0,bopha
PH01290700,16.0,bopha
PH01290700,16.0,bopha
PH01290800,57.0,bopha
PH01290900,81.0,bopha
PH01291000,93.0,bopha
PH01291100,45.0,bopha
PH01291200,15.0,bopha
PH01291300,13.0,bopha
PH01291400,13.0,bopha
PH01291500,172.0,bopha
PH01291600,81.0,bopha
PH01291700,89.0,bopha
PH01291800,14.0,bopha
PH01291900,15.0,bopha
PH01292000,12.0,bopha
PH01292000,12.0,bopha
PH01292000,12.0,bopha
PH01292100,50.0,bopha
PH01292200,5.0,bopha
PH01292200,5.0,bopha
PH01292300,16.0,bopha
PH01292400,62.0,bopha
PH01292500,54.0,bopha
PH01292600,14.0,bopha
PH01292700,22.0,bopha
PH01292800,15.0,bopha
PH01292900,71.0,bopha
PH01293000,6.0,bopha
PH01293100,40.0,bopha
PH01293200,57.0,bopha
PH01293300,64.0,bopha
PH01293400,16.0,bopha
PH01293400,16.0,bopha
PH01330100,56.0,bopha
PH01330200,4.0,bopha
PH01330300,13.0,bopha
PH01330300,13.0,bopha
PH01330300,13.0,bopha
PH01330400,13.0,bopha
PH01330500,37.0,bopha
PH01330600,37.0,bopha
PH01330700,3.0,bopha
PH01330800,8.0,bopha
PH01330900,9.0,bopha
PH01331000,30.0,bopha
PH01331100,8.0,bopha
PH01331200,14.0,bopha
PH01331300,16.0,bopha
PH01331400,6.0,bopha
PH01331400,6.0,bopha
PH01331400,6.0,bopha
PH01331500,13.0,bopha
PH01331600,6.0,bopha
PH01331700,36.0,bopha
PH01331800,14.0,bopha
PH01331900,37.0,bopha
PH01332000,14.0,bopha
PH01550100,38.0,bopha
PH01550200,36.0,bopha
PH01550300,8.0,bopha
PH01550300,8.0,bopha
PH01550300,8.0,bopha
PH01550300,8.0,bopha
PH01550300,8.0,bopha
PH01550300,8.0,bopha
PH01550300,8.0,bopha
PH01550300,8.0,bopha
PH01550300,8.0,bopha
PH01550300,8.0,bopha
PH01550300,8.0,bopha
PH01550300,8.0,bopha
PH01550300,8.0,bopha
PH01550300,8.0,bopha
PH01550300,8.0,bopha
PH01550300,8.0,bopha
PH01550300,8.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,8.0,bopha
PH01550300,8.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,8.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,17.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,16.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,17.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550300,5.0,bopha
PH01550400,9.0,bopha
PH01550500,17.0,bopha
PH01550500,17.0,bopha
PH01550500,5.0,bopha
PH01550500,17.0,bopha
PH01550500,4.0,bopha
PH01550500,16.0,bopha
PH01550500,16.0,bopha
PH01550500,16.0,bopha
PH01550500,16.0,bopha
PH01550500,16.0,bopha
PH01550500,16.0,bopha
PH01550500,16.0,bopha
PH01550500,17.0,bopha
PH01550500,5.0,bopha
PH01550500,5.0,bopha
PH01550500,5.0,bopha
PH01550500,5.0,bopha
PH01550500,5.0,bopha
PH01550500,5.0,bopha
PH01550600,36.0,bopha
PH01550700,24.0,bopha
PH01550800,41.0,bopha
PH01550900,4.0,bopha
PH01551000,37.0,bopha
PH01551100,14.0,bopha
PH01551200,29.0,bopha
PH01551300,3.0,bopha
PH01551400,16.0,bopha
PH01551400,17.0,bopha
PH01551400,17.0,bopha
PH01551400,19.0,bopha
PH01551400,19.0,bopha
PH01551400,22.0,bopha
PH01551400,16.0,bopha
PH01551400,16.0,bopha
PH01551500,17.0,bopha
PH01551600,31.0,bopha
PH01551700,4.0,bopha
PH01551800,6.0,bopha
PH01551900,26.0,bopha
PH01551900,12.0,bopha
PH01551900,23.0,bopha
PH01551900,23.0,bopha
PH01551900,26.0,bopha
PH01551900,26.0,bopha
PH01552000,10.0,bopha
PH01552000,6.0,bopha
PH01552000,9.0,bopha
PH01552100,17.0,bopha
PH01552200,3.0,bopha
PH01552300,24.0,bopha
PH01552400,9.0,bopha
PH01552500,29.0,bopha
PH01552600,15.0,bopha
PH01552700,10.0,bopha
PH01552800,15.0,bopha
PH01552900,11.0,bopha
PH01553000,19.0,bopha
PH01553100,24.0,bopha
PH01553200,4.0,bopha
PH01553300,7.0,bopha
PH01553400,15.0,bopha
PH01553500,30.0,bopha
PH01553600,29.0,bopha
PH01553700,12.0,bopha
PH01553800,9.0,bopha
PH01553900,33.0,bopha
PH01554000,9.0,bopha
PH01554100,19.0,bopha
PH01554200,14.0,bopha
PH01554200,4.0,bopha
PH01554200,4.0,bopha
PH01554300,28.0,bopha
PH01554400,12.0,bopha
PH01554500,4.0,bopha
PH01554600,27.0,bopha
PH01554700,27.0,bopha
PH01554800,29.0,bopha
PH02090100,0.0,bopha
PH02090100,0.0,bopha
PH02090100,0.0,bopha
PH02090100,0.0,bopha
PH02090100,0.0,bopha
PH02090100,0.0,bopha
PH02090200,0.0,bopha
PH02090200,0.0,bopha
PH02090200,0.0,bopha
PH02090200,0.0,bopha
PH02090200,0.0,bopha
PH02090200,2.0,bopha
PH02090200,2.0,bopha
PH02090200,0.0,bopha
PH02090200,0.0,bopha
PH02090200,0.0,bopha
PH02090200,0.0,bopha
PH02090200,0.0,bopha
PH02090200,0.0,bopha
PH02090200,0.0,bopha
PH02090200,0.0,bopha
PH02090200,0.0,bopha
PH02090300,0.0,bopha
PH02090400,0.0,bopha
PH02090500,2.0,bopha
PH02090500,2.0,bopha
PH02090500,1.0,bopha
PH02090600,0.0,bopha
PH02150100,13.0,bopha
PH02150200,100.0,bopha
PH02150300,23.0,bopha
PH02150400,312.0,bopha
PH02150500,3.0,bopha
PH02150500,15.0,bopha
PH02150500,15.0,bopha
PH02150500,7.0,bopha
PH02150600,112.0,bopha
PH02150700,13.0,bopha
PH02150800,38.0,bopha
PH02150900,0.0,bopha
PH02150900,29.0,bopha
PH02150900,30.0,bopha
PH02150900,9.0,bopha
PH02150900,0.0,bopha
PH02150900,0.0,bopha
PH02150900,0.0,bopha
PH02150900,0.0,bopha
PH02150900,31.0,bopha
PH02151000,13.0,bopha
PH02151100,1.0,bopha
PH02151200,244.0,bopha
PH02151300,31.0,bopha
PH02151400,70.0,bopha
PH02151400,70.0,bopha
PH02151400,70.0,bopha
