,adm3_pcode,storm_id,value_count,v_max,dis_track_min
0,PH012801000,2012331N03157,140,17.647615758754572,154.91606040283605
1,PH012802000,2012331N03157,102,20.480927230478844,119.91228478934303
2,PH012803000,2012331N03157,105,22.119430839942158,112.85391894300673
3,PH012804000,2012331N03157,244,18.8927308346833,135.5387862706852
4,PH012805000,2012331N03157,313,21.483394955255026,115.79883276782515
5,PH012806000,2012331N03157,200,19.457055388791783,128.7811173086815
6,PH012807000,2012331N03157,289,18.55062647700584,147.4169618424668
7,PH012808000,2012331N03157,53,21.98833477547453,110.33446652370492
8,PH012809000,2012331N03157,252,19.989895047722428,131.03485282407522
9,PH012810000,2012331N03157,143,17.891346957737035,150.45320483310735
10,PH012811000,2012331N03157,103,20.581623849615756,127.73366339337935
11,PH012812000,2012331N03157,207,21.195700729202684,114.13999471615764
12,PH012813000,2012331N03157,153,20.060028315265555,132.23473512035787
13,PH012814000,2012331N03157,1001,21.174054900313447,125.07008480966644
14,PH012815000,2012331N03157,234,17.610686184429195,153.06588230833424
15,PH012816000,2012331N03157,105,21.40070893724707,114.42673268369842
16,PH012817000,2012331N03157,303,19.90371770066417,123.392426866288
17,PH012818000,2012331N03157,149,19.381998458279206,136.33300797343657
18,PH012819000,2012331N03157,159,22.0613409800568,111.46321483759851
19,PH012820000,2012331N03157,52,20.825149621908974,119.96148265166924
20,PH012821000,2012331N03157,102,20.35992224703838,125.49757960736494
21,PH012822000,2012331N03157,198,19.117425656453655,142.1123780297386
22,PH012823000,2012331N03157,981,20.153376241341547,125.22048542304388
23,PH012901000,2012331N03157,262,19.84400771078767,182.06566772831434
24,PH012902000,2012331N03157,54,21.34629237002551,153.531607966777
25,PH012903000,2012331N03157,162,22.62076114479692,124.38081912219904
26,PH012904000,2012331N03157,54,21.142217722663585,150.06790894278515
27,PH012905000,2012331N03157,268,22.735857954967393,113.43475274386073
28,PH012906000,2012331N03157,272,21.828153919808443,149.6592278395954
29,PH012907000,2012331N03157,55,23.165659295557322,119.82538544978274
30,PH012908000,2012331N03157,405,18.989501385500283,184.9271487629472
31,PH012909000,2012331N03157,53,20.729205547355136,161.3804931552955
32,PH012910000,2012331N03157,157,20.28175356485131,165.35097138622
33,PH012911000,2012331N03157,54,21.015841912358113,153.7309372030307
34,PH012912000,2012331N03157,163,23.262004803647667,113.72484548446224
35,PH012913000,2012331N03157,107,21.35827631046706,143.10676006651764
36,PH012914000,2012331N03157,162,21.948748468145304,135.33610327829587
37,PH012915000,2012331N03157,307,19.422484641188525,173.55206444466992
38,PH012916000,2012331N03157,106,20.570157276564732,165.35205571721355
39,PH012917000,2012331N03157,262,20.55320113979602,157.89389228416127
40,PH012918000,2012331N03157,54,21.625814407452445,145.8927761307594
41,PH012919000,2012331N03157,54,22.674069882903225,121.3564765747881
42,PH012920000,2012331N03157,161,22.731789007861508,115.86984892077365
43,PH012921000,2012331N03157,55,23.222456090333694,116.68302892591925
44,PH012922000,2012331N03157,55,22.55152800344516,127.57502468889157
45,PH012923000,2012331N03157,55,23.165659295557322,119.82538544978274
46,PH012924000,2012331N03157,161,20.843301844002333,165.72528751355492
47,PH012925000,2012331N03157,54,21.021218152916283,161.57235890643028
48,PH012926000,2012331N03157,162,21.746884080265207,142.2444493408364
49,PH012927000,2012331N03157,109,21.982465151325908,145.68272278716447
50,PH012928000,2012331N03157,54,22.674069882903225,121.3564765747881
51,PH012929000,2012331N03157,210,19.970873613192317,173.19880558505818
52,PH012930000,2012331N03157,107,22.162309076681847,114.49703393388326
53,PH012931000,2012331N03157,156,19.05218818719827,194.21153428774866
54,PH012932000,2012331N03157,265,20.460232029318085,173.55516370201354
55,PH012933000,2012331N03157,108,20.678574843124395,175.3230219643633
56,PH012934000,2012331N03157,55,23.165659295557322,119.82538544978274
57,PH013301000,2012331N03157,53,18.023331896150456,230.12951129688255
58,PH013302000,2012331N03157,105,18.293285190806664,222.63653028947857
59,PH013303000,2012331N03157,110,20.391364716093765,186.0846665901917
60,PH013304000,2012331N03157,211,19.262917546839645,203.21471301037573
61,PH013305000,2012331N03157,108,20.22846280132,184.4209710104598
62,PH013306000,2012331N03157,54,20.456822182242693,179.84389283369822
63,PH013307000,2012331N03157,163,19.719759811225966,202.75154255420875
64,PH013308000,2012331N03157,52,18.422412718039904,215.59796443597006
65,PH013309000,2012331N03157,53,18.56271192193223,220.1239638295152
66,PH013310000,2012331N03157,55,20.637221877701204,181.37979319957523
67,PH013311000,2012331N03157,213,19.09814066148147,208.01806013601677
68,PH013312000,2012331N03157,51,17.43036078573407,235.0449474130052
69,PH013313000,2012331N03157,151,17.20513646273111,239.9813556575687
70,PH013314000,2012331N03157,163,19.99404283368189,197.82035853078668
71,PH013315000,2012331N03157,213,19.754768631251707,193.7277653465427
72,PH013316000,2012331N03157,54,19.884845826574892,195.62736428656152
73,PH013317000,2012331N03157,103,17.753269585360663,235.16912154575934
74,PH013318000,2012331N03157,211,19.604800646994402,192.13026433808693
75,PH013319000,2012331N03157,160,20.045555542327435,183.07893367861556
76,PH013320000,2012331N03157,104,17.985064584158746,227.57139182726823
77,PH015501000,2012331N03157,363,20.492474944300877,222.46099070810988
78,PH015502000,2012331N03157,246,16.28385430954455,270.7654340892514
79,PH015503000,2012331N03157,405,19.76293380491179,225.89622207753837
80,PH015504000,2012331N03157,20,14.740973029386339,287.5817536985336
81,PH015505000,2012331N03157,117,20.487445418198114,215.12240848219477
82,PH015506000,2012331N03157,80,15.215813414077695,272.2711614540103
83,PH015507000,2012331N03157,27,12.58196567753514,284.6801504224701
84,PH015508000,2012331N03157,423,21.31402021678695,213.2945069756533
85,PH015509000,2012331N03157,45,15.628637208814878,276.1913934203985
86,PH015510000,2012331N03157,20,14.740973029386339,287.5817536985336
87,PH015511000,2012331N03157,107,15.160832601328375,283.36111187967145
88,PH015512000,2012331N03157,87,15.684867639678064,264.801343337479
89,PH015513000,2012331N03157,102,16.900832752726277,256.73545565089853
90,PH015514000,2012331N03157,362,21.566891428462107,203.01378757644943
91,PH015515000,2012331N03157,364,17.090447316987817,258.5226346231529
92,PH015516000,2012331N03157,237,19.206819447656592,237.86496570037298
93,PH015517000,2012331N03157,146,16.41368223597908,260.6783641250552
94,PH015518000,2012331N03157,50,16.656903190044588,258.6548846544265
95,PH015519000,2012331N03157,345,18.70881568691498,244.1382181035686
96,PH015520000,2012331N03157,330,17.574666851376374,259.4570921931267
97,PH015521000,2012331N03157,163,17.87816398362575,250.144205447565
98,PH015522000,2012331N03157,105,17.389767703302788,253.21808555795153
99,PH015523000,2012331N03157,509,19.577251502624993,233.29928539799744
100,PH015524000,2012331N03157,172,15.662343081956635,273.0501551143294
101,PH015525000,2012331N03157,137,15.930935661223456,262.3403729242094
102,PH015526000,2012331N03157,50,16.679142882090833,255.53915700740018
103,PH015527000,2012331N03157,334,15.792694056327662,277.742577261253
104,PH015528000,2012331N03157,48,16.171406248708706,262.80349063556037
105,PH015529000,2012331N03157,94,12.607331277028836,278.44250262834186
106,PH015530000,2012331N03157,47,16.172084349878798,257.354089742423
107,PH015531000,2012331N03157,15,3.4851638735155817,287.15860014302586
108,PH015532000,2012331N03157,192,16.34126813139684,267.21490734238387
109,PH015533000,2012331N03157,99,16.945404528874004,247.5714915204265
110,PH015534000,2012331N03157,144,16.428275069146505,254.94205682827413
111,PH015535000,2012331N03157,170,15.63412927604123,260.34216763761003
112,PH015536000,2012331N03157,310,15.379600130831182,263.17321181603876
113,PH015537000,2012331N03157,28,3.6473182215356794,285.11826427000136
114,PH015538000,2012331N03157,92,15.916027232127655,267.91832421299074
115,PH015539000,2012331N03157,64,14.7639908785217,279.761736636192
116,PH015540000,2012331N03157,25,14.760221558808611,284.78268288079255
117,PH015541000,2012331N03157,328,16.678474153082938,247.45354107271697
118,PH015542000,2012331N03157,225,18.790717235030563,238.0054638741495
119,PH015543000,2012331N03157,37,14.748487241093901,277.5503029977738
120,PH015544000,2012331N03157,47,3.4795506083917296,287.27144517316776
121,PH015545000,2012331N03157,88,15.582079696539028,279.51778904220623
122,PH015546000,2012331N03157,123,15.45113053798916,272.37836511686754
123,PH015547000,2012331N03157,156,15.212935994981622,277.4277068762234
124,PH015548000,2012331N03157,45,15.690537381782006,267.34887324407305
125,PH021501000,2012331N03157,139,13.287263904432718,214.4237862947583
126,PH021502000,2012331N03157,208,11.800189118561915,238.2070546166862
127,PH021503000,2012331N03157,264,13.197967618285489,219.718582126657
128,PH021504000,2012331N03157,263,12.432551916335719,235.49335867158368
129,PH021505000,2012331N03157,281,12.713450933938653,216.16661038850887
130,PH021506000,2012331N03157,646,10.095608312785064,254.11262780951054
131,PH021507000,2012331N03157,168,12.927544169637502,219.69172504935705
132,PH021508000,2012331N03157,154,10.068803953151063,252.85867360631403
133,PH021509000,2012331N03157,325,12.707310669089196,214.82707714989996
134,PH021510000,2012331N03157,88,11.652081857592743,236.33153525740565
135,PH021511000,2012331N03157,170,16.23889509608828,174.5463691862689
136,PH021512000,2012331N03157,164,11.48388887924072,246.27474937798956
137,PH021513000,2012331N03157,451,11.794522208138803,237.0238138909944
138,PH021514000,2012331N03157,225,8.51528380940363,275.0577384608991
139,PH021515000,2012331N03157,80,10.589065119002646,251.82313730152595
140,PH021516000,2012331N03157,568,12.192707479613622,230.81033483444494
141,PH021517000,2012331N03157,234,13.263557600368758,220.00772507030428
142,PH021518000,2012331N03157,297,14.969442578182425,198.87696475282368
143,PH021519000,2012331N03157,616,9.64868194608021,259.5554953481575
144,PH021520000,2012331N03157,170,13.325773909989774,223.5244793863102
145,PH021521000,2012331N03157,453,15.226042950546924,204.47201790556727
146,PH021522000,2012331N03157,199,15.39582580454416,189.6416073991454
147,PH021523000,2012331N03157,132,3.91815892149262,292.319822647384
148,PH021524000,2012331N03157,180,16.814878304989904,166.79841829739667
149,PH021525000,2012331N03157,90,9.269279871313776,263.9581863716002
150,PH021526000,2012331N03157,410,14.591459568984746,217.07568716634043
151,PH021527000,2012331N03157,304,12.221469886108665,237.98210961361647
152,PH021528000,2012331N03157,138,13.320505900616652,225.87240956488068
153,PH021529000,2012331N03157,79,10.226634705276442,254.15203126889892
154,PH023101000,2012331N03157,50,6.680576908799332,281.41030287486495
155,PH023102000,2012331N03157,40,3.227096041965074,293.7472002549563
156,PH023103000,2012331N03157,67,9.459558676655288,267.9249561355135
157,PH023104000,2012331N03157,6,2.086314386312363,304.56270626969246
158,PH023105000,2012331N03157,41,9.133991222326587,272.2573322008659
159,PH023106000,2012331N03157,180,10.574295975194064,256.7159006082363
160,PH023107000,2012331N03157,56,8.640248357115132,275.53371127032534
161,PH023108000,2012331N03157,104,5.936180755758163,283.15557556329543
162,PH023109000,2012331N03157,146,11.460869608327025,261.8811877290639
