,adm3_pcode,storm_id,value_count,v_max,dis_track_min
0,PH012801000,2016288N07145,129,57.24713189510999,30.764554144040126
1,PH012802000,2016288N07145,87,52.392092295028924,4.63478468123061
2,PH012803000,2016288N07145,85,45.96119361019921,33.88256171916849
3,PH012804000,2016288N07145,215,56.073926530264075,29.263572613315155
4,PH012805000,2016288N07145,258,49.190427402149545,16.895935509954093
5,PH012806000,2016288N07145,173,54.73639150328374,22.131199819219475
6,PH012807000,2016288N07145,259,55.43337586273903,2.4930866831831264
7,PH012808000,2016288N07145,43,46.107185979371366,28.117379312900827
8,PH012809000,2016288N07145,215,50.75382092630481,7.554400617578175
9,PH012810000,2016288N07145,129,56.71535320916615,33.35965913722525
10,PH012811000,2016288N07145,86,48.04243868182145,24.730534175136793
11,PH012812000,2016288N07145,174,50.93925630290444,4.954245894665921
12,PH012813000,2016288N07145,129,49.61371444724547,17.92891299705389
13,PH012814000,2016288N07145,855,54.646551800792004,1.4477830202723565
14,PH012815000,2016288N07145,215,55.437582268779074,40.61846033697282
15,PH012816000,2016288N07145,87,48.68328409064253,15.936101338097444
16,PH012817000,2016288N07145,260,54.17004461502389,10.156514112209814
17,PH012818000,2016288N07145,129,52.962306244517514,2.036556295638769
18,PH012819000,2016288N07145,129,46.274330893644745,30.545272567906412
19,PH012820000,2016288N07145,43,49.2255942119755,13.008553057297668
20,PH012821000,2016288N07145,86,51.53362398121434,5.503062057196871
21,PH012822000,2016288N07145,172,52.61504095314304,3.0606560333087827
22,PH012823000,2016288N07145,862,57.25936957061056,1.1885618079109264
23,PH012901000,2016288N07145,186,24.710455312495856,135.19123780360962
24,PH012902000,2016288N07145,39,28.606144000665854,110.00911399333394
25,PH012903000,2016288N07145,125,37.74657966478904,68.71163433107058
26,PH012904000,2016288N07145,41,31.16662952105217,97.67404401632558
27,PH012905000,2016288N07145,212,43.391500502017074,46.286898074989146
28,PH012906000,2016288N07145,197,29.12944373601808,108.17900971441686
29,PH012907000,2016288N07145,41,34.98080480654699,77.96336252963549
30,PH012908000,2016288N07145,307,27.221286024271325,120.979617945828
31,PH012909000,2016288N07145,40,28.166155642450086,113.26486037335356
32,PH012910000,2016288N07145,117,29.146871672564952,109.35509455474903
33,PH012911000,2016288N07145,40,30.12983102730606,102.91091297159646
34,PH012912000,2016288N07145,125,39.06619642902238,63.65781401604347
35,PH012913000,2016288N07145,82,35.3000855124663,80.13011576968727
36,PH012914000,2016288N07145,123,34.65389436542804,82.21032460749645
37,PH012915000,2016288N07145,237,29.65154429014879,107.2689604545612
38,PH012916000,2016288N07145,78,27.700924600683344,116.39868144780183
39,PH012917000,2016288N07145,199,31.200647264118256,98.85295099276397
40,PH012918000,2016288N07145,40,30.6001475319627,99.69717093934787
41,PH012919000,2016288N07145,42,36.98737242663042,70.90795141296871
42,PH012920000,2016288N07145,126,41.115942387252616,56.32401572771228
43,PH012921000,2016288N07145,41,36.22212268684567,72.78385430023265
44,PH012922000,2016288N07145,41,34.4886704994611,81.10615042768295
45,PH012923000,2016288N07145,41,34.98080480654699,77.96336252963549
46,PH012924000,2016288N07145,115,26.355046292622408,123.53938392470471
47,PH012925000,2016288N07145,39,26.800342016218025,120.46121545911423
48,PH012926000,2016288N07145,121,32.25508025059077,92.47370837356267
49,PH012927000,2016288N07145,80,29.55809145855623,104.83302450780452
50,PH012928000,2016288N07145,42,36.98737242663042,70.90795141296871
51,PH012929000,2016288N07145,153,27.25620005131496,119.64125122324286
52,PH012930000,2016288N07145,85,44.415219627763825,41.15509174461196
53,PH012931000,2016288N07145,110,22.871736670456794,147.51855780251188
54,PH012932000,2016288N07145,191,25.537217033998434,128.72805550091147
55,PH012933000,2016288N07145,75,23.614182028164127,141.07160062643598
56,PH012934000,2016288N07145,41,34.98080480654699,77.96336252963549
57,PH013301000,2016288N07145,31,16.448219126965576,207.2777787292117
58,PH013302000,2016288N07145,63,17.557817463768064,194.93717818224192
59,PH013303000,2016288N07145,71,20.941292793346193,160.64643497840927
60,PH013304000,2016288N07145,139,20.087532703841084,170.28631830870415
61,PH013305000,2016288N07145,73,21.894812231630294,153.4258965545372
62,PH013306000,2016288N07145,37,22.55122421721001,148.27053935631778
63,PH013307000,2016288N07145,98,18.427466430439857,183.3127848422786
64,PH013308000,2016288N07145,33,18.76629029869181,182.60600844548958
65,PH013309000,2016288N07145,32,17.28024648109751,196.9319460249572
66,PH013310000,2016288N07145,36,21.561108621554524,155.53237341056075
67,PH013311000,2016288N07145,134,18.925158207984193,179.41491480098878
68,PH013312000,2016288N07145,31,16.94424397939232,203.42209029754162
69,PH013313000,2016288N07145,89,16.516631406114296,208.599387912337
70,PH013314000,2016288N07145,102,19.217809732350364,176.14704297524497
71,PH013315000,2016288N07145,140,20.64590947679187,163.81399976395147
72,PH013316000,2016288N07145,35,19.774032270678003,170.95615770241392
73,PH013317000,2016288N07145,60,16.283027490359686,210.6317645139598
74,PH013318000,2016288N07145,144,21.867662051710525,154.67998712995893
75,PH013319000,2016288N07145,110,22.908426552218096,146.2701076633733
76,PH013320000,2016288N07145,62,17.122669257653683,200.15155266078958
77,PH015501000,2016288N07145,142,15.799272859042832,246.96564331729797
78,PH015502000,2016288N07145,105,12.827555670828355,258.0314007321326
79,PH015503000,2016288N07145,180,15.931102493333873,233.61925091294063
80,PH015504000,2016288N07145,23,13.273643246851748,253.64306178260463
81,PH015505000,2016288N07145,57,16.800695961817674,223.27502453886834
82,PH015506000,2016288N07145,55,15.215311308721713,227.0385856714221
83,PH015507000,2016288N07145,50,14.426215787796483,237.50043498876266
84,PH015508000,2016288N07145,185,16.718885490499364,235.64415020870655
85,PH015509000,2016288N07145,23,13.153424447955862,254.10135761501923
86,PH015510000,2016288N07145,23,13.273643246851748,253.64306178260463
87,PH015511000,2016288N07145,108,13.129247279663328,255.47390773590507
88,PH015512000,2016288N07145,55,15.279654830225873,225.60586735555992
89,PH015513000,2016288N07145,50,13.797059501041259,242.35603351098413
90,PH015514000,2016288N07145,171,17.712308873311652,215.02970982828575
91,PH015515000,2016288N07145,158,13.28373577683082,249.51138351099033
92,PH015516000,2016288N07145,89,14.442964812423396,253.16268658607706
93,PH015517000,2016288N07145,76,14.172926088336874,238.48337781206993
94,PH015518000,2016288N07145,26,13.986291845174497,240.4819100299558
95,PH015519000,2016288N07145,127,13.4362650974723,261.50141629077126
96,PH015520000,2016288N07145,118,12.662305776851392,262.6818614992957
97,PH015521000,2016288N07145,71,13.640480310317272,248.2587111972462
98,PH015522000,2016288N07145,50,13.605605089429353,244.34187096504516
99,PH015523000,2016288N07145,209,15.102593293524556,248.01737735960086
100,PH015524000,2016288N07145,95,13.814546969961295,245.0624170882465
101,PH015525000,2016288N07145,80,15.098190292289797,227.52695912496623
102,PH015526000,2016288N07145,27,14.52976978284822,233.30910542941527
103,PH015527000,2016288N07145,189,12.519054525233031,263.19626808054636
104,PH015528000,2016288N07145,26,14.356570778053257,236.55473490500933
