,adm3_pcode,storm_id,value_count,v_max,dis_track_min
0,PH041001000,2017347N11129,37,10.053575509048116,271.76103822139913
1,PH041002000,2017347N11129,22,10.262215841351349,262.18471533900936
2,PH041003000,2017347N11129,42,9.958746386059364,283.5546114555271
3,PH041004000,2017347N11129,18,9.451946002434664,273.1745890905753
4,PH041005000,2017347N11129,212,11.330150144638033,234.58777452832203
5,PH041006000,2017347N11129,46,10.661330970007397,256.59171443143924
6,PH041007000,2017347N11129,63,10.027295699128091,276.3942900027254
7,PH041008000,2017347N11129,50,10.151662671374268,278.60440373412774
8,PH041009000,2017347N11129,21,10.062995282117864,265.0628268047065
9,PH041010000,2017347N11129,50,10.657590905279163,245.44887720139664
10,PH041011000,2017347N11129,41,9.424750054997812,281.9454482549291
11,PH041012000,2017347N11129,50,10.042413290764307,274.0312577437868
12,PH041013000,2017347N11129,30,9.151397392301789,291.0139823717697
13,PH041014000,2017347N11129,145,10.058054292180264,258.6686244485958
14,PH041015000,2017347N11129,171,11.274509942988143,225.81495135227433
15,PH041016000,2017347N11129,24,10.860249515999131,253.95203611108894
16,PH041017000,2017347N11129,18,9.451946002434664,273.1745890905753
17,PH041018000,2017347N11129,20,9.864567783277009,268.08104186214393
18,PH041019000,2017347N11129,25,8.342502266409712,291.4841376926336
19,PH041020000,2017347N11129,48,10.233453012761798,251.46932784892604
20,PH041021000,2017347N11129,204,10.81048334914004,233.94020856968646
21,PH041022000,2017347N11129,45,10.261369027613306,257.81832801267734
22,PH041023000,2017347N11129,222,10.995390592086022,224.7522699857035
23,PH041024000,2017347N11129,22,10.453782022986786,261.62814752042215
24,PH041025000,2017347N11129,16,9.437053639451792,279.6497022036685
25,PH041026000,2017347N11129,47,10.6737354878815,252.08329231412242
26,PH041027000,2017347N11129,21,10.258836045050835,264.4681623742285
27,PH041028000,2017347N11129,31,9.03280795131572,276.1896611701657
28,PH041029000,2017347N11129,21,10.25124884468529,266.6849681460698
29,PH041030000,2017347N11129,13,8.291871624055563,287.70577016160416
30,PH041031000,2017347N11129,60,9.029700600913278,278.2855947470455
31,PH041032000,2017347N11129,81,10.870620441003592,238.21058498412737
32,PH041033000,2017347N11129,24,10.860249515999131,253.95203611108894
33,PH041034000,2017347N11129,34,9.083838321697113,288.80317898490074
34,PH042101000,2017347N11129,21,7.90033317216027,294.35002779183105
35,PH042102000,2017347N11129,7,7.263270196166857,297.1247834291235
36,PH042110000,2017347N11129,14,7.934343245665804,292.04719632694076
37,PH042114000,2017347N11129,9,7.90033317216027,294.35002779183105
38,PH042118000,2017347N11129,17,7.491070988259464,294.9472106644359
39,PH042119000,2017347N11129,22,8.26880739068513,289.8314769540297
40,PH043401000,2017347N11129,37,9.443338078507756,269.0012537367678
41,PH043402000,2017347N11129,14,7.921696232772849,282.46680432055194
42,PH043404000,2017347N11129,21,7.522460236424381,292.85863864611997
43,PH043405000,2017347N11129,54,7.89627524286404,286.5354710591958
44,PH043406000,2017347N11129,31,8.613918013106744,277.3012686536321
45,PH043407000,2017347N11129,57,7.508151491066838,276.37225982548426
46,PH043409000,2017347N11129,21,6.9430173473873875,288.7047164745273
47,PH043410000,2017347N11129,16,8.190222898078726,276.67616139667155
48,PH043411000,2017347N11129,29,8.612654398315135,279.3927553638018
49,PH043412000,2017347N11129,36,8.172728243272399,271.16385235792865
50,PH043413000,2017347N11129,39,7.227554227385334,281.59371828309213
51,PH043415000,2017347N11129,14,7.505690064974473,281.87257539396506
52,PH043416000,2017347N11129,36,8.584668027114416,269.5383616892097
53,PH043417000,2017347N11129,53,8.976676148800316,264.3325328976246
54,PH043418000,2017347N11129,17,6.528689362631754,292.0729866444386
55,PH043419000,2017347N11129,26,7.508521425778498,279.9896861853345
56,PH043420000,2017347N11129,9,6.326474740442605,295.7553140558094
57,PH043421000,2017347N11129,3,6.24378302281797,299.1408207943913
58,PH043422000,2017347N11129,13,7.4996738136531,283.85150721511224
59,PH043423000,2017347N11129,38,8.99487611510844,266.3261390422243
60,PH043424000,2017347N11129,113,9.433467167856172,264.9386601309868
61,PH043426000,2017347N11129,11,7.202957952703437,289.02548957197587
62,PH043430000,2017347N11129,13,7.490497577395256,285.7189027989
63,PH045601000,2017347N11129,55,9.636370660055778,227.19493615182668
64,PH045602000,2017347N11129,46,8.092528725077386,250.3822128621119
65,PH045603000,2017347N11129,155,9.264732574189452,230.88915100349618
66,PH045605000,2017347N11129,242,10.389561167558492,188.55948138432205
67,PH045607000,2017347N11129,239,8.995072248392788,218.30877130962847
68,PH045608000,2017347N11129,97,10.137946327067677,245.42094582233844
69,PH045610000,2017347N11129,321,10.82347742260173,180.85109986854292
70,PH045615000,2017347N11129,42,9.402677551636094,261.08750733572964
71,PH045616000,2017347N11129,169,10.02252944376472,196.26202427146356
72,PH045618000,2017347N11129,183,9.599506971666278,204.62585719694542
73,PH045619000,2017347N11129,150,9.434227847883701,213.781018556782
74,PH045622000,2017347N11129,346,9.665724984319251,203.72846080674515
75,PH045623000,2017347N11129,101,8.955007579423716,260.65428093538947
76,PH045624000,2017347N11129,74,9.835672321244353,243.10379132953116
77,PH045625000,2017347N11129,65,9.59904094652289,206.92716752753216
78,PH045627000,2017347N11129,237,8.605984216255246,251.7533681319419
79,PH045628000,2017347N11129,351,11.915825102063355,161.97127464605458
80,PH045629000,2017347N11129,80,9.585084516172136,234.20286459517638
81,PH045630000,2017347N11129,171,9.64164281203504,237.6750809352572
82,PH045633000,2017347N11129,40,7.7327567165663265,257.32783216885116
83,PH045634000,2017347N11129,92,9.682905173582204,209.98329350954953
84,PH045635000,2017347N11129,28,9.201173398911854,229.22273109713123
85,PH045637000,2017347N11129,102,8.443238760844968,235.04551249696706
86,PH045638000,2017347N11129,17,6.953028502963547,285.0460285449749
87,PH045639000,2017347N11129,53,8.142143739135037,267.49555117836627
88,PH045640000,2017347N11129,266,13.758470761270297,134.66351622799547
89,PH045641000,2017347N11129,48,10.193886054879053,249.51402324027615
90,PH045642000,2017347N11129,478,13.666713154337858,135.9809872625644
91,PH045644000,2017347N11129,312,11.824522894725511,162.95725795333158
92,PH045645000,2017347N11129,169,10.103996652275061,241.6080641512026
93,PH045646000,2017347N11129,485,8.971797926258851,217.9133017402758
94,PH045647000,2017347N11129,157,9.65103408453563,250.13394056362299
95,PH045648000,2017347N11129,113,10.16793341828646,247.41370560447967
96,PH045649000,2017347N11129,118,9.742500436990664,218.69870341349312
97,PH045804000,2017347N11129,2,6.122772171772111,299.9975790804443
98,PH045807000,2017347N11129,6,6.553534088567772,296.18629324955197
99,PH050501000,2017347N11129,412,13.892261410437879,116.26573598346579
100,PH050502000,2017347N11129,278,15.80722453711924,97.10104077365976
101,PH050503000,2017347N11129,280,16.313105758998,91.57106367826006
102,PH050504000,2017347N11129,479,15.374964926871202,103.21434303475978
103,PH050505000,2017347N11129,140,16.37932529819286,93.19939296146865
104,PH050506000,2017347N11129,421,16.131438762135183,89.69314527794532
105,PH050507000,2017347N11129,432,14.901681474796211,113.34898586568666
106,PH050508000,2017347N11129,535,16.37775118567228,96.85944884766758
107,PH050509000,2017347N11129,68,13.480798255024794,123.27409861563234
108,PH050510000,2017347N11129,264,13.18186261148365,129.33775886290871
109,PH050511000,2017347N11129,213,15.55618595183444,94.09121990919274
110,PH050512000,2017347N11129,587,15.866233642033908,102.350188501581
111,PH050513000,2017347N11129,275,16.3938856510504,93.98682486432752
112,PH050514000,2017347N11129,129,13.595135118218014,125.97744379588805
113,PH050515000,2017347N11129,278,14.88827402407896,109.3247509701738
114,PH050516000,2017347N11129,69,13.846947774160782,117.26958007652715
115,PH050517000,2017347N11129,269,13.912461336496865,118.32066863863983
116,PH050518000,2017347N11129,257,12.769304603157103,135.58472755389226
117,PH051601000,2017347N11129,266,9.545767517364686,201.3969412101993
118,PH051602000,2017347N11129,197,7.906546602874874,244.86444215314629
119,PH051603000,2017347N11129,59,8.776349348752769,219.82535120378438
120,PH051604000,2017347N11129,126,9.248794270827956,208.97184002916143
121,PH051605000,2017347N11129,158,7.981221457675247,242.20503396270647
122,PH051606000,2017347N11129,537,8.905803147103537,218.0512321149873
123,PH051607000,2017347N11129,201,9.806832183779703,195.9279532774168
124,PH051608000,2017347N11129,124,8.071034966749913,238.50892464415205
125,PH051609000,2017347N11129,58,8.746950967399412,221.0261489131279
126,PH051610000,2017347N11129,194,8.342792695485526,234.30718735109238
127,PH051611000,2017347N11129,28,8.551861033156971,225.26111534220456
128,PH051612000,2017347N11129,80,8.334771965484556,230.7023193176888
129,PH051701000,2017347N11129,159,12.44917322050418,145.00217565158735
130,PH051702000,2017347N11129,108,13.172241017318836,136.10286983641132
131,PH051703000,2017347N11129,170,13.998298930801871,125.13480597833936
132,PH051704000,2017347N11129,91,11.058116098684588,168.8271493677567
133,PH051705000,2017347N11129,434,13.191640128924607,131.46596046698218
134,PH051706000,2017347N11129,308,12.783927636836637,141.59461300820155
135,PH051707000,2017347N11129,80,10.673332194142949,178.540054901694
136,PH051708000,2017347N11129,217,10.775375831177023,173.28183839937918
137,PH051709000,2017347N11129,46,11.356609489529772,165.32943952562226
138,PH051710000,2017347N11129,45,11.327006410756901,166.46475342799417
139,PH051711000,2017347N11129,582,12.777067888572928,166.44307198573668
140,PH051712000,2017347N11129,219,9.306074316650351,209.9482842113869
141,PH051713000,2017347N11129,45,11.327006410756901,166.46475342799417
142,PH051714000,2017347N11129,429,11.40042911350826,179.04145316186703
143,PH051715000,2017347N11129,284,11.092831528481248,165.22027518157455
144,PH051716000,2017347N11129,283,13.211697514045008,133.22605125769988
145,PH051717000,2017347N11129,559,11.608623138881368,168.57281532803145
146,PH051718000,2017347N11129,499,11.28478798497764,167.6378660602739
147,PH051719000,2017347N11129,214,10.25284132114784,188.61591155176384
148,PH051720000,2017347N11129,87,11.039695378082495,170.78317197280194
149,PH051721000,2017347N11129,47,11.685789270846586,159.88233272823217
150,PH051722000,2017347N11129,242,12.38348191384944,149.01090164196256
151,PH051723000,2017347N11129,223,13.211224849815629,134.04880839987717
152,PH051724000,2017347N11129,139,11.373296873494295,164.37377532279862
153,PH051725000,2017347N11129,201,11.745188056382622,155.23712691029922
154,PH051726000,2017347N11129,45,11.611459973031085,162.1700313988238
155,PH051727000,2017347N11129,268,11.951772430998524,156.70797372995625
156,PH051728000,2017347N11129,143,11.70818808786359,157.96587749693288
157,PH051729000,2017347N11129,290,12.370336847632665,166.88713322429365
158,PH051730000,2017347N11129,479,10.20990185558335,189.75899383905266
159,PH051731000,2017347N11129,230,12.073605420543105,147.34530850141428
160,PH051732000,2017347N11129,141,12.345030033263876,150.26955569288526
161,PH051733000,2017347N11129,102,11.123110335489871,164.48373250405672
162,PH051734000,2017347N11129,264,10.583630301566314,181.96821057107528
163,PH051735000,2017347N11129,108,9.384491450632893,201.56708584102554
164,PH051736000,2017347N11129,157,11.412495963710072,158.97259462657732
165,PH051737000,2017347N11129,581,11.093666178878902,166.9670229842631
166,PH052001000,2017347N11129,123,13.62382252753334,192.50362635211093
167,PH052002000,2017347N11129,131,14.76344891600365,159.36292902917648
168,PH052003000,2017347N11129,199,14.857753094751,148.12701847825758
169,PH052004000,2017347N11129,494,13.681156553814967,170.2932830718384
170,PH052005000,2017347N11129,192,14.446339840739274,170.32645214407333
171,PH052006000,2017347N11129,119,13.130339409938971,197.96382200607115
172,PH052007000,2017347N11129,124,13.782438494461227,186.95630092077417
173,PH052008000,2017347N11129,324,13.903657152228332,153.7247485014507
174,PH052009000,2017347N11129,648,14.558535514195288,159.11389282558878
175,PH052010000,2017347N11129,379,14.123317671207408,175.76385864083417
176,PH052011000,2017347N11129,198,14.30157037770847,148.10523772118606
177,PH054101000,2017347N11129,1019,17.186147233963936,20.943982255522737
178,PH054102000,2017347N11129,448,15.88136402969214,18.19245936703577
