,adm3_pcode,storm_id,value_count,v_max,dis_track_min
0,PH012801000,2014254N10142,105,44.30161725397513,50.9186423295083
1,PH012802000,2014254N10142,72,47.10024417890513,31.503855465275013
2,PH012803000,2014254N10142,74,37.22646937899354,8.13583032644675
3,PH012804000,2014254N10142,175,42.786705053670055,55.25566130970135
4,PH012805000,2014254N10142,220,41.766106136852876,3.8183700915992618
5,PH012806000,2014254N10142,142,45.16351905822802,48.699704547670386
6,PH012807000,2014254N10142,213,48.08226610663663,22.623125711748077
7,PH012808000,2014254N10142,37,39.36706556098892,5.539233047319043
8,PH012809000,2014254N10142,183,43.41946663556468,5.442269670571218
9,PH012810000,2014254N10142,104,42.57363435171423,55.589299534128166
10,PH012811000,2014254N10142,74,38.69504538212539,2.9083704789394855
11,PH012812000,2014254N10142,147,45.83497867655927,20.446551764675153
12,PH012813000,2014254N10142,111,39.621211974262714,6.103735190303593
13,PH012814000,2014254N10142,731,45.81972226277728,0.5686811171357168
14,PH012815000,2014254N10142,171,40.36751619183759,61.82065139246669
15,PH012816000,2014254N10142,74,42.551948316096095,12.8022541601645
16,PH012817000,2014254N10142,214,48.16152647430595,37.042085851537024
17,PH012818000,2014254N10142,109,46.50926996920292,22.07108973362955
18,PH012819000,2014254N10142,111,37.70209285042613,5.917720465196565
19,PH012820000,2014254N10142,37,42.21689062784289,15.145117870901418
20,PH012821000,2014254N10142,72,44.51535892693074,14.941662023009506
21,PH012822000,2014254N10142,144,43.519522975251355,10.978078161566064
22,PH012823000,2014254N10142,708,48.38498446516991,25.970650629532532
23,PH012901000,2014254N10142,181,19.159476829672762,117.94700942947038
24,PH012902000,2014254N10142,36,23.609812701184666,86.33851624245433
25,PH012903000,2014254N10142,111,30.140519715428628,42.312097617184136
26,PH012904000,2014254N10142,37,25.42076956113045,74.55500979643315
27,PH012905000,2014254N10142,185,34.32941147260639,20.436691360376837
28,PH012906000,2014254N10142,184,23.7020226718971,85.58626090462715
29,PH012907000,2014254N10142,38,29.015985783675262,47.95523239014401
30,PH012908000,2014254N10142,290,20.738952657744704,105.76200860962912
31,PH012909000,2014254N10142,37,22.864178987399974,91.10814914473485
32,PH012910000,2014254N10142,111,22.95596397282054,90.58419585185142
33,PH012911000,2014254N10142,37,24.558198369099852,80.0682600703336
34,PH012912000,2014254N10142,112,31.04218606096933,36.46980929552361
35,PH012913000,2014254N10142,74,27.939030661426376,57.471060540063185
36,PH012914000,2014254N10142,112,27.82531223718086,58.05729179795811
37,PH012915000,2014254N10142,220,23.065613833265893,89.69589931020384
38,PH012916000,2014254N10142,74,22.106752630158507,96.2821909504034
39,PH012917000,2014254N10142,186,24.668626342241417,79.6057699420292
40,PH012918000,2014254N10142,37,25.323968445707294,75.41737742098887
41,PH012919000,2014254N10142,37,30.140375890442876,42.01926109302219
42,PH012920000,2014254N10142,111,32.12760141895492,30.920554285137822
43,PH012921000,2014254N10142,38,29.933040680805775,42.45618919357941
44,PH012922000,2014254N10142,37,28.356080489024443,53.11850834037969
45,PH012923000,2014254N10142,38,29.015985783675262,47.95523239014401
46,PH012924000,2014254N10142,111,21.267818105305032,102.16106602061242
47,PH012925000,2014254N10142,37,21.97587111113579,97.3001436629835
