,adm3_pcode,storm_id,value_count,v_max,dis_track_min
0,PH012801000,2015183N13130,370,25.27711719564937,78.54948421346862
1,PH012802000,2015183N13130,243,26.39267413335374,63.97311298220294
2,PH012803000,2015183N13130,228,25.41513235306943,25.5900941274878
3,PH012804000,2015183N13130,630,24.069593847367507,85.03925060938883
4,PH012805000,2015183N13130,698,26.276474442534308,31.097166269392858
5,PH012806000,2015183N13130,505,24.33349966061759,80.15813642693166
6,PH012807000,2015183N13130,716,27.50792313884044,51.192325266424085
7,PH012808000,2015183N13130,116,26.15554400215283,37.47849743737793
8,PH012809000,2015183N13130,586,26.633052348932882,35.09913645141788
9,PH012810000,2015183N13130,374,24.429483701732476,84.48381317163764
10,PH012811000,2015183N13130,231,25.811870020277503,30.270128265291397
11,PH012812000,2015183N13130,479,26.84298610298828,52.978502266087474
12,PH012813000,2015183N13130,347,26.3544690666617,30.268876948128888
13,PH012814000,2015183N13130,2295,27.743231781494963,14.395885439698667
14,PH012815000,2015183N13130,629,23.999106080560153,89.64178801306743
15,PH012816000,2015183N13130,236,26.662084177406747,42.79603368381743
16,PH012817000,2015183N13130,745,25.663054601911906,69.06416837378634
17,PH012818000,2015183N13130,358,26.856376236679008,51.74372072524643
18,PH012819000,2015183N13130,344,25.80054522671903,26.157247206222674
19,PH012820000,2015183N13130,118,26.530354843981083,47.67815272830958
20,PH012821000,2015183N13130,237,26.41122245510394,47.4995838004914
21,PH012822000,2015183N13130,469,27.205421552642825,40.39848742048311
22,PH012823000,2015183N13130,2437,26.635444751103492,57.66550386897449
23,PH012901000,2015183N13130,434,18.62866769550096,84.8804578825297
24,PH012902000,2015183N13130,97,20.84001803202603,51.15239008956519
25,PH012903000,2015183N13130,318,23.337323894131316,8.373409684209525
26,PH012904000,2015183N13130,100,21.205428274986936,40.490195242448905
27,PH012905000,2015183N13130,553,24.71726352245851,9.557597174419282
28,PH012906000,2015183N13130,482,21.069891688533758,50.79408249318935
29,PH012907000,2015183N13130,105,23.556100019729755,12.417905426349911
30,PH012908000,2015183N13130,722,18.80282288744738,74.93682981202461
31,PH012909000,2015183N13130,96,20.264414476203747,57.134770438960544
32,PH012910000,2015183N13130,286,19.999264286435128,57.52227176896445
33,PH012911000,2015183N13130,99,20.897891519669546,46.0379510645148
34,PH012912000,2015183N13130,322,24.12358492682266,0.9869849744061272
35,PH012913000,2015183N13130,206,21.866522246637548,24.76700597126038
36,PH012914000,2015183N13130,309,22.39686791248841,23.826525185993773
37,PH012915000,2015183N13130,566,19.767494418914644,58.39705437668915
38,PH012916000,2015183N13130,188,19.94116133596024,62.683602485496564
39,PH012917000,2015183N13130,494,20.607745158085084,46.51798248600799
40,PH012918000,2015183N13130,99,21.48582413118771,40.15229169176451
41,PH012919000,2015183N13130,106,23.56970089540986,6.412244632493624
42,PH012920000,2015183N13130,327,24.224718136401197,4.115785610971344
43,PH012921000,2015183N13130,106,23.846041662564726,7.7834864490965305
44,PH012922000,2015183N13130,104,22.987676791574795,17.499067546627398
45,PH012923000,2015183N13130,105,23.556100019729755,12.417905426349911
46,PH012924000,2015183N13130,274,19.841724596097958,67.71370051575101
47,PH012925000,2015183N13130,94,20.177098892056417,62.18800121928314
48,PH012926000,2015183N13130,301,21.799086175215105,34.67612703594925
49,PH012927000,2015183N13130,196,21.404535720936313,45.244403791382545
50,PH012928000,2015183N13130,106,23.56970089540986,6.412244632493624
51,PH012929000,2015183N13130,366,19.371940874842686,68.55742705467199
