,adm3_pcode,storm_id,value_count,v_max,dis_track_min
0,PH020901000,2014197N10137,89,21.75247029601803,152.24156409190414
1,PH020902000,2014197N10137,137,21.051299398173203,145.0808768236032
2,PH020903000,2014197N10137,43,20.318870393810595,167.6467453984684
3,PH020904000,2014197N10137,43,20.318870393810595,167.6467453984684
4,PH020905000,2014197N10137,42,19.65756659540216,175.25355226336018
5,PH020906000,2014197N10137,43,20.318870393810595,167.6467453984684
6,PH021505000,2014197N10137,49,11.616724103300903,297.63260009882663
7,PH021506000,2014197N10137,150,12.126044613023428,290.11033465085285
8,PH021508000,2014197N10137,37,11.463611351445321,301.8434453353901
9,PH021509000,2014197N10137,338,17.013419366133704,212.45951221408345
10,PH021510000,2014197N10137,3,10.951637962374113,310.92835111017916
11,PH021513000,2014197N10137,102,12.308320308063232,286.6973057104418
12,PH021514000,2014197N10137,312,13.553938424848564,264.58010635348217
13,PH021516000,2014197N10137,184,12.850857719932257,276.7533474141064
14,PH021519000,2014197N10137,5,11.196327859752873,308.10592552072035
15,PH021523000,2014197N10137,361,14.218100265467566,252.68550717044758
16,PH021525000,2014197N10137,45,11.79267552746819,295.91856577287757
