,adm3_pcode,storm_id,value_count,v_max,dis_track_min
0,PH012801000,2015012N09146,47,4.137181593834624,292.749718203499
1,PH012803000,2015012N09146,25,4.446178224577591,296.82644616003535
2,PH012805000,2015012N09146,76,4.2586865007966175,296.94227284732204
3,PH012807000,2015012N09146,130,4.669595443912462,279.8968597868213
4,PH012809000,2015012N09146,94,4.697717132455194,282.3922706668927
5,PH012810000,2015012N09146,19,3.765933613589338,300.52730521240454
6,PH012811000,2015012N09146,39,4.573973921812026,289.4333331463396
7,PH012812000,2015012N09146,10,3.822387062338055,305.10722454649743
8,PH012813000,2015012N09146,63,4.671470252029256,284.5380139438139
9,PH012814000,2015012N09146,491,5.07817666728223,265.176021509196
10,PH012815000,2015012N09146,24,3.7723880263255802,299.5865487685994
11,PH012816000,2015012N09146,3,3.513474841063019,309.3470064965506
12,PH012818000,2015012N09146,53,4.478580859058127,290.82224567484377
13,PH012819000,2015012N09146,28,4.105320729799013,301.82863862977996
14,PH012820000,2015012N09146,7,3.710796321653276,307.17401189177855
15,PH012821000,2015012N09146,25,3.9911219130079307,300.3184978875443
16,PH012822000,2015012N09146,89,4.719760931559292,280.3382503867789
17,PH012823000,2015012N09146,243,4.508503620595665,286.1802138747118
18,PH012901000,2015012N09146,176,5.590266351420064,256.896867626276
19,PH012902000,2015012N09146,26,4.9680149517121235,280.1427010994735
20,PH012903000,2015012N09146,56,4.641565838429614,291.67640132810567
21,PH012904000,2015012N09146,27,5.002896463902336,277.6977715217522
22,PH012905000,2015012N09146,73,4.527261581715679,294.8071729655164
23,PH012906000,2015012N09146,132,5.092299844781386,274.75978699959745
24,PH012907000,2015012N09146,13,4.430626745525504,302.11568324418016
25,PH012908000,2015012N09146,334,6.042095040278582,240.48470619588198
26,PH012909000,2015012N09146,30,5.134095559134156,273.4134460887429
27,PH012910000,2015012N09146,101,5.440499544577946,261.29736428352993
28,PH012911000,2015012N09146,29,5.048529416540545,276.1769250500587
29,PH012912000,2015012N09146,41,4.536329312237677,295.69916085210036
30,PH012913000,2015012N09146,53,4.972503546021861,277.5001432151132
31,PH012914000,2015012N09146,71,4.855965649007615,282.75731373317325
32,PH012915000,2015012N09146,234,5.868427173195369,245.15834469280165
33,PH012916000,2015012N09146,63,5.305351871715607,266.69099869422195
34,PH012917000,2015012N09146,164,5.485332578010335,258.65342307870156
35,PH012918000,2015012N09146,25,4.882649380913466,283.02481293235064
36,PH012919000,2015012N09146,16,4.4849562835771595,298.82157702442953
37,PH012920000,2015012N09146,47,4.584523200253766,292.63254692970503
38,PH012921000,2015012N09146,11,4.215457300722813,304.0140109938338
39,PH012922000,2015012N09146,18,4.583623527201493,295.05029106653143
40,PH012923000,2015012N09146,13,4.430626745525504,302.11568324418016
41,PH012924000,2015012N09146,90,5.211326233888517,270.87567715268284
42,PH012925000,2015012N09146,28,5.045778605813078,277.4967678920331
43,PH012926000,2015012N09146,76,4.955514839982059,279.32063240331684
44,PH012927000,2015012N09146,49,4.926230198300573,281.5327447338063
45,PH012928000,2015012N09146,16,4.4849562835771595,298.82157702442953
46,PH012929000,2015012N09146,139,5.520603622262338,258.87881827666456
47,PH012930000,2015012N09146,26,4.251078683705034,299.4177811196717
48,PH012931000,2015012N09146,110,5.54763762428357,259.39526442888825
49,PH012932000,2015012N09146,168,5.556795275999965,257.8402897875419
50,PH012933000,2015012N09146,57,5.175319601905378,273.29479630546496
51,PH012934000,2015012N09146,13,4.430626745525504,302.11568324418016
