,adm3_pcode,storm_id,value_count,v_max,dis_track_min
0,PH012801000,2015122N07144,149,19.100486051200676,150.14316226049647
1,PH012802000,2015122N07144,89,15.234425965409718,189.51986477382633
2,PH012803000,2015122N07144,84,13.926800042850877,208.04228583179582
3,PH012804000,2015122N07144,239,18.22230705060893,163.3332210005644
4,PH012805000,2015122N07144,261,14.330404924053923,198.20773324202005
5,PH012806000,2015122N07144,185,17.005403410633036,175.69257244074132
6,PH012807000,2015122N07144,290,16.975623274446246,161.20278890171113
7,PH012808000,2015122N07144,41,13.115634337337832,215.744002848365
8,PH012809000,2015122N07144,228,15.694925301189011,183.71964705560205
9,PH012810000,2015122N07144,148,18.6575877278667,155.26096201963986
10,PH012811000,2015122N07144,89,14.783203134311446,195.865357335535
11,PH012812000,2015122N07144,176,14.58764967999527,194.02541960402255
12,PH012813000,2015122N07144,135,15.238875968325656,189.0562940708075
13,PH012814000,2015122N07144,919,17.26284810949603,163.10966949467712
14,PH012815000,2015122N07144,249,19.57154977177086,147.93082275081613
15,PH012816000,2015122N07144,86,13.672279831452771,206.41093903564285
16,PH012817000,2015122N07144,274,16.2780133271841,180.03047871896737
17,PH012818000,2015122N07144,140,15.841221139908177,176.52729364773026
18,PH012819000,2015122N07144,125,13.520975767070755,211.924671600479
19,PH012820000,2015122N07144,44,13.952755661509526,201.3011123842956
20,PH012821000,2015122N07144,90,14.862266245360166,188.91267592428363
21,PH012822000,2015122N07144,189,16.153015259337344,175.3399327880187
22,PH012823000,2015122N07144,951,18.17449973007671,154.58818936330402
23,PH012901000,2015122N07144,160,12.339688527498874,243.929258972682
24,PH012902000,2015122N07144,34,12.210772864715695,244.16600131124838
25,PH012903000,2015122N07144,115,12.942691850297093,228.30164605322747
26,PH012904000,2015122N07144,37,12.788485248639942,234.7627395106075
27,PH012905000,2015122N07144,201,13.49524010932837,216.39182463599647
28,PH012906000,2015122N07144,171,12.548366622211532,239.0916140856235
29,PH012907000,2015122N07144,36,12.165347569153518,240.56951331408575
30,PH012908000,2015122N07144,299,13.52806301248424,226.66739411861346
31,PH012909000,2015122N07144,35,12.418581520973024,241.41634133467696
32,PH012910000,2015122N07144,111,13.111354134638402,231.3757170100146
33,PH012911000,2015122N07144,36,12.671817665406119,236.87413321997863
34,PH012912000,2015122N07144,114,12.997337460303422,226.53253202241336
35,PH012913000,2015122N07144,77,13.47349270644993,223.3869433442429
36,PH012914000,2015122N07144,113,13.0934588185826,228.60112693213372
37,PH012915000,2015122N07144,233,14.05563158702395,218.85746387712365
38,PH012916000,2015122N07144,70,12.616490206998204,238.74427723927556
39,PH012917000,2015122N07144,191,13.627356490159114,224.00384174228174
40,PH012918000,2015122N07144,36,12.43809639199179,239.85807812221563
41,PH012919000,2015122N07144,38,12.576096059434535,233.54852977484833
42,PH012920000,2015122N07144,119,13.4287065807186,219.57292722232006
43,PH012921000,2015122N07144,37,12.22213713055163,238.80911818725278
44,PH012922000,2015122N07144,37,12.447818747353251,237.08545374179135
45,PH012923000,2015122N07144,36,12.165347569153518,240.56951331408575
46,PH012924000,2015122N07144,99,12.14183086230688,246.14253473772018
47,PH012925000,2015122N07144,33,11.959115408060091,248.82271011913198
48,PH012926000,2015122N07144,110,12.897929379974462,232.59460294662344
49,PH012927000,2015122N07144,70,12.327683408461732,241.99502321116444
50,PH012928000,2015122N07144,38,12.576096059434535,233.54852977484833
51,PH012929000,2015122N07144,141,12.803230006552752,236.19823707475254
52,PH012930000,2015122N07144,82,13.513253488963596,214.91032373100475
53,PH012931000,2015122N07144,90,11.7919030429283,254.1982020722877
54,PH012932000,2015122N07144,164,12.498413671123108,241.3334374179351
55,PH012933000,2015122N07144,59,11.416768410617939,258.68832374576795
56,PH012934000,2015122N07144,36,12.165347569153518,240.56951331408575
57,PH013301000,2015122N07144,10,9.388282031144383,302.2148441347507
58,PH013302000,2015122N07144,29,10.14455802437252,291.51318113975367
59,PH013303000,2015122N07144,45,10.463532904309671,276.2638477670098
60,PH013304000,2015122N07144,92,11.358059363738755,270.2424615664046
61,PH013305000,2015122N07144,51,10.861867051138839,268.7372441553591
62,PH013306000,2015122N07144,28,10.992069514571789,266.1519134427024
63,PH013307000,2015122N07144,47,9.905711953776107,292.13286736155186
64,PH013308000,2015122N07144,21,10.675267134734788,280.86963289715936
65,PH013309000,2015122N07144,14,9.721739090476625,296.2140204969138
66,PH013310000,2015122N07144,25,10.587847829566053,273.6370647701591
67,PH013311000,2015122N07144,75,10.43123244346263,282.6055931640308
68,PH013312000,2015122N07144,15,10.210860726770534,293.03548367721146
69,PH013313000,2015122N07144,35,10.111874679515253,296.2054264186926
70,PH013314000,2015122N07144,57,10.197355296037824,284.5475388953528
71,PH013315000,2015122N07144,98,11.401883813602698,267.37039979143935
72,PH013316000,2015122N07144,21,10.262239226625319,281.77201656134037
73,PH013317000,2015122N07144,19,9.638188190117994,300.763929673901
74,PH013318000,2015122N07144,108,11.474097135953274,261.78983579123184
75,PH013319000,2015122N07144,86,11.502301094565167,259.01630789700243
76,PH013320000,2015122N07144,27,9.964508579011397,294.52447320459066
77,PH015506000,2015122N07144,27,11.23332776836281,294.6549097907389
78,PH015507000,2015122N07144,19,10.410029166227433,301.4206828523843
79,PH015512000,2015122N07144,21,10.150780300520951,300.101950319821
80,PH015525000,2015122N07144,12,9.60314005648279,304.5767129131334
81,PH015529000,2015122N07144,93,12.450786075745265,273.6815320798003
82,PH015530000,2015122N07144,11,9.889340930742597,301.3342367881594
83,PH015533000,2015122N07144,6,9.210525087911712,307.0546121663719
84,PH015534000,2015122N07144,9,9.341837654567984,305.7832293308942
85,PH015535000,2015122N07144,73,11.542460797406523,284.5826735139845
86,PH015536000,2015122N07144,184,12.393852400131014,271.3101134767005
87,PH015537000,2015122N07144,65,12.32360127993399,277.1743667716251
88,PH015539000,2015122N07144,29,11.381076771305763,293.6252550281715
89,PH015541000,2015122N07144,100,11.273224561502778,289.0845577466498
90,PH015543000,2015122N07144,18,11.49584789400737,290.22428705512255
91,PH015544000,2015122N07144,158,12.192750931052796,280.59063104637113
92,PH015546000,2015122N07144,15,10.133768804569682,302.4237978807675
93,PH015547000,2015122N07144,7,9.818998640797048,305.7898168977049
94,PH015548000,2015122N07144,4,9.210513682426223,307.8683758466545
95,PH020901000,2015122N07144,116,56.62547993118698,6.0909461119962005
96,PH020902000,2015122N07144,166,45.43973673148321,26.1263646332901
97,PH020903000,2015122N07144,58,54.37941475136843,13.322383824727524
98,PH020904000,2015122N07144,58,54.37941475136843,13.322383824727524
99,PH020905000,2015122N07144,59,53.449651784438004,17.365425792085226
100,PH020906000,2015122N07144,58,54.37941475136843,13.322383824727524
101,PH021501000,2015122N07144,225,24.008778323716367,99.86563873017819
102,PH021502000,2015122N07144,403,31.285921088933343,84.39528694671526
103,PH021503000,2015122N07144,455,26.797592487392237,90.71091473316677
104,PH021504000,2015122N07144,514,32.70822027585098,83.17667608577077
105,PH021505000,2015122N07144,517,33.15631266559185,73.17925728303567
106,PH021506000,2015122N07144,2121,52.88990966436791,37.924384600607816
107,PH021507000,2015122N07144,285,24.969801155131798,92.90777271566328
108,PH021508000,2015122N07144,357,34.32666965096116,63.95713985042871
109,PH021509000,2015122N07144,885,59.19044812356094,3.812160933018683
110,PH021510000,2015122N07144,175,30.419068624864867,74.6866296721765
111,PH021511000,2015122N07144,212,22.808742292037664,123.15269165910004
112,PH021512000,2015122N07144,340,29.980586469116467,99.99421044859979
113,PH021513000,2015122N07144,1193,53.500173533260714,35.89158108988049
114,PH021514000,2015122N07144,1054,62.00039938444757,17.966334612203326
115,PH021515000,2015122N07144,174,32.318643332937334,87.5151350269946
116,PH021516000,2015122N07144,1497,55.40859307272834,30.06324543884118
117,PH021517000,2015122N07144,397,28.37805249076805,91.46154361108987
118,PH021518000,2015122N07144,441,23.878683485740122,104.37801961304946
119,PH021519000,2015122N07144,2097,46.364751316302545,52.71093387080848
120,PH021520000,2015122N07144,277,27.01599455214003,110.07437884071646
121,PH021521000,2015122N07144,652,24.410826671014437,114.33325921783005
122,PH021522000,2015122N07144,270,23.417744392322238,115.13575367738844
123,PH021523000,2015122N07144,1003,63.460136990616746,9.357787495341439
124,PH021524000,2015122N07144,206,20.560090239859512,137.7739590007617
125,PH021525000,2015122N07144,241,38.63241539391831,54.779271018630624
126,PH021526000,2015122N07144,671,27.488979454421667,100.18464318249421
127,PH021527000,2015122N07144,564,30.610700741033707,94.92315347902013
128,PH021528000,2015122N07144,221,25.74348159798969,117.37078037049106
129,PH021529000,2015122N07144,173,30.567728963256013,97.25418364526465
130,PH023101000,2015122N07144,212,22.18883618259857,148.1466434135255
131,PH023102000,2015122N07144,381,24.066733400824535,138.45285918702487
132,PH023103000,2015122N07144,162,22.98390076269857,139.29537047317237
133,PH023104000,2015122N07144,288,26.96483313149173,119.41513903862044
134,PH023105000,2015122N07144,109,24.175310518196422,131.55240244561688
135,PH023106000,2015122N07144,584,35.76911297237058,80.74122016427994
136,PH023107000,2015122N07144,161,22.555180071894128,142.61637283978035
137,PH023108000,2015122N07144,723,25.619022749904644,127.23204428308163
138,PH023109000,2015122N07144,294,18.790787046518197,176.889490588499
139,PH023110000,2015122N07144,2035,37.01248061286812,84.31368000389074
140,PH023111000,2015122N07144,995,46.293117659232905,56.20061095282636
141,PH023112000,2015122N07144,750,24.617342315894724,143.96055927160242
142,PH023113000,2015122N07144,170,26.714593009138536,118.11731284012725
143,PH023114000,2015122N07144,2018,36.91649245242173,78.11288385002237
144,PH023115000,2015122N07144,853,24.32696461724583,147.49097878162658
145,PH023116000,2015122N07144,110,23.723865002039418,134.83567464113656
146,PH023117000,2015122N07144,1040,43.94399529428906,59.21884643961521
147,PH023118000,2015122N07144,396,27.646874447300632,111.53487683488005
148,PH023119000,2015122N07144,164,24.792346476403875,126.78277544079938
149,PH023120000,2015122N07144,343,27.051886988869715,117.01753683465961
150,PH023121000,2015122N07144,751,42.79944060447616,65.77245161700456
151,PH023122000,2015122N07144,332,25.3363234433008,122.80225096781353
152,PH023123000,2015122N07144,279,26.015980703360054,120.7504218479251
153,PH023124000,2015122N07144,305,20.23230841605354,161.3552582324644
154,PH023125000,2015122N07144,112,24.799436128777575,129.17079256069007
155,PH023126000,2015122N07144,270,23.530500978338864,134.44556090634717
156,PH023127000,2015122N07144,260,22.01195315535963,163.9054238144378
157,PH023128000,2015122N07144,731,26.51630951101366,131.85128417217055
158,PH023129000,2015122N07144,105,20.600033866903445,160.35996599383446
159,PH023130000,2015122N07144,162,22.68798392091702,140.75767029852884
160,PH023131000,2015122N07144,2804,39.15854928065216,74.54365061604433
161,PH023132000,2015122N07144,158,21.118621992144256,153.60061229880745
162,PH023133000,2015122N07144,1007,37.717220523211445,74.42435872440633
163,PH023134000,2015122N07144,172,29.3607161150973,102.86322224315249
164,PH023135000,2015122N07144,254,19.889606664805456,168.1417031658315
165,PH023136000,2015122N07144,113,27.20567076569252,113.17315024984113
166,PH023137000,2015122N07144,762,34.88479055964722,83.81013781359393
167,PH025001000,2015122N07144,201,14.987050215258026,219.30266692616354
168,PH025002000,2015122N07144,338,14.244324419741936,242.51026856236672
169,PH025003000,2015122N07144,179,16.65253144308433,201.3428328212113
170,PH025004000,2015122N07144,268,15.367698696196339,223.62926786277055
171,PH025005000,2015122N07144,163,15.486420877572705,220.1974719367849
172,PH025006000,2015122N07144,423,18.061292849038278,185.86366994944675
173,PH025007000,2015122N07144,429,15.782105881951361,227.81938541405114
174,PH025008000,2015122N07144,506,15.044266850879989,236.4156412672024
175,PH025009000,2015122N07144,901,17.602571652749813,201.73215970595098
176,PH025010000,2015122N07144,575,14.343522428861005,233.60509848241395
177,PH025011000,2015122N07144,352,17.3298366899376,199.19840106502446
178,PH025012000,2015122N07144,228,13.315713153287424,258.08910414790665
179,PH025013000,2015122N07144,127,16.008834617288798,212.41581953012474
180,PH025014000,2015122N07144,126,15.791907295603883,210.31324866083014
181,PH025015000,2015122N07144,614,15.505937190694146,237.07367240585538
182,PH025701000,2015122N07144,532,20.22663703761674,176.68386649693915
183,PH025702000,2015122N07144,285,18.794808186391585,186.1723565162627
184,PH025703000,2015122N07144,430,19.089499059520794,179.23085280735037
185,PH025704000,2015122N07144,1282,24.740862794827123,146.82499501963846
186,PH025705000,2015122N07144,99,19.483177652355437,178.39842523021412
187,PH025706000,2015122N07144,1768,20.05078615594238,185.9055945315045
188,PH031424000,2015122N07144,96,11.705480093068324,299.39572879378306
189,PH034902000,2015122N07144,205,13.67554260432346,264.08454108821667
190,PH034903000,2015122N07144,63,11.661034300121264,298.87099334616573
191,PH034905000,2015122N07144,768,14.344875572159317,247.75734883804876
192,PH034906000,2015122N07144,27,11.267202741687171,299.669201751443
193,PH034907000,2015122N07144,304,13.544405422641153,266.8359045286991
194,PH034908000,2015122N07144,7,11.239224010031899,307.4809374218038
195,PH034909000,2015122N07144,105,12.452615723738527,284.0048482757995
196,PH034910000,2015122N07144,337,12.579955082423126,282.81290059754286
197,PH034911000,2015122N07144,11,10.388700993127257,305.96554587681624
198,PH034913000,2015122N07144,140,12.789805444958166,278.9407981839061
199,PH034915000,2015122N07144,62,12.270168622375284,285.34950189638266
200,PH034916000,2015122N07144,85,12.193059535198229,283.294315182521
201,PH034917000,2015122N07144,83,11.898063277471003,290.3215229448994
202,PH034919000,2015122N07144,95,12.26929356570973,287.52592009496186
203,PH034920000,2015122N07144,421,14.004646901063802,254.79753054841555
204,PH034921000,2015122N07144,8,11.254196376938635,306.6730971085455
205,PH034923000,2015122N07144,102,12.815365806837606,276.86049884882414
206,PH034926000,2015122N07144,117,12.596386888236927,278.2728057887609
207,PH034929000,2015122N07144,24,11.59402887284503,297.4231324568678
208,PH034930000,2015122N07144,58,11.846453345123967,293.1718643979491
209,PH034931000,2015122N07144,34,11.384463042473808,298.8939236474806
210,PH037701000,2015122N07144,120,15.916674815487001,233.5429465744447
211,PH037702000,2015122N07144,598,25.224688486879458,148.0743068688221
212,PH037703000,2015122N07144,1070,27.952663812171643,129.77950185336837
213,PH037704000,2015122N07144,564,22.028450695602146,169.589304220758
214,PH037705000,2015122N07144,289,13.322233944657727,270.48933283532244
215,PH037706000,2015122N07144,622,19.450581416220437,193.01679199168504
216,PH037707000,2015122N07144,428,15.387808020735068,239.94176743560604
217,PH037708000,2015122N07144,689,15.326174430733621,241.27162121630974
218,PH045602000,2015122N07144,22,11.724532161451414,298.2543262670977
219,PH045605000,2015122N07144,114,11.60767763626845,286.3198234039606
220,PH045606000,2015122N07144,207,15.42096132763588,243.50626098702506
221,PH045607000,2015122N07144,193,12.735774676536241,277.51426614533784
222,PH045610000,2015122N07144,18,10.141138157184006,302.013379213258
223,PH045617000,2015122N07144,545,12.75785440823923,280.6512811248551
224,PH045618000,2015122N07144,137,12.991939266692393,267.8435014775071
225,PH045619000,2015122N07144,8,10.439520933335277,303.34925066714777
226,PH045620000,2015122N07144,41,12.516447146471128,289.83605380073215
227,PH045621000,2015122N07144,40,16.536566839442134,226.68707486819582
228,PH045622000,2015122N07144,154,11.797232890319751,286.8296267817944
229,PH045627000,2015122N07144,6,11.314754609361643,305.5194853089404
230,PH045628000,2015122N07144,18,9.975197430434285,301.86616185027856
231,PH045631000,2015122N07144,205,15.084227111363209,248.13304817846992
232,PH045632000,2015122N07144,113,15.87362218793555,236.76419120035825
233,PH045633000,2015122N07144,23,11.753075005050448,299.08810748974315
234,PH045636000,2015122N07144,245,14.416000770837966,258.0403119970001
235,PH045637000,2015122N07144,61,11.879726494305329,292.45273324334875
236,PH045638000,2015122N07144,19,11.856903130925625,302.1004983227418
237,PH045640000,2015122N07144,8,9.51848024554812,302.3195403853189
238,PH045644000,2015122N07144,93,10.45129778528706,294.22650555145407
239,PH045646000,2015122N07144,499,13.76227170962107,247.08827653236625
240,PH050501000,2015122N07144,226,12.176200182310234,223.2402662129959
241,PH050502000,2015122N07144,121,11.130929742002284,247.63892575583526
242,PH050503000,2015122N07144,120,10.85170543429088,252.24750426133147
243,PH050504000,2015122N07144,212,11.316657350357673,246.06134250169347
244,PH050505000,2015122N07144,51,10.146527108107453,267.6458347876386
245,PH050506000,2015122N07144,195,11.223433434436386,244.5576758403937
246,PH050507000,2015122N07144,195,11.16279199971001,254.2521945806026
247,PH050508000,2015122N07144,211,11.210830940842504,249.22337703384358
248,PH050509000,2015122N07144,37,11.81696919812094,235.29909625102624
249,PH050510000,2015122N07144,146,12.333306785222192,229.2126074045886
250,PH050511000,2015122N07144,101,10.889636298281934,245.0159708239778
