,adm3_pcode,storm_id,value_count,v_max,dis_track_min
0,PH012801000,2016287N13130,53,6.523835313181434,240.01832557596046
1,PH012802000,2016287N13130,44,7.775595547671743,216.08064112922975
2,PH012803000,2016287N13130,54,10.083682958695261,175.7616956550598
3,PH012804000,2016287N13130,85,6.597607363899387,241.59722122998278
4,PH012805000,2016287N13130,149,9.466918319701513,183.72335239251927
5,PH012806000,2016287N13130,71,6.892747868531972,234.85918357840296
6,PH012807000,2016287N13130,130,7.70109866468114,211.79874617806996
7,PH012808000,2016287N13130,25,9.415968124201354,186.6406567311445
8,PH012809000,2016287N13130,119,8.601207207297259,194.2668728534781
9,PH012810000,2016287N13130,52,6.423371940588324,243.9957358001549
10,PH012811000,2016287N13130,51,9.320249767068649,184.99824822597304
11,PH012812000,2016287N13130,91,8.405917124111621,204.06033575709588
12,PH012813000,2016287N13130,75,9.013342128867764,187.463686161583
13,PH012814000,2016287N13130,506,10.461976604767157,167.60352279217062
14,PH012815000,2016287N13130,77,6.1474232221018665,250.73923376216962
15,PH012816000,2016287N13130,49,8.984273377911855,193.20566643814476
16,PH012817000,2016287N13130,117,7.435763183531455,222.7459837339244
17,PH012818000,2016287N13130,66,7.950643829119207,209.0311151479434
18,PH012819000,2016287N13130,79,9.938335630111862,176.98073458874296
19,PH012820000,2016287N13130,24,8.57497862176495,199.86328913180225
20,PH012821000,2016287N13130,46,8.455398242030718,201.24251811834296
21,PH012822000,2016287N13130,93,8.325008216605898,199.61627878493653
22,PH012823000,2016287N13130,400,7.927551520777717,211.97630099636763
23,PH012901000,2016287N13130,192,27.374006911820594,64.3347959909401
24,PH012902000,2016287N13130,36,18.1126294091038,100.10009319487781
25,PH012903000,2016287N13130,95,13.135021845991995,136.6212487290833
26,PH012904000,2016287N13130,35,16.182133367360976,112.10655103195448
27,PH012905000,2016287N13130,143,11.365168729303788,158.34130154598358
28,PH012906000,2016287N13130,181,19.28576044621178,93.69287272061987
29,PH012907000,2016287N13130,32,13.368784639177061,135.4937963460498
30,PH012908000,2016287N13130,297,24.518609986205796,73.83020957528662
31,PH012909000,2016287N13130,36,18.90191906871435,95.9364173880393
32,PH012910000,2016287N13130,106,19.666409884278757,93.73374804142024
33,PH012911000,2016287N13130,35,17.018569683848792,106.70010738796925
34,PH012912000,2016287N13130,93,12.407918768405127,146.4194656927686
35,PH012913000,2016287N13130,66,14.682695561928053,122.95782008328023
36,PH012914000,2016287N13130,100,14.79491083046962,121.96352786110857
37,PH012915000,2016287N13130,215,20.539730601051676,89.68526191131892
38,PH012916000,2016287N13130,73,19.967424848224848,90.58501704794259
39,PH012917000,2016287N13130,176,17.787116534900406,102.80408766305466
40,PH012918000,2016287N13130,35,16.32656527235185,111.01511335388219
41,PH012919000,2016287N13130,31,12.663623695531305,142.03734947907034
42,PH012920000,2016287N13130,90,11.779602400900092,152.8983640610016
43,PH012921000,2016287N13130,32,12.877330676428729,140.95322589785
44,PH012922000,2016287N13130,33,13.627227026185123,131.21633877512565
45,PH012923000,2016287N13130,32,13.368784639177061,135.4937963460498
46,PH012924000,2016287N13130,113,22.766235336234672,78.42598540610805
47,PH012925000,2016287N13130,37,20.22537916595566,89.23072297292646
48,PH012926000,2016287N13130,103,16.32656527235185,111.01511335388219
49,PH012927000,2016287N13130,72,17.304902406103444,104.42036366447414
50,PH012928000,2016287N13130,31,12.663623695531305,142.03734947907034
51,PH012929000,2016287N13130,147,22.297505821205057,81.79008791725246
52,PH012930000,2016287N13130,55,10.437977638628531,170.33291113814838
53,PH012931000,2016287N13130,118,33.98875903708682,49.28083567848312
54,PH012932000,2016287N13130,188,24.23998085321937,73.056822537276
55,PH012933000,2016287N13130,78,26.28217225291647,66.36000346791808
56,PH012934000,2016287N13130,32,13.368784639177061,135.4937963460498
57,PH013301000,2016287N13130,43,45.89015316165344,8.23141888406452
58,PH013302000,2016287N13130,86,52.98364958254542,8.956959557849128
59,PH013303000,2016287N13130,82,36.43290341865805,43.50245048561138
60,PH013304000,2016287N13130,166,46.168203201969455,30.79186262308481
61,PH013305000,2016287N13130,80,32.87956021840806,50.180548594390764
62,PH013306000,2016287N13130,40,28.210326542361237,60.93869208135393
63,PH013307000,2016287N13130,126,54.83363734842247,17.02891246888573
64,PH013308000,2016287N13130,42,50.97465095136987,25.2666120484834
65,PH013309000,2016287N13130,42,53.13238013022623,12.42187555069513
66,PH013310000,2016287N13130,40,30.809811762813307,54.448966322650435
67,PH013311000,2016287N13130,169,54.80449591313396,19.795624855466915
68,PH013312000,2016287N13130,43,49.735248047844635,3.9374111859369454
69,PH013313000,2016287N13130,130,45.89986511861143,3.713635342462892
70,PH013314000,2016287N13130,125,48.38510666143531,27.315940313761956
71,PH013315000,2016287N13130,162,38.960122665097714,39.611497344608985
72,PH013316000,2016287N13130,41,39.92004848820103,38.06254498292313
73,PH013317000,2016287N13130,86,47.19982853309134,3.9227905701122214
74,PH013318000,2016287N13130,161,34.79975739415714,46.84757177125511
75,PH013319000,2016287N13130,118,29.762481395010496,57.1569918401498
76,PH013320000,2016287N13130,86,49.41508696953308,4.135263624886964
77,PH015501000,2016287N13130,266,32.40257832521789,28.542705730168553
78,PH015502000,2016287N13130,221,26.547718865876373,50.9302751409678
79,PH015503000,2016287N13130,312,37.009191308034566,19.93078351576703
80,PH015504000,2016287N13130,43,28.99641499715025,48.11009237695987
81,PH015505000,2016287N13130,88,41.099301754943006,9.01922579167726
82,PH015506000,2016287N13130,86,41.795936089577204,21.000140962027043
83,PH015507000,2016287N13130,87,37.02488102855195,31.618557313863914
84,PH015508000,2016287N13130,309,35.98726168129292,18.034867319763723
85,PH015509000,2016287N13130,43,28.211617363131584,47.77733279636248
86,PH015510000,2016287N13130,43,28.99641499715025,48.11009237695987
87,PH015511000,2016287N13130,218,27.935529653448434,49.348640033471256
88,PH015512000,2016287N13130,86,41.76542440540909,19.837909680704517
89,PH015513000,2016287N13130,88,33.059890015257714,35.083105167288835
90,PH015514000,2016287N13130,265,43.09238654928521,6.606550331128519
91,PH015515000,2016287N13130,312,29.625078365735522,41.40157012962324
92,PH015516000,2016287N13130,177,29.01824834560982,38.868661456480325
93,PH015517000,2016287N13130,132,34.99529361009381,31.52942890864649
94,PH015518000,2016287N13130,44,34.14837016712639,33.450143283782076
95,PH015519000,2016287N13130,267,25.357074834104683,48.1983164478792
96,PH015520000,2016287N13130,267,24.816787015525144,51.87789650187457
