,adm3_pcode,storm_id,value_count,v_max,dis_track_min
0,PH067903000,2017354N08134,24,12.238426230897506,291.1306832855753
1,PH067905000,2017354N08134,7,11.88147637221217,296.30129347171646
2,PH071201000,2017354N08134,37,15.13950336548522,202.2355470488499
3,PH071202000,2017354N08134,96,13.910020330567615,230.49295876720012
4,PH071203000,2017354N08134,70,14.789873428628326,219.5818724601979
5,PH071204000,2017354N08134,34,14.225854086904159,218.76292860210987
6,PH071205000,2017354N08134,36,15.20630849730466,202.11852851694508
7,PH071206000,2017354N08134,102,14.47173881136373,213.33477302692532
8,PH071207000,2017354N08134,33,13.75574261864217,224.60138762003086
9,PH071208000,2017354N08134,246,15.009863531872869,202.40546392028946
10,PH071209000,2017354N08134,107,12.744425102221113,246.88023934682366
11,PH071210000,2017354N08134,31,13.685004074478632,229.7949711587153
12,PH071211000,2017354N08134,101,14.390203582282243,225.05161494524856
13,PH071212000,2017354N08134,229,14.186577960611146,219.1403777170592
14,PH071213000,2017354N08134,161,13.849683110116409,224.4340755650797
15,PH071214000,2017354N08134,30,13.20684837190008,235.5410332285526
16,PH071215000,2017354N08134,36,14.86604513296507,207.66656212165543
17,PH071216000,2017354N08134,69,14.612466539674077,213.14497275121954
18,PH071217000,2017354N08134,94,13.64809410132551,230.35902337422485
19,PH071218000,2017354N08134,117,13.280205057057467,235.78400837706766
20,PH071219000,2017354N08134,36,15.354679595275496,202.02847782349025
21,PH071220000,2017354N08134,74,15.137989583712171,202.4977942734036
22,PH071221000,2017354N08134,106,14.83376657848159,213.84340433923734
23,PH071222000,2017354N08134,110,15.263615283743027,202.61363811295288
24,PH071223000,2017354N08134,70,14.604322224664276,219.50450694426118
25,PH071224000,2017354N08134,136,12.878375066485997,241.2257043680155
26,PH071225000,2017354N08134,109,15.070695615237394,208.2935686927787
27,PH071226000,2017354N08134,46,12.165922317408683,257.97679460279517
28,PH071227000,2017354N08134,37,15.066745285022957,202.40152018615805
29,PH071228000,2017354N08134,37,15.063026956030269,202.24438597268303
30,PH071229000,2017354N08134,109,15.063026956030269,202.24438597268303
31,PH071230000,2017354N08134,96,14.049816780619361,224.21359875781852
32,PH071231000,2017354N08134,128,14.090008878509376,230.62790416631736
33,PH071232000,2017354N08134,67,14.356090763130279,218.66703538455027
34,PH071233000,2017354N08134,37,15.77783129609492,196.3409875140162
35,PH071234000,2017354N08134,99,14.118948631872529,224.94309996227267
36,PH071235000,2017354N08134,25,12.84857043831773,258.5013702224447
37,PH071236000,2017354N08134,90,13.42867567723524,230.13318221313293
38,PH071237000,2017354N08134,63,13.920708432315713,224.31124667333123
39,PH071238000,2017354N08134,116,13.263460199653453,241.45747445492486
40,PH071239000,2017354N08134,35,14.404211313808808,213.34315210423267
41,PH071240000,2017354N08134,102,14.333735500133828,219.2607291096667
42,PH071241000,2017354N08134,36,14.800015247544673,207.78514970107622
43,PH071242000,2017354N08134,35,14.942230586168693,207.59497333882123
44,PH071243000,2017354N08134,146,12.57723226328226,252.53046323338498
45,PH071244000,2017354N08134,108,12.914581239957284,247.00675219568936
46,PH071245000,2017354N08134,59,13.33808856604258,235.40812069953856
47,PH071246000,2017354N08134,233,13.539584888229374,236.0428242117931
48,PH071247000,2017354N08134,109,15.199225945897046,202.5817289882282
49,PH071248000,2017354N08134,48,12.496084546028117,258.2423438252611
50,PH072201000,2017354N08134,28,13.658354611478199,240.35102836554412
51,PH072202000,2017354N08134,68,15.200207637936693,212.60427799320445
52,PH072203000,2017354N08134,100,15.266119829626993,212.5864120050227
53,PH072204000,2017354N08134,43,12.42608031298155,262.7275591187396
54,PH072205000,2017354N08134,178,14.127443325826004,229.34279816998733
55,PH072207000,2017354N08134,94,14.614075764079159,223.68590186981925
56,PH072208000,2017354N08134,31,11.073317831314478,290.6868365562248
57,PH072210000,2017354N08134,95,12.994276794312528,251.5424939211099
58,PH072212000,2017354N08134,142,15.903134525281729,201.50582843894773
59,PH072214000,2017354N08134,95,12.884489056834582,251.6768516938614
60,PH072217000,2017354N08134,121,11.622904277557508,274.1949678575679
61,PH072218000,2017354N08134,13,10.673957477822025,296.44511175019096
62,PH072219000,2017354N08134,25,11.076548484383254,285.48120898303273
63,PH072220000,2017354N08134,18,11.570406961299982,274.2491722253582
64,PH072222000,2017354N08134,161,14.812546953446281,218.24297350575466
65,PH072224000,2017354N08134,52,13.322277169080321,246.0268003074369
66,PH072225000,2017354N08134,37,16.40244776746596,195.91937069450276
67,PH072226000,2017354N08134,52,11.570406961299982,274.2491722253582
68,PH072227000,2017354N08134,10,10.865604902888984,291.03100801901695
69,PH072229000,2017354N08134,142,16.03141252562195,201.46717412096402
70,PH072230000,2017354N08134,30,11.345820080458802,279.798096705225
71,PH072232000,2017354N08134,36,11.733732885532776,274.03736138503746
72,PH072233000,2017354N08134,88,13.947267626641352,234.80161684558738
73,PH072234000,2017354N08134,38,12.019776617268048,268.4985902405749
74,PH072235000,2017354N08134,189,17.12140412278688,184.8379553928426
75,PH072237000,2017354N08134,57,12.131058114836396,268.32672764028814
76,PH072239000,2017354N08134,56,13.59958149837683,240.4776646086127
77,PH072240000,2017354N08134,77,17.185354852387626,184.8241595230891
78,PH072241000,2017354N08134,44,12.319306007588425,262.81418712308005
79,PH072245000,2017354N08134,40,17.598732647131285,179.27677626636262
80,PH072246000,2017354N08134,78,13.262622127476364,245.99256483509535
81,PH072250000,2017354N08134,18,11.680531962740128,274.13892902050077
82,PH072251000,2017354N08134,112,11.663551332850979,279.4266531510902
83,PH076101000,2017354N08134,42,18.501461897920162,162.8779416555227
84,PH076102000,2017354N08134,43,18.981164442465555,157.32805063116604
85,PH076103000,2017354N08134,89,20.097257084691957,146.2282933988102
86,PH076104000,2017354N08134,87,19.480896081680466,151.7781675764523
87,PH076105000,2017354N08134,44,19.73643215998323,151.7000938469202
88,PH076106000,2017354N08134,174,19.640053793672205,151.64456455078616
89,PH083707000,2017354N08134,36,12.333813669581133,280.7786036659713
90,PH083719000,2017354N08134,86,12.108561804801173,286.328535525108
91,PH083720000,2017354N08134,22,11.624943738455688,291.8552305489742
92,PH083721000,2017354N08134,6,11.255954724326893,297.46814783120834
93,PH083734000,2017354N08134,88,12.7412454805585,269.67874836169733
94,PH086401000,2017354N08134,23,13.167174859249581,274.7879285681089
95,PH086402000,2017354N08134,35,12.428562443943823,280.75915728216063
96,PH086403000,2017354N08134,101,12.854815420334619,280.4803860512552
97,PH086404000,2017354N08134,38,12.929372430846518,280.33600050488593
98,PH086405000,2017354N08134,75,12.92151111140192,275.0947506609464
99,PH086406000,2017354N08134,116,14.178424153741249,252.59648793571728
100,PH086407000,2017354N08134,149,13.124496810790848,264.11034355664793
101,PH086408000,2017354N08134,57,13.719142777307104,253.00079009880236
102,PH086409000,2017354N08134,78,13.454269137691535,258.55056578036016
103,PH086410000,2017354N08134,30,13.719142777307104,253.00079009880236
104,PH086411000,2017354N08134,66,14.722994952747674,241.50135762105438
105,PH086412000,2017354N08134,67,13.243355427598555,269.45218511873173
106,PH086413000,2017354N08134,30,14.084302581765444,252.73048432984191
107,PH086414000,2017354N08134,23,13.089168224635792,274.9304041198212
108,PH086415000,2017354N08134,35,15.109663348348073,235.8471462052634
109,PH086416000,2017354N08134,20,11.966207965281107,297.1303358955123
110,PH086417000,2017354N08134,56,12.086972720132945,291.7848611265365
111,PH086418000,2017354N08134,43,12.739681662521765,275.19994711031967
112,PH086419000,2017354N08134,34,14.723297554408528,236.24488243392778
113,PH097201000,2017354N08134,345,29.902912067013382,74.06384650099356
114,PH097202000,2017354N08134,198,31.19002241955934,68.41830025163515
115,PH097203000,2017354N08134,303,33.166122481778565,57.35500573687784
116,PH097204000,2017354N08134,101,30.668608876758245,68.40091044169608
117,PH097205000,2017354N08134,304,31.96533249293446,24.742541955713232
118,PH097206000,2017354N08134,151,32.303099252188396,29.879423148870863
119,PH097207000,2017354N08134,248,32.45651107356382,62.68323075437561
120,PH097208000,2017354N08134,152,31.739449864057754,62.85193119825331
121,PH097209000,2017354N08134,201,31.867134368805704,62.82145189386488
122,PH097210000,2017354N08134,200,31.936631843373167,62.76096211986149
123,PH097211000,2017354N08134,397,33.276250165442484,57.07450385885585
124,PH097212000,2017354N08134,149,28.808180987715684,79.49929645637661
125,PH097213000,2017354N08134,253,32.17926403720115,24.35300553678102
126,PH097214000,2017354N08134,609,33.331068615935415,51.53964858520559
127,PH097215000,2017354N08134,711,33.64608928162493,23.989910874852843
128,PH097216000,2017354N08134,1058,27.31044373449697,32.04594221134482
129,PH097217000,2017354N08134,99,28.075357982129017,85.1476185593506
130,PH097218000,2017354N08134,710,33.779889063946065,13.891291962962926
131,PH097219000,2017354N08134,609,29.637005845653746,4.936267488061429
132,PH097220000,2017354N08134,404,27.952233942849112,22.3807116137106
133,PH097221000,2017354N08134,202,31.177942507502568,13.358958814402625
134,PH097222000,2017354N08134,298,33.29872336039334,57.14259773411619
135,PH097223000,2017354N08134,710,32.15133160244294,4.434434647833429
136,PH097224000,2017354N08134,660,31.242900471139592,0.7631732780957127
137,PH097225000,2017354N08134,457,31.045324971207283,12.702600261537672
138,PH097226000,2017354N08134,407,32.22624224572732,19.098875147280232
139,PH097227000,2017354N08134,408,31.3035611873009,8.812067126228873
140,PH097302000,2017354N08134,314,29.587011633410157,7.5418649484927816
141,PH097303000,2017354N08134,413,30.12170127956015,2.2114091050791185
142,PH097305000,2017354N08134,208,24.966679628592484,26.160395388667084
143,PH097306000,2017354N08134,312,26.02894027863421,16.064005881813834
144,PH097307000,2017354N08134,209,28.006893356831668,2.679584373203516
145,PH097308000,2017354N08134,668,33.11623225049435,34.88965565058044
146,PH097311000,2017354N08134,258,28.1971049896949,2.581582983724568
147,PH097312000,2017354N08134,312,29.27349618985198,7.446295476306147
148,PH097313000,2017354N08134,312,26.855216606077946,9.785585659291845
149,PH097315000,2017354N08134,205,32.758322423665945,35.14679221053638
150,PH097317000,2017354N08134,104,25.177092654937955,26.295148995310413
151,PH097318000,2017354N08134,618,31.448842956654467,18.239675615144304
152,PH097319000,2017354N08134,156,32.65298695604603,29.84960648482801
153,PH097322000,2017354N08134,365,29.419992232302175,3.8440374940429423
154,PH097323000,2017354N08134,206,31.132607685733884,18.932390749537987
155,PH097324000,2017354N08134,156,26.638778135452384,9.510446454385919
156,PH097325000,2017354N08134,156,26.502701329375387,9.65298121142511
157,PH097327000,2017354N08134,52,22.990428418434153,42.86369232434005
158,PH097328000,2017354N08134,260,31.484500500110748,24.02228544558764
159,PH097330000,2017354N08134,157,29.660846709265172,9.94068294153699
160,PH097332000,2017354N08134,2446,26.783044787679415,34.33018483080374
161,PH097333000,2017354N08134,257,30.202929388024227,7.38413926636801
162,PH097337000,2017354N08134,103,32.53289490242378,40.65880076610895
163,PH097338000,2017354N08134,156,23.74259839899566,37.6772151988948
164,PH097340000,2017354N08134,156,31.166551657263646,18.44499557144471
165,PH097341000,2017354N08134,155,24.767813270623115,31.830864246550444
166,PH097343000,2017354N08134,208,27.48816107483107,3.9605588896679467
167,PH097344000,2017354N08134,207,28.730942353250537,1.5901137303085098
168,PH098301000,2017354N08134,204,25.771284358846525,26.14771074045728
169,PH098302000,2017354N08134,206,27.753598902350742,4.319623065166899
170,PH098303000,2017354N08134,258,28.957621955203305,1.6040493827129962
171,PH098304000,2017354N08134,154,26.81972816636526,15.047785749034395
172,PH098305000,2017354N08134,255,29.29650386399148,3.4460989286640187
173,PH098306000,2017354N08134,514,29.95117802670167,2.282547292766661
174,PH098307000,2017354N08134,102,24.368541758614036,42.79767118072328
175,PH098308000,2017354N08134,255,26.6045193591113,15.199071347135561
176,PH098309000,2017354N08134,257,29.60358226176199,3.205414565283438
177,PH098310000,2017354N08134,102,24.248546144263447,48.212204786985794
178,PH098311000,2017354N08134,306,27.06466206285962,14.96107989317217
179,PH098312000,2017354N08134,357,29.33129057550982,3.558178365253553
180,PH098313000,2017354N08134,358,28.159959794907433,3.948282529286258
181,PH098314000,2017354N08134,102,24.680550453394336,42.66505666952198
182,PH098315000,2017354N08134,459,30.426348549677787,3.4662681829639452
183,PH098316000,2017354N08134,663,28.55978703873217,12.487255805024512
184,PH099701000,2017354N08134,379,20.808607515280773,114.28809598585
185,PH101301000,2017354N08134,676,33.7516980117268,42.108858074950625
186,PH101302000,2017354N08134,206,26.076591895938346,35.68382693689657
187,PH101303000,2017354N08134,104,27.67421139317669,19.098594949379887
188,PH101304000,2017354N08134,366,29.213325682232366,4.728213995108631
189,PH101305000,2017354N08134,1669,34.58856511487081,42.153106066183994
190,PH101306000,2017354N08134,313,27.488345802718392,19.23628245219449
191,PH101307000,2017354N08134,419,29.824949008175,2.3718694624163614
192,PH101308000,2017354N08134,363,27.12651567216013,24.617291774572724
193,PH101309000,2017354N08134,729,28.403765589482052,13.798001206937203
194,PH101310000,2017354N08134,630,33.71230406348069,25.35264557627403
195,PH101311000,2017354N08134,415,33.84608629521303,47.69578749025045
196,PH101312000,2017354N08134,1642,34.96026613764285,20.217720074005676
197,PH101313000,2017354N08134,614,31.072505472281357,75.42540022686859
198,PH101314000,2017354N08134,832,34.13819522036543,42.32852279853976
199,PH101315000,2017354N08134,528,30.65788895836184,3.2132983513547027
200,PH101316000,2017354N08134,737,30.857877382466146,2.673823152677515
201,PH101317000,2017354N08134,1050,30.027294309548708,2.4959864662065336
202,PH101318000,2017354N08134,1007,32.217874448766764,3.446340037016858
203,PH101319000,2017354N08134,313,34.384719932171045,47.751103225927025
204,PH101320000,2017354N08134,1732,33.13067581126213,14.540515069132255
205,PH101321000,2017354N08134,1211,32.09506261535004,3.0625905400943862
206,PH101322000,2017354N08134,426,33.68044557440648,25.002933125602087
207,PH101801000,2017354N08134,91,20.41753275311172,147.63770846946954
208,PH101802000,2017354N08134,46,20.63861826983296,147.68262312092796
209,PH101803000,2017354N08134,45,20.105243490232585,153.22798681158667
210,PH101804000,2017354N08134,90,19.47492616560802,158.65574401169516
211,PH101805000,2017354N08134,92,20.53555240925712,147.55582864460848
212,PH103501000,2017354N08134,104,31.414263199524306,35.85468271977757
213,PH103502000,2017354N08134,104,31.316641092137385,30.567768259864536
214,PH103503000,2017354N08134,158,29.81019452236478,14.490480069260316
215,PH103504000,2017354N08134,885,33.106615935914036,41.65646140291654
216,PH103505000,2017354N08134,264,28.65189828312656,7.9505496544573235
217,PH103506000,2017354N08134,368,27.992407409961714,3.056261727039612
218,PH103507000,2017354N08134,211,31.692198878791917,30.729464218105804
