,adm3_pcode,storm_id,value_count,v_max,dis_track_min
0,PH012801000,2013259N17132,110,9.56904862844269,248.75615434986233
1,PH012802000,2013259N17132,53,8.000657920395026,277.392623857238
2,PH012804000,2013259N17132,187,9.555853380131706,246.73513371313848
3,PH012805000,2013259N17132,11,6.997307442260559,299.0788272222164
4,PH012806000,2013259N17132,144,9.219592476792517,250.30766998445185
5,PH012807000,2013259N17132,162,8.418203011835558,271.6299193054418
6,PH012809000,2013259N17132,55,7.501195801832211,291.31677167266065
7,PH012810000,2013259N17132,112,9.66137027297059,245.59783102692643
8,PH012812000,2013259N17132,79,7.690698910237069,284.0306228796234
9,PH012814000,2013259N17132,117,8.013160888733596,281.3797233612316
10,PH012815000,2013259N17132,202,10.250757971364326,234.71881037450518
11,PH012816000,2013259N17132,12,7.088854669144383,296.05629893627935
12,PH012817000,2013259N17132,191,8.849684248431302,256.9473027510423
13,PH012818000,2013259N17132,71,8.02366737011493,279.3354201732382
14,PH012820000,2013259N17132,13,7.2718436487015445,294.8643953892845
15,PH012821000,2013259N17132,37,7.641235639494432,287.0753790040811
16,PH012822000,2013259N17132,68,7.642207854672182,289.04887790230447
17,PH012823000,2013259N17132,620,9.107958195674673,256.45884266080253
18,PH020901000,2013259N17132,139,56.37750156763518,6.290809288866084
19,PH020902000,2013259N17132,209,60.63488118134674,16.477649554671373
20,PH020903000,2013259N17132,69,53.90338086309317,19.275334570987305
21,PH020904000,2013259N17132,69,53.90338086309317,19.275334570987305
22,PH020905000,2013259N17132,70,52.56239711762919,25.818078688034387
23,PH020906000,2013259N17132,69,53.90338086309317,19.275334570987305
24,PH021501000,2013259N17132,151,10.29009791404841,242.50749997496024
25,PH021502000,2013259N17132,116,8.40999103426192,283.5271997182381
26,PH021503000,2013259N17132,259,9.666201332057533,254.91428317413408
27,PH021504000,2013259N17132,39,8.01154004320449,293.1397967698893
28,PH021505000,2013259N17132,397,13.705555251187263,192.6034181333082
29,PH021506000,2013259N17132,697,9.059708342621233,271.1668458073603
30,PH021507000,2013259N17132,191,10.379542163184677,241.24962058944857
31,PH021508000,2013259N17132,215,10.182767121719792,248.63724138288282
32,PH021509000,2013259N17132,888,24.158165983556476,109.65124689316802
33,PH021510000,2013259N17132,110,9.98725010854914,251.10432791417023
34,PH021511000,2013259N17132,168,10.88088627917467,227.95966980186697
35,PH021513000,2013259N17132,564,9.442290788220868,263.688619400623
36,PH021514000,2013259N17132,716,11.052366768268595,235.38925884070082
37,PH021516000,2013259N17132,847,10.082423537337158,251.72791903974644
38,PH021517000,2013259N17132,176,8.732707385987126,275.22359777495575
39,PH021518000,2013259N17132,317,10.599417412877324,235.38930811999296
40,PH021519000,2013259N17132,26,7.903795238867085,296.39840075042605
41,PH021521000,2013259N17132,119,8.13404589561818,285.75306079121185
42,PH021522000,2013259N17132,207,10.790397546583327,231.1436309430851
43,PH021523000,2013259N17132,774,12.836467163832351,209.13477992497675
44,PH021524000,2013259N17132,160,10.26123489257937,236.74761960638122
45,PH021525000,2013259N17132,149,10.274166276653691,247.38799527831586
46,PH021526000,2013259N17132,122,8.174238902880704,287.32801622826895
47,PH148101000,2013259N17132,1394,10.237468687289734,238.82973614054444
48,PH148103000,2013259N17132,256,9.129855191139042,264.1322957108052
49,PH148104000,2013259N17132,374,8.47056973408388,275.6892662843437
50,PH148105000,2013259N17132,451,9.802963692332478,250.41070348972724
51,PH148106000,2013259N17132,247,9.054290775012204,265.3869347923512
52,PH148107000,2013259N17132,68,9.405695580175474,258.7424329501035
