,adm3_pcode,storm_id,value_count,v_max,dis_track_min
0,PH012801000,2013220N12137,102,16.019042668991947,206.7010852460921
1,PH012802000,2013220N12137,75,19.156354032444224,180.58976756173988
2,PH012803000,2013220N12137,81,24.027044060328414,140.20902948806906
3,PH012804000,2013220N12137,171,16.610317807527736,206.99841121665062
4,PH012805000,2013220N12137,237,22.47700212564051,149.07473715749916
5,PH012806000,2013220N12137,141,17.258478688489134,199.90069749233157
6,PH012807000,2013220N12137,220,18.399915981405993,178.49114024892944
7,PH012808000,2013220N12137,40,22.655328148417347,150.79465572106994
8,PH012809000,2013220N12137,194,20.484833003641615,160.95505758774445
9,PH012810000,2013220N12137,102,15.956783883165496,210.22248589475788
10,PH012811000,2013220N12137,80,22.05070834744807,150.59958639835145
11,PH012812000,2013220N12137,153,20.499865791458816,168.339393731925
12,PH012813000,2013220N12137,119,21.351985615565393,154.13882991980194
13,PH012814000,2013220N12137,784,24.640861671061582,133.0554850826707
14,PH012815000,2013220N12137,162,15.383934885875085,217.2653718149296
15,PH012816000,2013220N12137,78,21.630572251709125,157.7595171074705
16,PH012817000,2013220N12137,217,18.36470251336714,187.59780433669658
17,PH012818000,2013220N12137,112,19.075082817014984,175.12126355823327
18,PH012819000,2013220N12137,120,23.582924013012658,142.03863337806226
19,PH012820000,2013220N12137,39,20.67284079344935,164.80386003346078
20,PH012821000,2013220N12137,76,20.28796312446453,166.59590502574542
21,PH012822000,2013220N12137,152,19.788249619389305,166.2976864487426
22,PH012823000,2013220N12137,720,19.277845747080512,177.12487105965576
23,PH012901000,2013220N12137,219,58.17679261909687,31.745204371508976
24,PH012902000,2013220N12137,44,41.771873033425045,66.641204889019
25,PH012903000,2013220N12137,128,31.106893644880614,101.79752538195923
26,PH012904000,2013220N12137,43,37.165761181592636,78.79601891441045
27,PH012905000,2013220N12137,206,26.90325048511358,122.65858576549044
28,PH012906000,2013220N12137,218,44.89148357779883,59.37063226000091
29,PH012907000,2013220N12137,42,31.68065989073222,99.84760764269348
30,PH012908000,2013220N12137,349,52.79906552075213,41.341098977499406
31,PH012909000,2013220N12137,43,42.8033006265569,62.61535539601844
32,PH012910000,2013220N12137,130,43.390431683284696,60.919543475808126
33,PH012911000,2013220N12137,44,38.9383857335946,73.37913628293798
34,PH012912000,2013220N12137,127,29.359872270432092,110.3971512133308
35,PH012913000,2013220N12137,86,33.94405108816183,89.25798872459957
36,PH012914000,2013220N12137,128,34.55910436386689,87.36841755682462
37,PH012915000,2013220N12137,260,44.68502551118177,56.9058905056054
38,PH012916000,2013220N12137,87,45.17418186310356,57.28160940685547
39,PH012917000,2013220N12137,216,39.94921913452808,69.54375892485396
40,PH012918000,2013220N12137,43,37.86005108020319,76.90211497560995
41,PH012919000,2013220N12137,42,29.90186325084682,106.96226809448048
42,PH012920000,2013220N12137,125,27.811938934009227,117.39728719167785
43,PH012921000,2013220N12137,43,30.490974589991396,105.10820792875379
44,PH012922000,2013220N12137,43,32.42181511711225,96.57547473488447
45,PH012923000,2013220N12137,42,31.68065989073222,99.84760764269348
46,PH012924000,2013220N12137,131,51.33463757351478,45.10051160553394
47,PH012925000,2013220N12137,44,46.1904648350375,55.93068082315089
48,PH012926000,2013220N12137,129,37.86005108020319,76.90211497560995
49,PH012927000,2013220N12137,86,40.43823978492316,69.81795667028634
50,PH012928000,2013220N12137,42,29.90186325084682,106.96226809448048
51,PH012929000,2013220N12137,174,49.37433514713776,49.00555667347983
52,PH012930000,2013220N12137,81,24.773540977904045,134.94721682184235
53,PH012931000,2013220N12137,131,58.580758695338886,16.558214023866505
54,PH012932000,2013220N12137,219,54.27683118336828,39.74130334992506
55,PH012933000,2013220N12137,87,57.55116664170062,33.09009697662201
56,PH012934000,2013220N12137,42,31.68065989073222,99.84760764269348
57,PH013301000,2013220N12137,43,42.17784535719988,33.17605199003798
58,PH013302000,2013220N12137,86,45.27561631825509,20.78446372051297
59,PH013303000,2013220N12137,88,55.25030165360472,10.438054344720552
60,PH013304000,2013220N12137,174,52.13214903243233,4.330813452061048
61,PH013305000,2013220N12137,88,57.40328244562088,16.892147658952545
62,PH013306000,2013220N12137,44,58.82384811543841,27.631133939672402
63,PH013307000,2013220N12137,131,48.64987782186939,8.395021990118423
64,PH013308000,2013220N12137,43,48.805492204583324,8.447629173498115
65,PH013309000,2013220N12137,44,44.75328408601935,22.862594947262913
66,PH013310000,2013220N12137,44,55.72959822282703,21.537824606110902
67,PH013311000,2013220N12137,175,48.89971475887866,8.26648849339044
68,PH013312000,2013220N12137,43,43.596770499903194,29.432417941700834
69,PH013313000,2013220N12137,128,41.99673258615426,34.914265318139826
70,PH013314000,2013220N12137,131,50.45107549697909,0.6693789980944611
71,PH013315000,2013220N12137,175,53.32483270966946,7.323233047746244
72,PH013316000,2013220N12137,44,52.11533358080235,4.8885604602187245
73,PH013317000,2013220N12137,86,41.57458444106072,36.13025079598591
74,PH013318000,2013220N12137,174,56.35762542391599,15.166456946172705
75,PH013319000,2013220N12137,132,58.98720543941463,24.18566365763749
76,PH013320000,2013220N12137,86,43.78249761924386,25.720082211373757
77,PH015501000,2013220N12137,247,33.43184450883176,68.68760705076448
78,PH015502000,2013220N12137,203,28.433088316602355,83.50977126475121
79,PH015503000,2013220N12137,294,36.585109739183615,56.721570693403976
80,PH015504000,2013220N12137,41,28.694619712468352,81.11233334532281
81,PH015505000,2013220N12137,85,39.66838211163484,45.920069969202984
82,PH015506000,2013220N12137,84,36.36253670802759,54.78232896740939
83,PH015507000,2013220N12137,84,32.76882891651766,65.59477269403645
84,PH015508000,2013220N12137,293,36.48143839840948,58.01994296145922
85,PH015509000,2013220N12137,41,29.1021238078998,80.57964195093165
86,PH015510000,2013220N12137,41,28.694619712468352,81.11233334532281
87,PH015511000,2013220N12137,204,28.408823163465613,82.38808609796604
88,PH015512000,2013220N12137,84,36.96612091756377,52.87921203889918
89,PH015513000,2013220N12137,82,32.65470296724006,67.9850042749098
90,PH015514000,2013220N12137,256,41.5779745803279,37.518564046412266
91,PH015515000,2013220N12137,287,30.866535669496887,74.71337560876519
92,PH015516000,2013220N12137,162,31.245580573709788,75.67371982405413
93,PH015517000,2013220N12137,125,33.4734654049117,64.35182675347127
94,PH015518000,2013220N12137,42,33.03033381837569,65.96026611820291
95,PH015519000,2013220N12137,242,28.94812883237262,84.94924451247871
96,PH015520000,2013220N12137,239,28.287704352004415,86.52314963906709
97,PH015521000,2013220N12137,124,31.54959126183088,72.79872946823791
98,PH015522000,2013220N12137,84,32.3250916727188,69.31575181722067
99,PH015523000,2013220N12137,370,32.652600216350436,70.40278754448772
100,PH015524000,2013220N12137,165,31.13992158170025,71.69561942990165
101,PH015525000,2013220N12137,127,36.39234501651545,54.15534638020196
102,PH015526000,2013220N12137,42,35.09555596401628,58.994863417913464
103,PH015527000,2013220N12137,402,27.228284749440125,88.77536591589804
104,PH015528000,2013220N12137,42,33.82908218020085,63.191482864650425
105,PH015529000,2013220N12137,170,41.57617341926415,43.724827613817936
106,PH015530000,2013220N12137,42,38.11289560066439,48.84932546960473
107,PH015531000,2013220N12137,84,30.49529563964304,72.29875943871566
108,PH015532000,2013220N12137,165,30.47035108649826,75.14985030011584
109,PH015533000,2013220N12137,85,38.90035971522304,46.85816274889427
110,PH015534000,2013220N12137,126,37.54761111024451,50.83750657280666
111,PH015535000,2013220N12137,171,42.17560809500183,38.86881925863202
112,PH015536000,2013220N12137,343,44.57848095067285,34.19810715477227
113,PH015537000,2013220N12137,128,39.42439794095725,49.1390535646088
114,PH015538000,2013220N12137,84,32.63759630289534,66.39956251898808
115,PH015539000,2013220N12137,84,35.25801577605866,58.910894820885574
116,PH015540000,2013220N12137,41,30.30768398422506,73.95917258276901
117,PH015541000,2013220N12137,299,41.5727625102128,38.44452774305881
118,PH015542000,2013220N12137,167,34.23643465280699,63.64612152806179
119,PH015543000,2013220N12137,42,37.20492924562565,53.67927881727655
120,PH015544000,2013220N12137,379,37.30644690058162,54.25959205555161
121,PH015545000,2013220N12137,81,27.8210907591647,85.84289535130684
122,PH015546000,2013220N12137,127,33.901793527248216,61.66303575634617
123,PH015547000,2013220N12137,168,32.14052094171591,66.96206237514532
124,PH015548000,2013220N12137,42,34.69162432650897,59.50589453393618
125,PH021501000,2013220N12137,120,14.192528632396632,213.6655704351142
126,PH021502000,2013220N12137,239,17.021016293547618,171.54406016047867
127,PH021503000,2013220N12137,253,15.564003633042887,193.88147087807047
128,PH021504000,2013220N12137,317,18.306060558277515,159.32500515036938
129,PH021505000,2013220N12137,218,13.590247968601822,218.1686629919811
130,PH021506000,2013220N12137,1152,16.128320382133797,171.84799176967812
131,PH021507000,2013220N12137,148,14.363701619243592,209.84628303254667
132,PH021508000,2013220N12137,177,13.833856226848896,207.9576310895087
133,PH021509000,2013220N12137,72,10.738640291108394,285.8765586859909
134,PH021510000,2013220N12137,88,13.748180354619292,214.39551913943725
135,PH021511000,2013220N12137,120,14.230094612884534,227.49945860154864
136,PH021512000,2013220N12137,228,20.781593286456523,135.50237991365768
137,PH021513000,2013220N12137,634,16.13699612998554,182.19508970366286
138,PH021514000,2013220N12137,464,12.615015724679203,219.09433635642625
139,PH021515000,2013220N12137,107,17.484597635638934,159.68749117448945
140,PH021516000,2013220N12137,752,15.122027441756742,196.8494411750916
141,PH021517000,2013220N12137,235,16.470609550603225,183.12761462833154
142,PH021518000,2013220N12137,237,14.079802681878482,217.44761618122936
143,PH021519000,2013220N12137,1252,19.220138350775496,145.04842252437382
144,PH021520000,2013220N12137,184,19.19011368705145,152.49982138966735
145,PH021521000,2013220N12137,433,19.400526890837522,154.8890751246143
146,PH021522000,2013220N12137,147,13.914701495981854,223.34473942971758
147,PH021523000,2013220N12137,387,11.180176685722577,232.89516028572538
148,PH021524000,2013220N12137,129,15.118427420506922,215.22020591672856
149,PH021525000,2013220N12137,116,13.37569863257604,210.83024258791812
150,PH021526000,2013220N12137,426,18.243290033895132,163.26129871976474
151,PH021527000,2013220N12137,371,20.567046733644126,137.96495704675561
152,PH021528000,2013220N12137,151,20.29115976514649,141.79054759784458
153,PH021529000,2013220N12137,111,19.497146812585033,143.63779778163712
154,PH023101000,2013220N12137,170,43.68198826442415,54.943750682163184
155,PH023102000,2013220N12137,299,46.00050120087568,51.04748030200149
156,PH023103000,2013220N12137,126,35.40307764749755,73.53114999434965
157,PH023104000,2013220N12137,211,37.20381045646381,69.16768677511651
158,PH023105000,2013220N12137,83,30.82217458906526,87.28420430575164
159,PH023106000,2013220N12137,388,22.761631502607393,122.16806485896366
160,PH023107000,2013220N12137,127,36.89935576027559,69.84421644714857
161,PH023108000,2013220N12137,548,39.04857290227696,64.61809095982731
162,PH023109000,2013220N12137,258,54.94451313456247,37.402476592340435
163,PH023110000,2013220N12137,1468,55.010760174564346,38.84697566920785
164,PH023111000,2013220N12137,634,24.45865312435735,113.65032431917969
165,PH023112000,2013220N12137,606,54.905231581093034,37.39690981853815
166,PH023113000,2013220N12137,123,29.886093285196598,90.04187630830113
167,PH023114000,2013220N12137,1373,29.898761314408734,90.25302350334522
168,PH023115000,2013220N12137,695,62.0447019401137,28.23639418589898
169,PH023116000,2013220N12137,83,33.70791747167372,77.79829396875593
170,PH023117000,2013220N12137,643,22.803962325517716,121.52088460322747
171,PH023118000,2013220N12137,280,26.28402845764051,104.70797102578231
172,PH023119000,2013220N12137,122,27.519443434482373,100.4897435610032
173,PH023120000,2013220N12137,249,34.12733000747288,76.91947471311225
174,PH023121000,2013220N12137,498,29.79064166994359,90.79085867967511
175,PH023122000,2013220N12137,240,26.281650752497377,105.78263139817167
176,PH023123000,2013220N12137,205,29.32212155454362,92.64059908852535
177,PH023124000,2013220N12137,257,46.970031472876514,49.565816286571696
