,adm3_pcode,storm_id,value_count,v_max,dis_track_min
0,PH012801000,2018294N08161,156,17.57226713011169,182.94214657599167
1,PH012802000,2018294N08161,123,19.462241995799825,169.32672097869326
2,PH012803000,2018294N08161,133,22.674322161580942,131.33331539140133
3,PH012804000,2018294N08161,267,17.691677695890778,189.94029765297637
4,PH012805000,2018294N08161,390,21.823785913303364,136.85970814772023
5,PH012806000,2018294N08161,225,18.165598420004283,185.4174660288131
6,PH012807000,2018294N08161,343,20.299934005654393,155.74340124152758
7,PH012808000,2018294N08161,67,21.65145089249092,143.7767686752088
8,PH012809000,2018294N08161,309,21.950960061816883,140.1122009360535
9,PH012810000,2018294N08161,157,17.296115326136174,188.97423480426164
10,PH012811000,2018294N08161,129,22.257828029316492,135.64900604003083
11,PH012812000,2018294N08161,254,20.31110378539112,158.28955370807506
12,PH012813000,2018294N08161,189,22.47996569476636,135.1641999001498
13,PH012814000,2018294N08161,1245,24.367733580259564,119.75097339090965
14,PH012815000,2018294N08161,247,16.847865126588772,193.9998186335437
15,PH012816000,2018294N08161,132,20.964552949933346,148.4843070373251
16,PH012817000,2018294N08161,352,18.946245811798363,174.3836145533163
17,PH012818000,2018294N08161,178,19.97238764833009,156.71294285496575
18,PH012819000,2018294N08161,201,22.40619263001865,131.97103655199896
19,PH012820000,2018294N08161,64,20.38143695593795,153.44911098479764
20,PH012821000,2018294N08161,124,20.13183765665755,152.77438430886988
21,PH012822000,2018294N08161,240,21.454944727823737,145.2029635036301
22,PH012823000,2018294N08161,1134,19.535580822033747,162.7325728913715
23,PH012901000,2018294N08161,336,42.247048856063785,15.660361864612506
24,PH012902000,2018294N08161,69,37.73274015948118,55.9089015458957
25,PH012903000,2018294N08161,207,28.35352962335679,94.14334842555287
26,PH012904000,2018294N08161,68,35.129467609033085,65.91773987780121
27,PH012905000,2018294N08161,341,24.80392890928521,115.4970326063119
28,PH012906000,2018294N08161,344,39.31496858601131,50.51447936894044
29,PH012907000,2018294N08161,70,28.230943102124606,95.7915003396058
30,PH012908000,2018294N08161,531,43.84884141677481,18.595801537633484
31,PH012909000,2018294N08161,68,39.71915748358042,49.404539513899486
32,PH012910000,2018294N08161,202,42.0838810286119,42.499061795244636
