,typhoon,actual,predicted
1925,bopha2012,0.0,-0.42422772003679876
1927,bopha2012,0.0,0.6250341872836591
1928,bopha2012,0.0,-3.1016250545293733
1929,bopha2012,0.0,1.3096125137152281
1930,bopha2012,0.0,0.7154453843856396
1931,bopha2012,0.0,0.29686274902921905
1932,bopha2012,0.0,-0.04559513060297382
1934,bopha2012,0.0,0.6491779110496942
1935,bopha2012,0.0,-1.2722597455926299
1937,bopha2012,0.0,-0.9401019012680383
1941,bopha2012,0.0417536534446764,4.016076907712731
1942,bopha2012,0.0,-0.07441154462284949
1943,bopha2012,0.0,-0.7820729073705701
1945,bopha2012,0.5025125628140703,5.047849986283241
1946,bopha2012,0.8854900382370698,5.202229596677281
1949,bopha2012,0.0,-0.7686533691675312
1950,bopha2012,0.0,-2.014040934591173
1953,bopha2012,0.0,1.1535673162166615
1954,bopha2012,0.0,1.8556440446705418
1955,bopha2012,0.0,-0.4457157087702326
1957,bopha2012,0.0950419768731189,7.932828742714495
1958,bopha2012,0.0,0.17093011383041645
1959,bopha2012,0.065556575324505,12.176806761707235
1960,bopha2012,0.0,0.041334711231194365
1964,bopha2012,0.0,1.3084022237368478
1966,bopha2012,0.0,-2.845076145118417
1967,bopha2012,0.0,1.1358408951935601
1971,bopha2012,0.0,-0.5623083410465588
1972,bopha2012,0.3742981908920773,8.499454025115014
1974,bopha2012,0.0060591371788657,3.706735923859731
1975,bopha2012,0.0,0.7804061302845433
1976,bopha2012,0.0,-0.42234166605507806
1977,bopha2012,0.0,0.03985261211491409
1978,bopha2012,0.0,0.1484772337088387
1980,bopha2012,0.0072992700729927,10.978239737026072
1981,bopha2012,0.0,0.5989014173100671
1982,bopha2012,0.0,-1.3453151510837746
1984,bopha2012,0.0,1.3068337067209965
1986,bopha2012,0.0,1.2852816536280889
1987,bopha2012,0.1763322884012539,6.406467982708689
1988,bopha2012,0.3354096789650215,3.7988327065301757
1989,bopha2012,0.0336587007741501,0.4300053361016598
1991,bopha2012,0.1707317073170731,4.463377853536311
1992,bopha2012,0.0,1.3133835212032023
1994,bopha2012,0.0,-0.5828149425182918
1995,bopha2012,52.04012368956935,14.280948659236062
1996,bopha2012,0.0,-1.192258086733676
1997,bopha2012,0.0,0.5442181246105209
1998,bopha2012,0.0,1.013735533342322
1999,bopha2012,0.0,-0.7002034168343241
2000,bopha2012,0.0,0.9179341704882757
2003,bopha2012,0.0,1.2460814286204993
2004,bopha2012,0.0,-0.06265728118198366
2005,bopha2012,0.0,0.5116422294830443
2006,bopha2012,0.0,0.29442286185001443
2007,bopha2012,0.1562093204894558,8.735970329820086
2010,bopha2012,0.1262626262626262,4.417398255524928
2012,bopha2012,0.0445831475702184,5.947827381273083
2013,bopha2012,0.0,-0.5107895911064304
2015,bopha2012,0.0,-0.5939485562236269
2016,bopha2012,0.0,-0.0727052171565239
2017,bopha2012,0.0,0.9142765328131492
2018,bopha2012,0.0,0.22798986955423306
2020,bopha2012,0.0,1.515072561562353
2021,bopha2012,0.0,0.14000244719874066
2023,bopha2012,0.0131095962244362,1.301033140681069
2024,bopha2012,0.0,1.4713478088357732
2025,bopha2012,0.0,0.9246549204379146
2026,bopha2012,0.0,1.5073066880292654
2030,bopha2012,0.0,1.8217568801940187
2031,bopha2012,0.0,-0.32524851901587004
2032,bopha2012,0.0,1.16820159623418
2036,bopha2012,0.3974638024037097,3.5887712730878762
2037,bopha2012,0.0,1.452281789583397
2038,bopha2012,0.0,0.8021977294244422
2041,bopha2012,0.0,0.1391932838599863
2042,bopha2012,0.0,-0.1012079028652666
2043,bopha2012,0.0,0.08310791249054361
2044,bopha2012,0.0,-0.39723273739200016
2047,bopha2012,0.0,1.1236686767420858
2048,bopha2012,0.0,0.5845212036631784
2049,bopha2012,0.6108897742363878,10.763328928297753
2050,bopha2012,0.0,-0.07441154462284949
2051,bopha2012,0.175438596491228,0.893934004044457
2052,bopha2012,0.0,0.026622195309398577
2055,bopha2012,0.0,-0.319779874495278
2057,bopha2012,0.0,-3.1195903989761518
2058,bopha2012,0.0,0.7950878916140907
2061,bopha2012,0.0,0.15272440499611184
2062,bopha2012,0.0,0.7786286975495891
2064,bopha2012,0.0,0.4453305790798625
2065,bopha2012,0.7222586999343401,6.239903711965603
2066,bopha2012,0.0,0.4259875912284876
2067,bopha2012,0.0,1.5681568530465047
2068,bopha2012,0.0,0.9533600575739429
2069,bopha2012,0.6263048016701461,5.921923289716085
2072,bopha2012,0.0,0.5807550584879237
2074,bopha2012,92.77708592777088,13.12656304996809
2076,bopha2012,0.0,0.2124853117497576
2077,bopha2012,0.6451612903225806,5.7576184468703975
2078,bopha2012,0.673551863493489,7.107127445151976
2079,bopha2012,0.0,1.198705704734679
