,year,actual,predicted,typhoon
1925,,0.0,0.20481713,bopha2012
1927,,0.0,0.12082947,bopha2012
1928,,0.0,0.11793638,bopha2012
1929,,0.0,0.14278926,bopha2012
1930,,0.0,0.13779756,bopha2012
1931,,0.0,0.11886365,bopha2012
1932,,0.0,0.11793638,bopha2012
1934,,0.0,0.12039209,bopha2012
1935,,0.0,0.1669695,bopha2012
1937,,0.0,0.16519122,bopha2012
1941,,0.0417536534446764,0.64126533,bopha2012
1942,,0.0,0.1574039,bopha2012
1943,,0.0,0.12117643,bopha2012
1945,,0.5025125628140703,1.3772479,bopha2012
1946,,0.8854900382370698,1.3902379,bopha2012
1949,,0.0,0.11793638,bopha2012
1950,,0.0,0.12304265,bopha2012
1953,,0.0,0.13845661,bopha2012
1954,,0.0,0.13845661,bopha2012
1955,,0.0,0.11793638,bopha2012
1957,,0.0950419768731189,2.6165938,bopha2012
1958,,0.0,0.12718064,bopha2012
1959,,0.065556575324505,13.348233,bopha2012
1960,,0.0,0.12082947,bopha2012
1964,,0.0,0.16781974,bopha2012
1966,,0.0,0.11886365,bopha2012
1967,,0.0,0.13998505,bopha2012
1971,,0.0,0.1436293,bopha2012
1972,,0.3742981908920773,4.508724,bopha2012
1974,,0.0060591371788657,0.47108868,bopha2012
1975,,0.0,0.13779756,bopha2012
1976,,0.0,0.12211538,bopha2012
1977,,0.0,0.11886365,bopha2012
1978,,0.0,0.11793638,bopha2012
1980,,0.0072992700729927,9.985679,bopha2012
1981,,0.0,0.12537639,bopha2012
1982,,0.0,0.12915394,bopha2012
1984,,0.0,0.23338704,bopha2012
1986,,0.0,0.17098053,bopha2012
1987,,0.1763322884012539,2.6822882,bopha2012
1988,,0.3354096789650215,0.7315093,bopha2012
1989,,0.0336587007741501,0.986442,bopha2012
1991,,0.1707317073170731,1.1707457,bopha2012
1992,,0.0,0.13845661,bopha2012
1994,,0.0,0.13008127,bopha2012
1995,,52.04012368956935,19.007505,bopha2012
1996,,0.0,0.12039209,bopha2012
1997,,0.0,0.13370086,bopha2012
1998,,0.0,0.13845661,bopha2012
1999,,0.0,0.1204635,bopha2012
2000,,0.0,0.14060244,bopha2012
2003,,0.0,0.14862815,bopha2012
2004,,0.0,0.11946482,bopha2012
2005,,0.0,0.12242932,bopha2012
2006,,0.0,0.11793638,bopha2012
2007,,0.1562093204894558,6.711751,bopha2012
2010,,0.1262626262626262,0.97977775,bopha2012
2012,,0.0445831475702184,1.5907205,bopha2012
2013,,0.0,0.12653498,bopha2012
2015,,0.0,0.11793638,bopha2012
2016,,0.0,0.13008127,bopha2012
2017,,0.0,0.13998505,bopha2012
2018,,0.0,0.11793638,bopha2012
2020,,0.0,0.13845661,bopha2012
2021,,0.0,0.11886365,bopha2012
2023,,0.0131095962244362,0.27534133,bopha2012
2024,,0.0,0.15163688,bopha2012
2025,,0.0,0.15567163,bopha2012
2026,,0.0,0.16546854,bopha2012
2030,,0.0,0.15773657,bopha2012
2031,,0.0,0.12199194,bopha2012
2032,,0.0,0.13998505,bopha2012
2036,,0.3974638024037097,0.6918166,bopha2012
2037,,0.0,0.14091232,bopha2012
2038,,0.0,0.13779756,bopha2012
2041,,0.0,0.11793638,bopha2012
2042,,0.0,0.11946482,bopha2012
2043,,0.0,0.11946482,bopha2012
2044,,0.0,0.12516211,bopha2012
2047,,0.0,0.20984718,bopha2012
2048,,0.0,0.12082947,bopha2012
2049,,0.6108897742363878,17.503092,bopha2012
2050,,0.0,0.11793638,bopha2012
2051,,0.175438596491228,1.4956739,bopha2012
2052,,0.0,0.11886365,bopha2012
2055,,0.0,0.13008127,bopha2012
2057,,0.0,0.11793638,bopha2012
2058,,0.0,0.13823494,bopha2012
2061,,0.0,0.11886365,bopha2012
2062,,0.0,0.1353418,bopha2012
2064,,0.0,0.23754199,bopha2012
2065,,0.7222586999343401,2.449283,bopha2012
2066,,0.0,0.124503754,bopha2012
2067,,0.0,0.14572302,bopha2012
2068,,0.0,0.13845661,bopha2012
2069,,0.6263048016701461,1.7538276,bopha2012
2072,,0.0,0.13659401,bopha2012
2074,,92.77708592777088,25.722511,bopha2012
2076,,0.0,0.1420006,bopha2012
2077,,0.6451612903225806,3.1447732,bopha2012
2078,,0.673551863493489,3.2155025,bopha2012
2079,,0.0,0.13845661,bopha2012
2080,,0.0,0.13845661,bopha2012
2082,,0.1704158145875937,0.58338976,bopha2012
2083,,0.0073152889539136,2.1929555,bopha2012
2084,,0.0,0.12511526,bopha2012
2085,,0.0,0.13998505,bopha2012
2086,,0.0,0.20926481,bopha2012
2087,,0.0,0.12248329,bopha2012
2088,,0.0,0.11946482,bopha2012
2092,,17.421259842519685,6.358388,bopha2012
2094,,0.0,0.15567163,bopha2012
2095,,0.0,0.13845661,bopha2012
2096,,0.0,0.14252068,bopha2012
2097,,0.0,0.14028296,bopha2012
2098,,0.0,0.11793638,bopha2012
2100,,0.0,0.11946482,bopha2012
2101,,0.0,0.13694164,bopha2012
2103,,0.0160059755642106,0.57638997,bopha2012
2105,,0.0,0.18666293,bopha2012
2106,,0.0,0.11886365,bopha2012
2107,,0.7804596039890157,35.66734,bopha2012
2108,,0.0,0.11793638,bopha2012
2109,,0.0,0.13129978,bopha2012
2110,,0.0,0.13938388,bopha2012
2112,,0.0183519911910442,25.590206,bopha2012
2113,,1.090909090909091,1.233256,bopha2012
2114,,0.026816840976133,0.5799099,bopha2012
2115,,0.3936096318592266,0.612529,bopha2012
2117,,0.0,0.1353418,bopha2012
2118,,0.0549450549450549,0.78485644,bopha2012
2120,,0.0,0.11886365,bopha2012
2121,,0.0,0.12742901,bopha2012
2122,,0.0,0.13938388,bopha2012
2123,,0.0,0.12235791,bopha2012
2124,,0.0,0.12718064,bopha2012
2125,,0.0,0.13310464,bopha2012
2126,,0.0,0.13008127,bopha2012
2127,,0.0,0.16671365,bopha2012
2130,,0.0,0.26511142,bopha2012
2132,,22.17945898394546,12.783173,bopha2012
2133,,0.0,0.14035484,bopha2012
2135,,0.0,0.12516211,bopha2012
2138,,0.0903016073686111,2.602343,bopha2012
2140,,0.4537597234226448,1.0959569,bopha2012
2141,,0.0432152117545375,0.4771692,bopha2012
2142,,0.0,0.12039209,bopha2012
2144,,0.1231527093596059,1.4254795,bopha2012
2145,,100.0,25.954084,bopha2012
2149,,0.0,0.13845661,bopha2012
2150,,0.0,0.14278926,bopha2012
2151,,0.0,0.20585954,bopha2012
2154,,2.7443680794196257,4.312868,bopha2012
2157,,0.0,0.20984718,bopha2012
2159,,0.0,0.13008127,bopha2012
2161,,0.0594782904239952,18.591806,bopha2012
2162,,0.0,0.1644756,bopha2012
2165,,0.0,0.17160356,bopha2012
2168,,0.2417354723259975,0.53010267,bopha2012
2171,,0.0,0.13938388,bopha2012
2172,,0.0,0.17899047,bopha2012
2173,,0.0,0.13008127,bopha2012
2178,,0.0249708673214582,1.2702105,bopha2012
2179,,0.0,0.11886365,bopha2012
2180,,0.6884720951509606,9.659667,bopha2012
2181,,0.0,0.25690964,bopha2012
2183,,0.4099843241287833,1.6186115,bopha2012
2184,,0.0138869601444243,0.47708687,bopha2012
2185,,0.0,0.13908651,bopha2012
2186,,0.0091033227127901,11.3891535,bopha2012
2189,,48.20924910861583,26.4308,bopha2012
2190,,0.0,0.12328524,bopha2012
2192,,0.0,0.11953623,bopha2012
2194,,0.0,0.11886365,bopha2012
2197,,0.0,0.150228,bopha2012
2199,,0.4545454545454545,0.49151224,bopha2012
2201,,0.0,0.11793638,bopha2012
2202,,0.0,0.13716814,bopha2012
2204,,0.0,0.20989425,bopha2012
2205,,0.0,0.11886365,bopha2012
2207,,0.0,0.16315264,bopha2012
2210,,0.0,0.1353418,bopha2012
2211,,0.0,0.21486267,bopha2012
2212,,0.2453385672227674,1.0030624,bopha2012
2216,,0.0193685841564981,1.8551947,bopha2012
2217,,0.0,0.15163688,bopha2012
2218,,0.0,0.11793638,bopha2012
2219,,0.1169818678104893,0.5058456,bopha2012
2221,,0.0,0.1932478,bopha2012
2235,,0.0,0.11793638,bopha2012
2236,,0.0,0.11793638,bopha2012
2237,,0.0,0.11886365,bopha2012
2239,,0.0310655483069276,0.5422324,bopha2012
2240,,0.0460405156537753,0.57619417,bopha2012
2242,,0.0,0.13938388,bopha2012
2243,,0.0,0.15163688,bopha2012
2246,,0.2530364372469635,1.4983436,bopha2012
2247,,0.0,0.138755,bopha2012
