n,Unnamed,location,totally_damaged,partially_damage,total,adm,matched,match,pcode
0,0,Region IV-A,"1,880","22,603","24,483",1.0,,region iv-a,PH040000000
1,1,Batangas,426,"5,502","5,928",2.0,,batangas,PH041000000
2,2,Alitagtag,0,34,34,3.0,,alitagtag,PH041002000
3,3,Balayan,0,4,4,3.0,,balayan,PH041003000
4,4,Batangas City (Capital),410,"4,797","5,207",3.0,,batangas ,PH041005000
5,5,Caltagan,2,2,4,3.0,,calatagan,PH041008000
6,6,Cuenca,0,3,3,3.0,,cuenca,PH041009000
7,7,Lipa City,0,167,167,3.0,,lipa ,PH041014000
8,8,Lobo,0,5,5,3.0,,lobo,PH041015000
9,9,Mabini,4,59,63,3.0,,mabini,PH041016000
10,10,Mataas na Kahoy,0,2,2,3.0,,mataasnakahoy,PH041018000
11,11,Nasugbu,0,4,4,3.0,,nasugbu,PH041019000
12,12,Rosario,0,14,14,3.0,,rosario,PH041021000
13,13,San Jose,0,2,2,3.0,,san jose,PH041022000
14,14,San Juan,1,80,81,3.0,,san juan,PH041023000
15,15,San Pascual,0,4,4,3.0,,san pascual,PH041026000
16,16,Taal,0,27,27,3.0,,taal,PH041029000
17,17,Talisay,3,157,160,3.0,,talisay,PH041030000
18,18,City of Tanauan,6,141,147,3.0,, tanauan,PH041031000
19,19,Cavite,0,1,1,2.0,,cavite,PH042100000
20,20,Noveleta,0,1,1,3.0,,noveleta,PH042116000
21,21,Laguna,27,213,240,2.0,,laguna,PH043400000
22,22,Alaminos,1,87,88,3.0,,alaminos,PH043401000
23,23,San Pablo City,26,109,135,3.0,,san pablo ,PH043424000
24,24,Santa Cruz (capital),0,17,17,3.0,,santa cruz,PH043426000
25,25,Quezon,"1,427","16,887","18,314",2.0,,quezon,PH045600000
26,26,Agdangan,12,182,194,3.0,,agdangan,PH045601000
27,27,Alabat,0,35,35,3.0,,alabat,PH045602000
28,28,Atimonan,15,599,614,3.0,,atimonan,PH045603000
29,29,Buenavista,118,"3,066","3,184",3.0,,buenavista,PH045605000
30,30,Burdeos,0,1,1,3.0,,burdeos,PH045606000
31,31,Calauag,9,224,233,3.0,,calauag,PH045607000
32,32,Candelaria,0,16,16,3.0,,candelaria,PH045608000
33,33,Catanauan,80,"1,412","1,492",3.0,,catanauan,PH045610000
34,34,Dolores,15,129,144,3.0,,dolores,PH045615000
35,35,General Luna,38,517,555,3.0,,general luna,PH045616000
36,36,Gumaca,36,631,667,3.0,,gumaca,PH045619000
37,37,Lopez,110,"1,458","1,568",3.0,,lopez,PH045622000
38,38,Lucena City (capital),1,17,18,3.0,,lucena ,PH045624000
39,39,Macalelon,9,623,632,3.0,,macalelon,PH045625000
40,40,Mauban,7,179,186,3.0,,mauban,PH045627000
41,41,Mulanay,251,"3,595","3,846",3.0,,mulanay,PH045628000
42,42,Padre Burgos,22,239,261,3.0,,padre burgos,PH045629000
43,43,Pagbilao,4,73,77,3.0,,pagbilao,PH045630000
44,44,Pitogo,27,562,589,3.0,,pitogo,PH045634000
45,45,Plaridel,0,73,73,3.0,,plaridel,PH045635000
46,46,Real,81,295,376,3.0,,real,PH045638000
47,47,San Antonio,2,87,89,3.0,,san antonio,PH045641000
48,48,San Francisco (Aurora),140,743,883,3.0,,san francisco,PH045642000
49,49,Sariaya,10,88,98,3.0,,sariaya,PH045645000
50,50,Tagkawayan,421,"1,539","1,960",3.0,,tagkawayan,PH045646000
51,51,City of Tayabas,9,287,296,3.0,, tayabas,PH045647000
52,52,Tiaong,9,161,170,3.0,,tiaong,PH045648000
53,53,Unisan,1,56,57,3.0,,unisan,PH045649000
54,54,Region IV-B,93,711,804,1.0,,region iv-b,PH170000000
55,55,Marinduque,93,709,802,2.0,,marinduque,PH174000000
56,56,Boac (capital),9,291,300,3.0,,boac,PH174001000
57,57,Buenavista,9,53,62,3.0,,buenavista,PH174002000
58,58,Gasan,12,160,172,3.0,,gasan,PH174003000
59,59,Mogpog,59,151,210,3.0,,mogpog,PH174004000
60,60,Santa Cruz,1,7,8,3.0,,santa cruz,PH174005000
61,61,Torrijos,3,47,50,3.0,,torrijos,PH174006000
62,62,Oriental Mindoro,0,2,2,2.0,,oriental mindoro,PH175200000
63,63,Bongabong,0,2,2,3.0,,bongabong,PH175203000
64,64,REGION V*,"35,476","110,008","145,484",1.0,,region v,PH050000000
65,65,Albay,"17,299","58,975","76,274",2.0,,albay,PH050500000
66,66,Bacacay,819,"4,738","5,557",3.0,,bacacay,PH050501000
67,67,Camalig,246,"2,225","2,471",3.0,,camalig,PH050502000
68,68,Daraga (Locsin),"1,236","1,064","2,300",3.0,,daraga,PH050503000
69,69,Guinobatan,885,"3,780","4,665",3.0,,guinobatan,PH050504000
70,70,Jovellar,73,872,945,3.0,,jovellar,PH050505000
71,71,Legazpi City (capital),147,"2,038","2,185",3.0,,legazpi ,PH050506000
72,72,Libon,303,"1,298","1,601",3.0,,libon,PH050507000
73,73,City of Ligao,620,"2,000","2,620",3.0,, ligao,PH050508000
74,74,Malilipot,332,"3,000","3,332",3.0,,malilipot,PH050509000
75,75,Malinao,"3,359","7,203","10,562",3.0,,malinao,PH050510000
76,76,Manito,109,738,847,3.0,,manito,PH050511000
77,77,Oas,827,"5,000","5,827",3.0,,oas,PH050512000
78,78,Pio Duran,356,"1,628","1,984",3.0,,pio duran,PH050513000
79,79,Polangui,440,"1,000","1,440",3.0,,polangui,PH050514000
80,80,Rapu-Rapu,206,763,969,3.0,,rapu-rapu,PH050515000
81,81,Santo Domingo (Libog),327,"2,781","3,108",3.0,,santo domingo,PH050516000
82,82,City of Tabaco,"6,520","16,719","23,239",3.0,, tabaco,PH050517000
83,83,Tiwi,494,"2,128","2,622",3.0,,tiwi,PH050518000
84,84,Camarines Norte,116,934,"1,050",2.0,,camarines norte,PH051600000
85,85,Basud,5,0,5,3.0,,basud,PH051601000
86,86,Mercedes,29,239,268,3.0,,mercedes,PH051607000
87,87,Paracale,35,141,176,3.0,,paracale,PH051608000
88,88,San Lorenzo Ruiz (Imelda),1,19,20,3.0,,san lorenzo ruiz,PH051604000
89,89,San Vicente,4,108,112,3.0,,san vicente,PH051609000
90,90,Vinzons,42,427,469,3.0,,vinzons,PH051612000
91,91,Camarines Sur,"4,585","20,232","24,817",2.0,,camarines sur,PH051700000
92,92,Baao,92,100,192,3.0,,baao,PH051701000
93,93,Bato,908,"5,002","5,910",3.0,,bato,PH051703000
94,94,Bula,100,169,269,3.0,,bula,PH051706000
95,95,Cabusao,98,800,898,3.0,,cabusao,PH051707000
96,96,Calabanga,790,"2,000","2,790",3.0,,calabanga,PH051708000
97,97,Iriga City,937,"7,380","8,317",3.0,,iriga ,PH051716000
98,98,Magarao,500,712,"1,212",3.0,,magarao,PH051720000
99,99,Naga City,150,154,304,3.0,,naga ,PH051724000
100,100,Pamplona,300,586,886,3.0,,pamplona,PH051726000
101,101,Pasacao,100,351,451,3.0,,pasacao,PH051727000
102,102,Pili (capital),60,85,145,3.0,,pili,PH051728000
103,103,San Fernando,100,185,285,3.0,,san fernando,PH051732000
104,104,Siruma,42,271,313,3.0,,siruma,PH051735000
105,105,Tinambac,408,"2,437","2,845",3.0,,tinambac,PH051737000
106,106,Catanduanes,"13,029","22,076","35,105",2.0,,catanduanes,PH052000000
107,107,Bagamanoc,300,617,917,3.0,,bagamanoc,PH052001000
108,108,Baras,"1,972","1,311","3,283",3.0,,baras,PH052002000
109,109,Bato,"1,133","1,754","2,887",3.0,,bato,PH052003000
110,110,Caramoran,730,"1,000","1,730",3.0,,caramoran,PH052004000
111,111,Gigmoto,741,"1,458","2,199",3.0,,gigmoto,PH052005000
112,112,Pandan,88,508,596,3.0,,pandan,PH052006000
113,113,Panganiban (Payo),73,551,624,3.0,,panganiban,PH052007000
114,114,San Andres (Calolbon),"1,045","1,404","2,449",3.0,,san andres,PH052008000
115,115,San Miguel,"1,210","2,450","3,660",3.0,,san miguel,PH052009000
116,116,Viga,475,"2,305","2,780",3.0,,viga,PH052010000
117,117,Virac,"5,262","8,718","13,980",3.0,,virac,PH052011000
118,118,Masbate,0,2,2,2.0,,masbate,PH054100000
119,119,Claveria,0,2,2,3.0,,claveria,PH054107000
120,120,Sorsogon,447,"7,789","8,236",2.0,,sorsogon,PH056200000
121,121,Barcelona,45,0,45,3.0,,barcelona,PH056202000
122,122,Bulusan,0,25,25,3.0,,bulusan,PH056204000
123,123,Casiguran,111,2,113,3.0,,casiguran,PH056205000
124,124,Castilla,25,313,338,3.0,,castilla,PH056206000
125,125,Donsol,60,"1,307","1,367",3.0,,donsol,PH056207000
126,126,Gubat,0,8,8,3.0,,gubat,PH056208000
127,127,Juban,3,48,51,3.0,,juban,PH056210000
128,128,Magallanes,9,113,122,3.0,,magallanes,PH056211000
129,129,Pilar,82,"1,205","1,287",3.0,,pilar,PH056213000
130,130,Prieto Diaz,4,342,346,3.0,,prieto diaz,PH056214000
131,131,City of Sorsogon (capital),108,"4,426","4,534",3.0,, sorsogon,PH056216000
132,132,Cordillera Administrative Region,0,2,2,1.0,,cordillera administrative region,PH140000000
133,133,Apayao,0,2,2,2.0,,apayao,PH148100000
134,134,Kabugao (capital),0,2,2,3.0,,kabugao,PH148104000
