id,pcode,Manucipality,typhoon,Year,Totally,Partially,total
1,PH041005000,BATANGAS CITY (Capital),Durian,2006,84,588,672
2,PH041006000,Bauan,Durian,2006,1,7,8
3,PH041010000,Ibaan,Durian,2006,4,48,52
4,PH041014000,Lipa City,Durian,2006,,78,78
5,PH041020000,Padre Garcia,Durian,2006,16,169,185
6,PH041021000,Rosario,Durian,2006,45,183,228
7,PH041023000,San Juan,Durian,2006,,38,38
8,PH041025000,San Nicolas,Durian,2006,9,124,133
9,PH041027000,SANTA TERESITA,Durian,2006,,58,58
10,PH041029000,Taal,Durian,2006,1,7,8
11,PH041031000,CITY OF TANAUAN,Durian,2006,10,21,31
12,PH041032000,Taysan,Durian,2006,37,332,369
13,PH043401000,Alaminos,Durian,2006,30,31,61
14,PH043411000,LOS BAÑOS,Durian,2006,,5,5
15,PH042113000,Maragondon,Durian,2006,,6,6
16,PH045603000,Atimonan,Durian,2006,,120,120
17,PH045615000,Dolores,Durian,2006,27,289,316
18,PH045616000,GENERAL LUNA,Durian,2006,167,94,261
19,PH045624000,LUCENA CITY (Capital),Durian,2006,5,39,44
20,PH045625000,Macalelon,Durian,2006,74,834,908
21,PH045628000,Mulanay,Durian,2006,571,766,1337
22,PH045630000,Pagbilao,Durian,2006,12,20,32
23,PH045634000,Pitogo,Durian,2006,83,645,728
24,PH031417000,Plaridel,Durian,2006,3,103,106
25,PH034924000,San Antonio,Durian,2006,66,299,365
26,PH072242000,San Francisco,Durian,2006,1869,459,2328
27,PH037112000,San Narciso,Durian,2006,2325,6566,8891
28,PH045645000,Sariaya,Durian,2006,23,255,278
29,PH045648000,Tiaong,Durian,2006,7,66,73
30,PH175101000,Abra de Ilog,Durian,2006,261,618,879
31,PH175104000,Lubang,Durian,2006,7,112,119
32,PH175106000,MAMBURAO (Capital),Durian,2006,35,83,118
33,PH175109000,Sablayan,Durian,2006,45,,45
34,PH175107000,Paluan,Durian,2006,28,38,66
35,PH175111000,SANTA CRUZ,Durian,2006,144,165,309
36,PH175205000,CITY OF CALAPAN (Capital),Durian,2006,284,602,886
37,PH175201000,Baco,Durian,2006,1368,2758,4126
38,PH175203000,Bongabong,Durian,2006,,7,7
39,PH175206000,Gloria,Durian,2006,38,560,598
40,PH175208000,Naujan,Durian,2006,2730,6563,9293
41,PH175209000,Pinamalayan,Durian,2006,,1740,1740
42,PH175210000,Pola,Durian,2006,118,969,1087
43,PH175211000,Puerto Galera,Durian,2006,452,156,608
44,PH023126000,Roxas,Durian,2006,,67,67
45,PH175213000,San Teodoro,Durian,2006,192,700,892
46,PH166723000,Socorro,Durian,2006,101,316,417
47,PH174001000,BOAC (Capital),Durian,2006,348,692,1040
48,PH174004000,Mogpog,Durian,2006,249,498,747
49,PH174002000,BUENAVISTA,Durian,2006,157,314,471
50,PH174005000,SANTA CRUZ,Durian,2006,442,885,1327
51,PH174006000,Torrijos,Durian,2006,221,442,663
52,PH174003000,Gasan,Durian,2006,237,474,711
53,PH051701000,Baao,Durian,2006,120,50,170
54,PH051703000,Bato,Durian,2006,4875,2088,6963
55,PH051704000,Bombon,Durian,2006,746,1700,2446
56,PH051702000,Balatan,Durian,2006,10,435,445
57,PH051705000,Buhi,Durian,2006,7133,4280,11413
58,PH051706000,Bula,Durian,2006,1562,3765,5327
59,PH051707000,Cabusao,Durian,2006,1934,1608,3542
60,PH051708000,Calabanga,Durian,2006,3568,6879,10447
61,PH051709000,Camaligan,Durian,2006,1208,3614,4822
62,PH051711000,Caramoan,Durian,2006,550,3775,4325
63,PH051710000,Canaman,Durian,2006,900,788,1688
64,PH051712000,Del Gallego,Durian,2006,81,363,444
65,PH051713000,Gainza,Durian,2006,423,1094,1517
66,PH051714000,Garchitorena,Durian,2006,223,1797,2020
67,PH051715000,Goa,Durian,2006,1888,941,2829
68,PH051716000,Iriga City,Durian,2006,297,402,699
69,PH051717000,Lagonoy,Durian,2006,1524,6638,8162
70,PH051718000,Libmanan,Durian,2006,4824,45350,50174
71,PH051719000,Lupi,Durian,2006,223,520,743
72,PH051720000,Magarao,Durian,2006,965,1607,2572
73,PH051722000,Minalabac,Durian,2006,2892,2907,5799
74,PH051721000,Milaor,Durian,2006,68,77,145
75,PH051723000,Nabua,Durian,2006,3054,4505,7559
76,PH051724000,Naga City,Durian,2006,2980,5775,8755
77,PH051725000,Ocampo,Durian,2006,25951,39409,65360
78,PH021518000,Pamplona,Durian,2006,4688,6300,10988
79,PH051727000,Pasacao,Durian,2006,3865,9546,13411
80,PH051728000,PILI (Capital),Durian,2006,2500,4000,6500
81,PH051729000,PRESENTACION (PARUBCAN),Durian,2006,733,1114,1847
82,PH051730000,Ragay,Durian,2006,780,5995,6775
83,PH051731000,SAGÑAY,Durian,2006,3287,1734,5021
84,PH051732000,San Fernando,Durian,2006,1840,2543,4383
85,PH051733000,San Jose,Durian,2006,181,733,914
86,PH051734000,Sipocot,Durian,2006,185,1576,1761
87,PH051735000,Siruma,Durian,2006,358,890,1248
88,PH051736000,Tigaon,Durian,2006,6883,1963,8846
89,PH051737000,Tinambac,Durian,2006,1546,5189,6735
90,PH052003000,Bato,Durian,2006,2307,2085,4392
91,PH052001000,Bagamanoc,Durian,2006,225,1846,2071
92,PH052002000,Baras,Durian,2006,1319,1392,2711
93,PH052004000,Caramoran,Durian,2006,538,2276,2814
94,PH052005000,Gigmoto,Durian,2006,246,831,1077
95,PH052006000,Pandan,Durian,2006,94,1217,1311
96,PH052007000,PANGANIBAN (PAYO),Durian,2006,152,1458,1610
97,PH052008000,SAN ANDRES (CALOLBON),Durian,2006,3477,3477,6954
98,PH052009000,San Miguel,Durian,2006,1616,1395,3011
99,PH052010000,Viga,Durian,2006,219,989,1208
100,PH052011000,VIRAC (Capital),Durian,2006,5740,7267,13007
101,PH050501000,Bacacay,Durian,2006,5648,2231,7879
102,PH050502000,Camalig,Durian,2006,6526,5502,12028
103,PH051709000,Camaligan,Durian,2006,303,329,632
104,PH050503000,DARAGA (LOCSIN),Durian,2006,5586,6553,12139
105,PH050504000,Guinobatan,Durian,2006,5103,4698,9801
106,PH050505000,Jovellar,Durian,2006,2124,2323,4447
107,PH050506000,LEGAZPI CITY (Capital),Durian,2006,4668,9972,14640
108,PH050508000,CITY OF LIGAO,Durian,2006,3793,6118,9911
109,PH050507000,Libon,Durian,2006,2215,1669,3884
110,PH050510000,Malinao,Durian,2006,7000,1400,8400
111,PH050509000,Malilipot,Durian,2006,6187,1127,7314
112,PH050511000,MANITO,Durian,2006,3027,2154,5181
113,PH050512000,Oas,Durian,2006,6920,2778,9698
114,PH050513000,Pio Duran,Durian,2006,2016,5671,7687
115,PH050514000,Polangui,Durian,2006,4770,2072,6842
116,PH050515000,Rapu-rapu,Durian,2006,2652,1184,3836
117,PH050516000,SANTO DOMINGO (LIBOG),Durian,2006,3816,3106,6922
118,PH050517000,CITY OF TABACO,Durian,2006,8905,5426,14331
