Region,Province,Municipality_City,Mun_Code,Housing_Units,Strong Roof/Strong Wall,Strong Roof/Light Wall,Strong Roof/Salvage Wall,Light Roof/Strong Wall,Light Roof/Light Wall,Light Roof/Salvage Wall,Salvaged Roof/Strong Wall,Salvaged Roof/Light Wall,Salvaged Roof/Salvage Wall
Region VI (Western Visayas),Negros Occidental,City of Bacolod (Capital),PH184501000,126516,91096,27099,877,317,5266,108,58,189,493
Region VI (Western Visayas),Negros Occidental,City of Bago,PH184502000,39765,18619,14999,154,220,5381,47,7,30,116
Region VI (Western Visayas),Negros Occidental,Binalbagan,PH184503000,14823,7175,4883,18,158,2512,6,1,5,12
Region VI (Western Visayas),Negros Occidental,City of Cadiz,PH184504000,34947,15553,11279,162,455,7165,66,8,36,48
Region VI (Western Visayas),Negros Occidental,Calatrava,PH184505000,18380,4916,9679,163,58,3434,25,0,18,19
Region VI (Western Visayas),Negros Occidental,Candoni,PH184506000,4947,1448,2705,7,15,753,0,0,0,0
Region VI (Western Visayas),Negros Occidental,Cauayan,PH184507000,22604,5399,5187,57,833,10924,74,11,27,60
Region VI (Western Visayas),Negros Occidental,Enrique B. Magalona (Saravia),PH184508000,14180,8394,3572,35,118,1891,14,7,14,22
Region VI (Western Visayas),Negros Occidental,City of Escalante,PH184509000,21519,9723,8504,72,88,2904,13,5,38,92
Region VI (Western Visayas),Negros Occidental,City of Himamaylan,PH184510000,25229,10163,8271,37,235,6156,26,3,20,36
Region VI (Western Visayas),Negros Occidental,Hinigaran,PH184511000,20421,10167,4094,44,292,5427,40,1,28,176
Region VI (Western Visayas),Negros Occidental,Hinoba-An (Asia),PH184512000,12368,4711,2543,12,397,4654,10,2,2,3
Region VI (Western Visayas),Negros Occidental,Ilog,PH184513000,12698,4150,4082,7,266,4122,12,2,3,15
Region VI (Western Visayas),Negros Occidental,Isabela,PH184514000,13332,5188,5793,24,84,2121,19,1,3,1
Region VI (Western Visayas),Negros Occidental,City of Kabankalan,PH184515000,39841,12234,19660,169,197,6786,30,51,184,31
Region VI (Western Visayas),Negros Occidental,City of La Carlota,PH184516000,15375,9153,3865,21,105,2103,6,0,7,33
Region VI (Western Visayas),Negros Occidental,La Castellana,PH184517000,16740,6990,7446,59,63,1995,20,16,16,62
Region VI (Western Visayas),Negros Occidental,Manapla,PH184518000,12254,6983,3258,16,135,1761,6,3,8,5
Region VI (Western Visayas),Negros Occidental,Moises Padilla (Magallon),PH184519000,8841,2909,4683,4,17,1140,8,0,23,16
Region VI (Western Visayas),Negros Occidental,Murcia,PH184520000,18227,9131,6693,73,94,2118,3,2,14,11
